sample_index,candidate,global_shift_tv
105,partition_sum,5.551115123125783e-17
106,mean_q_softmax,9.257731300310601e-17
106,mass_times_exp_mean_q,2.33997933876684e-16
106,partition_sum,1.2891163830852648e-16
107,mean_q_softmax,1.0061396160665481e-16
107,mass_times_exp_mean_q,1.0148132334464322e-16
107,partition_sum,3.382710778154774e-17
108,mean_q_softmax,1.266890238549312e-16
108,mass_times_exp_mean_q,1.0001765041178778e-16
108,partition_sum,5.843849709696869e-17
109,mean_q_softmax,1.3530843112619095e-16
109,mass_times_exp_mean_q,2.585822181377928e-16
109,partition_sum,3.9193908535350985e-17
110,mean_q_softmax,1.4707202469765868e-16
110,mass_times_exp_mean_q,3.881443777498106e-17
110,partition_sum,7.548757625930325e-17
111,mean_q_softmax,1.4826464708739273e-16
111,mass_times_exp_mean_q,9.627715291671279e-17
111,partition_sum,4.2392304944183223e-17
112,mean_q_softmax,7.508100044462118e-17
112,mass_times_exp_mean_q,2.0504973587132103e-16
112,partition_sum,1.645276796746753e-16
113,mean_q_softmax,1.1297386637298956e-16
113,mass_times_exp_mean_q,6.808789643208968e-17
113,partition_sum,8.673617379884035e-19
114,mean_q_softmax,7.773729576721067e-17
114,mass_times_exp_mean_q,1.6523241108679088e-16
114,partition_sum,2.3201926491189795e-16
115,mean_q_softmax,1.1188966420050406e-16
115,mass_times_exp_mean_q,5.0523821237824507e-17
115,partition_sum,6.917209860457518e-17
116,mean_q_softmax,8.673617379884035e-18
116,mass_times_exp_mean_q,1.196959198423997e-16
116,partition_sum,7.19910242530375e-17
117,mean_q_softmax,7.676151381197371e-17
117,mass_times_exp_mean_q,6.678685382510707e-17
117,partition_sum,1.452830911130576e-17
118,mean_q_softmax,4.2595592851524255e-17
118,mass_times_exp_mean_q,1.4083786220586703e-16
118,partition_sum,1.496198998029996e-17
119,mean_q_softmax,9.416295868036606e-17
119,mass_times_exp_mean_q,1.776465259617499e-16
119,partition_sum,2.100099608104422e-16
120,mean_q_softmax,1.5785983631388945e-16
120,mass_times_exp_mean_q,1.46150452851046e-16
120,partition_sum,1.0809495659680479e-16
121,mean_q_softmax,1.2728533504979822e-16
121,mass_times_exp_mean_q,1.3205582460873444e-16
121,partition_sum,1.844227895397843e-16
122,mean_q_softmax,2.3418766925686896e-16
122,mass_times_exp_mean_q,9.324138683375338e-17
122,partition_sum,1.1449174941446927e-16
123,mean_q_softmax,2.963937689032248e-17
123,mass_times_exp_mean_q,2.0285422647203788e-16
123,partition_sum,1.1470858984896637e-16
124,mean_q_softmax,1.0787811616230769e-17
124,mass_times_exp_mean_q,2.487159783681747e-16
