sample_index,hierarchical_probability_error,maxent_stationarity_range
537,1.3877787807814457e-17,3.885780586188048e-16
538,1.3877787807814457e-16,4.440892098500626e-16
539,5.551115123125783e-17,6.661338147750939e-16
540,2.7755575615628914e-17,4.440892098500626e-16
541,6.938893903907228e-18,4.440892098500626e-16
542,1.1102230246251565e-16,2.220446049250313e-16
543,1.1102230246251565e-16,2.220446049250313e-16
544,2.7755575615628914e-17,3.3306690738754696e-16
545,2.7755575615628914e-17,3.3306690738754696e-16
546,5.551115123125783e-17,6.661338147750939e-16
547,5.551115123125783e-17,4.440892098500626e-16
548,0.0,1.1102230246251565e-16
549,5.551115123125783e-17,2.220446049250313e-16
550,8.326672684688674e-17,2.220446049250313e-16
551,5.551115123125783e-17,3.885780586188048e-16
552,2.7755575615628914e-17,4.440892098500626e-16
553,5.551115123125783e-17,4.440892098500626e-16
554,5.551115123125783e-17,4.440892098500626e-16
555,2.7755575615628914e-17,3.3306690738754696e-16
