sample_index,maximum_recursive_partition_sum_error
349,4.440892098500626e-16
350,8.881784197001252e-16
351,4.440892098500626e-16
352,2.220446049250313e-16
353,2.220446049250313e-16
354,1.1102230246251565e-16
355,2.220446049250313e-16
356,2.220446049250313e-16
357,2.220446049250313e-16
358,4.440892098500626e-16
359,4.440892098500626e-16
360,4.440892098500626e-16
361,1.1102230246251565e-16
362,4.440892098500626e-16
363,4.440892098500626e-16
364,4.440892098500626e-16
365,4.440892098500626e-16
366,1.1102230246251565e-16
367,1.1102230246251565e-16
368,2.220446049250313e-16
369,4.440892098500626e-16
370,4.440892098500626e-16
371,2.220446049250313e-16
372,2.220446049250313e-16
373,4.440892098500626e-16
374,8.881784197001252e-16
375,2.220446049250313e-16
376,1.1102230246251565e-16
377,4.440892098500626e-16
378,2.220446049250313e-16
379,2.220446049250313e-16
380,1.1102230246251565e-16
381,8.881784197001252e-16
382,2.220446049250313e-16
383,4.440892098500626e-16
384,1.1102230246251565e-16
385,4.440892098500626e-16
386,1.1102230246251565e-16
387,2.220446049250313e-16
388,4.440892098500626e-16
389,2.220446049250313e-16
390,2.220446049250313e-16
391,4.440892098500626e-16
392,4.440892098500626e-16
393,2.220446049250313e-16
394,2.220446049250313e-16
395,8.881784197001252e-16
396,4.440892098500626e-16
397,8.881784197001252e-16
398,1.1102230246251565e-16
399,2.220446049250313e-16
400,8.881784197001252e-16
401,8.881784197001252e-16
402,8.881784197001252e-16
403,2.220446049250313e-16
404,4.440892098500626e-16
405,4.440892098500626e-16
406,1.1102230246251565e-16
407,4.440892098500626e-16
408,4.440892098500626e-16
409,0.0
410,8.881784197001252e-16
411,2.220446049250313e-16
412,2.220446049250313e-16
413,4.440892098500626e-16
414,2.220446049250313e-16
415,4.440892098500626e-16
416,2.220446049250313e-16
417,2.220446049250313e-16
418,2.220446049250313e-16
419,4.440892098500626e-16
420,4.440892098500626e-16
421,2.220446049250313e-16
422,2.220446049250313e-16
423,4.440892098500626e-16
424,4.440892098500626e-16
425,2.220446049250313e-16
426,4.440892098500626e-16
427,1.1102230246251565e-16
428,2.220446049250313e-16
429,2.220446049250313e-16
430,2.220446049250313e-16
431,1.1102230246251565e-16
432,4.440892098500626e-16
433,2.220446049250313e-16
434,8.881784197001252e-16
435,2.220446049250313e-16
436,4.440892098500626e-16
437,4.440892098500626e-16
438,2.220446049250313e-16
439,8.881784197001252e-16
440,4.440892098500626e-16
441,4.440892098500626e-16
442,2.220446049250313e-16
443,1.1102230246251565e-16
444,5.551115123125783e-17
445,4.440892098500626e-16
446,8.881784197001252e-16
447,8.881784197001252e-16
448,4.440892098500626e-16
449,4.440892098500626e-16
450,1.1102230246251565e-16
