sample_index,n,candidate,maximum_pairwise_tree_tv,mean_target_tv,maximum_target_tv
58,17,mean_q_softmax,0.6536764805092575,0.43494957776263005,0.5826131463792577
58,17,mass_times_exp_mean_q,0.19157305663885224,0.14125961210608737,0.1865856806912265
58,17,partition_sum,1.345494896054511e-16,7.39425881635114e-17,1.1709383462843448e-16
59,15,uniform_child,0.5138888888888888,0.29259259259259257,0.41666666666666674
59,15,descendant_count,6.938893903907228e-17,2.0816681711721685e-17,4.163336342344337e-17
59,15,base_mass,4.5102810375396984e-17,9.540979117872439e-18,3.2959746043559335e-17
59,15,mean_q_softmax,0.6723460132728785,0.33755538887963144,0.5669050254247818
59,15,mass_times_exp_mean_q,0.26552064633823136,0.1487813150364413,0.2367823052857213
59,15,partition_sum,1.4972832002024816e-16,6.385950795939621e-17,1.0711917464156784e-16
60,8,uniform_child,0.5625,0.27777777777777773,0.375
60,8,descendant_count,0.0,0.0,0.0
