sample_index,absolute_closure_error
537,0.0
538,0.0
539,2.7755575615628914e-17
540,0.0
541,0.0
542,1.1102230246251565e-16
543,2.220446049250313e-16
544,1.734723475976807e-18
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,1.1102230246251565e-16
553,0.0
554,0.0
555,5.551115123125783e-17
556,1.1102230246251565e-16
557,5.551115123125783e-17
558,0.0
559,4.336808689942018e-19
560,0.0
561,5.551115123125783e-17
562,4.440892098500626e-16
563,5.551115123125783e-17
564,5.551115123125783e-17
565,4.440892098500626e-16
566,1.1102230246251565e-16
567,0.0
568,5.551115123125783e-17
569,1.6653345369377348e-16
570,2.220446049250313e-16
571,1.1102230246251565e-16
572,4.440892098500626e-16
573,2.7755575615628914e-17
574,0.0
575,1.6653345369377348e-16
576,1.1102230246251565e-16
577,0.0
578,5.551115123125783e-17
579,0.0
580,0.0
581,8.326672684688674e-17
582,8.326672684688674e-17
583,0.0
584,3.469446951953614e-17
585,1.1102230246251565e-16
586,0.0
587,0.0
588,2.220446049250313e-16
589,6.938893903907228e-18
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,4.440892098500626e-16
598,2.220446049250313e-16
599,0.0
600,8.881784197001252e-16
601,0.0
602,2.220446049250313e-16
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,1.1102230246251565e-16
609,0.0
610,0.0
611,0.0
612,1.1102230246251565e-16
613,0.0
614,2.7755575615628914e-17
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,2.7755575615628914e-17
621,0.0
622,5.551115123125783e-17
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,1.1102230246251565e-16
632,1.1102230246251565e-16
633,2.7755575615628914e-17
634,2.7755575615628914e-17
635,0.0
636,0.0
637,0.0
638,1.3877787807814457e-16
639,0.0
640,0.0
641,1.1102230246251565e-16
642,6.938893903907228e-18
643,2.220446049250313e-16
644,1.6653345369377348e-16
645,1.1102230246251565e-16
646,0.0
647,1.1102230246251565e-16
648,2.220446049250313e-16
649,2.220446049250313e-16
650,1.1102230246251565e-16
