n,sample_index,model,relation_identical,order_measurable_q_identical,shared_random_q_identical,rank_gap_q_identical,coordinate_q_identical,coordinate_q_centered_rms_difference
32,174,power_anisotropic,True,True,True,True,False,0.18511321501748476
32,174,beta_skew,True,True,True,True,False,0.19325592410315642
32,175,power_anisotropic,True,True,True,True,False,0.1975205870945579
32,175,beta_skew,True,True,True,True,False,0.17765565656088086
32,176,power_anisotropic,True,True,True,True,False,0.18117314836874054
32,176,beta_skew,True,True,True,True,False,0.18683002612913938
32,177,power_anisotropic,True,True,True,True,False,0.2135196613205524
32,177,beta_skew,True,True,True,True,False,0.21334353084064375
32,178,power_anisotropic,True,True,True,True,False,0.20386455229129283
32,178,beta_skew,True,True,True,True,False,0.19613949828768373
32,179,power_anisotropic,True,True,True,True,False,0.2089311868061115
32,179,beta_skew,True,True,True,True,False,0.18292992952481593
32,180,power_anisotropic,True,True,True,True,False,0.1589482343163462
32,180,beta_skew,True,True,True,True,False,0.17377213451260698
32,181,power_anisotropic,True,True,True,True,False,0.1930908840186096
32,181,beta_skew,True,True,True,True,False,0.17858821877207057
32,182,power_anisotropic,True,True,True,True,False,0.2099701730714339
32,182,beta_skew,True,True,True,True,False,0.20349905465378554
32,183,power_anisotropic,True,True,True,True,False,0.18463957174432274
32,183,beta_skew,True,True,True,True,False,0.2055315694971221
32,184,power_anisotropic,True,True,True,True,False,0.20067168546120984
32,184,beta_skew,True,True,True,True,False,0.19734804722231786
32,185,power_anisotropic,True,True,True,True,False,0.15837992861872197
32,185,beta_skew,True,True,True,True,False,0.1989427387987594
32,186,power_anisotropic,True,True,True,True,False,0.1956339414020209
32,186,beta_skew,True,True,True,True,False,0.19045915493548682
32,187,power_anisotropic,True,True,True,True,False,0.1890160028823563
32,187,beta_skew,True,True,True,True,False,0.19535755215324008
32,188,power_anisotropic,True,True,True,True,False,0.23537106456126483
32,188,beta_skew,True,True,True,True,False,0.22984710079646545
32,189,power_anisotropic,True,True,True,True,False,0.2319881683862344
32,189,beta_skew,True,True,True,True,False,0.22297392434258637
32,190,power_anisotropic,True,True,True,True,False,0.21145607269045646
32,190,beta_skew,True,True,True,True,False,0.2088767968593006
32,191,power_anisotropic,True,True,True,True,False,0.19045582516544715
32,191,beta_skew,True,True,True,True,False,0.17265693857396155
32,192,power_anisotropic,True,True,True,True,False,0.21171973318711068
32,192,beta_skew,True,True,True,True,False,0.20686058183397285
32,193,power_anisotropic,True,True,True,True,False,0.16331838765905726
32,193,beta_skew,True,True,True,True,False,0.18049822543576488
32,194,power_anisotropic,True,True,True,True,False,0.22851982517374722
32,194,beta_skew,True,True,True,True,False,0.20978877827806308
32,195,power_anisotropic,True,True,True,True,False,0.2060246464827686
32,195,beta_skew,True,True,True,True,False,0.17422467941410372
32,196,power_anisotropic,True,True,True,True,False,0.22280968771482346
32,196,beta_skew,True,True,True,True,False,0.20237371483426778
32,197,power_anisotropic,True,True,True,True,False,0.2235911591054783
32,197,beta_skew,True,True,True,True,False,0.20926167934045384
32,198,power_anisotropic,True,True,True,True,False,0.21959115617753266
32,198,beta_skew,True,True,True,True,False,0.19806808912995638
32,199,power_anisotropic,True,True,True,True,False,0.2334001403635105
32,199,beta_skew,True,True,True,True,False,0.20660331261856812
32,200,power_anisotropic,True,True,True,True,False,0.20587406253909624
32,200,beta_skew,True,True,True,True,False,0.15037945911673456
32,201,power_anisotropic,True,True,True,True,False,0.22575966151076027
32,201,beta_skew,True,True,True,True,False,0.2029186993699104
32,202,power_anisotropic,True,True,True,True,False,0.18028348921346862
32,202,beta_skew,True,True,True,True,False,0.17604551842264196
32,203,power_anisotropic,True,True,True,True,False,0.20230565883793816
32,203,beta_skew,True,True,True,True,False,0.18726674211542546
32,204,power_anisotropic,True,True,True,True,False,0.19408582161549032
32,204,beta_skew,True,True,True,True,False,0.20042462014826598
32,205,power_anisotropic,True,True,True,True,False,0.16555937635148896
32,205,beta_skew,True,True,True,True,False,0.17429496849591797
32,206,power_anisotropic,True,True,True,True,False,0.19178005462458686
32,206,beta_skew,True,True,True,True,False,0.1858679898447841
32,207,power_anisotropic,True,True,True,True,False,0.20542973862550679
32,207,beta_skew,True,True,True,True,False,0.19326979807523495
32,208,power_anisotropic,True,True,True,True,False,0.1894098619983112
32,208,beta_skew,True,True,True,True,False,0.2089733196688807
32,209,power_anisotropic,True,True,True,True,False,0.21188603898083874
32,209,beta_skew,True,True,True,True,False,0.20594812525243641
32,210,power_anisotropic,True,True,True,True,False,0.23661545608593793
32,210,beta_skew,True,True,True,True,False,0.17852540023745275
32,211,power_anisotropic,True,True,True,True,False,0.20946905260194984
32,211,beta_skew,True,True,True,True,False,0.19856735569593126
32,212,power_anisotropic,True,True,True,True,False,0.22192121532740958
32,212,beta_skew,True,True,True,True,False,0.1628052906670673
32,213,power_anisotropic,True,True,True,True,False,0.2291709710430066
32,213,beta_skew,True,True,True,True,False,0.19547689626517728
32,214,power_anisotropic,True,True,True,True,False,0.19241108999007142
32,214,beta_skew,True,True,True,True,False,0.20745897033143912
32,215,power_anisotropic,True,True,True,True,False,0.21217115319368068
32,215,beta_skew,True,True,True,True,False,0.21656940302585528
32,216,power_anisotropic,True,True,True,True,False,0.2135722144324801
32,216,beta_skew,True,True,True,True,False,0.20678089813830874
32,217,power_anisotropic,True,True,True,True,False,0.19056356129131205
32,217,beta_skew,True,True,True,True,False,0.2139389287836131
32,218,power_anisotropic,True,True,True,True,False,0.21125876443515745
32,218,beta_skew,True,True,True,True,False,0.18995590719723632
32,219,power_anisotropic,True,True,True,True,False,0.22169143835448235
32,219,beta_skew,True,True,True,True,False,0.21117764113386675
32,220,power_anisotropic,True,True,True,True,False,0.197676593346873
32,220,beta_skew,True,True,True,True,False,0.1869391507310155
32,221,power_anisotropic,True,True,True,True,False,0.2146958572237926
32,221,beta_skew,True,True,True,True,False,0.19629393648424726
32,222,power_anisotropic,True,True,True,True,False,0.21426225272984117
