sample_index,offset,effective_distance_scaling_relative_error,normalized_distance_invariance_error,centered_q_invariance_error
27,0.75,3.4902538182420684e-16,4.440892098500626e-16,1.1102230246251565e-16
27,1.6,4.475359794623152e-16,4.440892098500626e-16,2.220446049250313e-16
28,-2.0,4.065829704274129e-16,6.661338147750939e-16,4.440892098500626e-16
28,-0.5,3.760140172125402e-16,4.440892098500626e-16,2.220446049250313e-16
28,0.75,3.267158120446757e-16,4.440892098500626e-16,2.220446049250313e-16
28,1.6,3.8083581971169457e-16,6.661338147750939e-16,3.3306690738754696e-16
29,-2.0,4.0160735452373747e-16,8.881784197001252e-16,2.7755575615628914e-16
29,-0.5,3.4323855120683624e-16,4.440892098500626e-16,1.6653345369377348e-16
29,0.75,4.0272556443396715e-16,4.440892098500626e-16,2.220446049250313e-16
29,1.6,3.113345017607464e-16,4.440892098500626e-16,2.7755575615628914e-16
30,-2.0,4.403831570841543e-16,6.661338147750939e-16,2.7755575615628914e-16
30,-0.5,3.1061213470150395e-16,4.440892098500626e-16,2.220446049250313e-16
30,0.75,4.042817052910917e-16,4.440892098500626e-16,2.220446049250313e-16
30,1.6,3.8286821043518126e-16,6.661338147750939e-16,2.220446049250313e-16
31,-2.0,3.7627671410100413e-16,4.440892098500626e-16,3.3306690738754696e-16
31,-0.5,2.2799527907548304e-16,4.440892098500626e-16,2.220446049250313e-16
31,0.75,2.612869644664145e-16,4.440892098500626e-16,2.220446049250313e-16
31,1.6,3.281792716828946e-16,6.661338147750939e-16,3.3306690738754696e-16
32,-2.0,3.8685735760803354e-16,4.440892098500626e-16,3.3306690738754696e-16
32,-0.5,3.2891065656195754e-16,4.440892098500626e-16,2.220446049250313e-16
32,0.75,3.6530262027210984e-16,6.661338147750939e-16,1.3877787807814457e-16
32,1.6,3.2114523245970535e-16,4.440892098500626e-16,3.3306690738754696e-16
33,-2.0,4.2930997891609567e-16,6.661338147750939e-16,6.661338147750939e-16
33,-0.5,3.250494530797328e-16,4.440892098500626e-16,2.220446049250313e-16
33,0.75,3.3450539778566604e-16,4.440892098500626e-16,2.220446049250313e-16
33,1.6,3.8509017878177964e-16,6.661338147750939e-16,3.3306690738754696e-16
34,-2.0,5.035891922003729e-16,6.661338147750939e-16,2.7755575615628914e-16
34,-0.5,3.6322971495530683e-16,4.440892098500626e-16,2.220446049250313e-16
34,0.75,2.7392571160276605e-16,4.440892098500626e-16,1.6653345369377348e-16
34,1.6,3.3033080122515403e-16,6.661338147750939e-16,2.7755575615628914e-16
35,-2.0,4.0050384007341356e-16,6.661338147750939e-16,4.718447854656915e-16
35,-0.5,3.6439599382677026e-16,4.440892098500626e-16,2.220446049250313e-16
35,0.75,3.762695921484446e-16,4.440892098500626e-16,4.440892098500626e-16
35,1.6,3.6748893807507253e-16,4.440892098500626e-16,2.220446049250313e-16
36,-2.0,4.3931461405269194e-16,4.440892098500626e-16,3.885780586188048e-16
36,-0.5,3.532236656919888e-16,4.440892098500626e-16,2.220446049250313e-16
36,0.75,3.6170061239106573e-16,4.440892098500626e-16,2.220446049250313e-16
36,1.6,3.460360678005304e-16,6.661338147750939e-16,4.440892098500626e-16
37,-2.0,3.4657420648797987e-16,4.440892098500626e-16,2.7755575615628914e-16
37,-0.5,2.714427804389172e-16,4.440892098500626e-16,1.1102230246251565e-16
37,0.75,2.4289610998012733e-16,4.440892098500626e-16,2.220446049250313e-16
37,1.6,3.5813334138315174e-16,4.440892098500626e-16,2.7755575615628914e-16
38,-2.0,4.03318174947547e-16,4.440892098500626e-16,3.3306690738754696e-16
38,-0.5,2.548867211542158e-16,6.661338147750939e-16,2.220446049250313e-16
38,0.75,3.933886389622013e-16,6.661338147750939e-16,2.220446049250313e-16
38,1.6,3.745502097799084e-16,6.661338147750939e-16,4.440892098500626e-16
39,-2.0,4.891804135001978e-16,4.440892098500626e-16,4.440892098500626e-16
39,-0.5,3.246294676361165e-16,2.220446049250313e-16,1.3877787807814457e-16
39,0.75,4.014798794925297e-16,4.440892098500626e-16,2.220446049250313e-16
39,1.6,3.372536115905672e-16,4.440892098500626e-16,4.440892098500626e-16
