sample_index,lambda,closure_probability_error
62,2.0,1.1102230246251565e-16
63,0.5,5.551115123125783e-17
63,1.0,2.7755575615628914e-17
63,2.0,5.551115123125783e-17
64,0.5,5.551115123125783e-17
64,1.0,5.551115123125783e-17
64,2.0,5.551115123125783e-17
65,0.5,5.551115123125783e-17
65,1.0,2.7755575615628914e-17
65,2.0,1.1102230246251565e-16
66,0.5,8.326672684688674e-17
66,1.0,2.7755575615628914e-17
66,2.0,1.1102230246251565e-16
67,0.5,8.326672684688674e-17
67,1.0,2.7755575615628914e-17
67,2.0,1.1102230246251565e-16
68,0.5,5.551115123125783e-17
68,1.0,1.1102230246251565e-16
68,2.0,1.1102230246251565e-16
69,0.5,5.551115123125783e-17
69,1.0,5.551115123125783e-17
69,2.0,1.1102230246251565e-16
70,0.5,1.1102230246251565e-16
70,1.0,1.1102230246251565e-16
70,2.0,1.1102230246251565e-16
71,0.5,2.7755575615628914e-17
71,1.0,5.551115123125783e-17
71,2.0,1.6653345369377348e-16
72,0.5,1.1102230246251565e-16
72,1.0,5.551115123125783e-17
72,2.0,5.551115123125783e-17
73,0.5,2.7755575615628914e-17
73,1.0,5.551115123125783e-17
73,2.0,1.3877787807814457e-17
74,0.5,5.551115123125783e-17
74,1.0,2.7755575615628914e-17
74,2.0,8.326672684688674e-17
75,0.5,2.7755575615628914e-17
75,1.0,5.551115123125783e-17
75,2.0,1.1102230246251565e-16
76,0.5,2.7755575615628914e-17
76,1.0,5.551115123125783e-17
76,2.0,5.551115123125783e-17
77,0.5,5.551115123125783e-17
77,1.0,5.551115123125783e-17
77,2.0,2.220446049250313e-16
78,0.5,2.7755575615628914e-17
78,1.0,2.7755575615628914e-17
78,2.0,1.1102230246251565e-16
79,0.5,5.551115123125783e-17
79,1.0,1.1102230246251565e-16
79,2.0,1.1102230246251565e-16
80,0.5,5.551115123125783e-17
80,1.0,5.551115123125783e-17
80,2.0,1.3877787807814457e-17
81,0.5,8.326672684688674e-17
81,1.0,5.551115123125783e-17
81,2.0,1.1102230246251565e-16
82,0.5,5.551115123125783e-17
82,1.0,2.7755575615628914e-17
82,2.0,1.1102230246251565e-16
83,0.5,5.551115123125783e-17
83,1.0,5.551115123125783e-17
83,2.0,1.6653345369377348e-16
84,0.5,8.326672684688674e-17
84,1.0,5.551115123125783e-17
84,2.0,1.1102230246251565e-16
85,0.5,5.551115123125783e-17
85,1.0,5.551115123125783e-17
85,2.0,1.1102230246251565e-16
86,0.5,1.1102230246251565e-16
86,1.0,5.551115123125783e-17
86,2.0,1.1102230246251565e-16
87,0.5,2.7755575615628914e-17
87,1.0,5.551115123125783e-17
87,2.0,1.1102230246251565e-16
88,0.5,5.551115123125783e-17
88,1.0,5.551115123125783e-17
88,2.0,2.220446049250313e-16
89,0.5,5.551115123125783e-17
89,1.0,5.551115123125783e-17
89,2.0,2.7755575615628914e-17
90,0.5,5.551115123125783e-17
90,1.0,5.551115123125783e-17
90,2.0,1.1102230246251565e-16
91,0.5,2.7755575615628914e-17
91,1.0,2.7755575615628914e-17
91,2.0,5.551115123125783e-17
92,0.5,2.7755575615628914e-17
92,1.0,8.326672684688674e-17
92,2.0,5.551115123125783e-17
93,0.5,5.551115123125783e-17
93,1.0,8.326672684688674e-17
93,2.0,6.938893903907228e-17
94,0.5,5.551115123125783e-17
94,1.0,5.551115123125783e-17
94,2.0,1.6653345369377348e-16
95,0.5,2.7755575615628914e-17
95,1.0,2.7755575615628914e-17
95,2.0,1.1102230246251565e-16
96,0.5,5.551115123125783e-17
96,1.0,1.1102230246251565e-16
96,2.0,1.1102230246251565e-16
97,0.5,1.1102230246251565e-16
97,1.0,2.7755575615628914e-17
97,2.0,1.1102230246251565e-16
98,0.5,5.551115123125783e-17
98,1.0,5.551115123125783e-17
98,2.0,8.326672684688674e-17
99,0.5,1.1102230246251565e-16
99,1.0,5.551115123125783e-17
99,2.0,6.938893903907228e-17
100,0.5,2.7755575615628914e-17
100,1.0,5.551115123125783e-17
100,2.0,2.7755575615628914e-17
101,0.5,5.551115123125783e-17
101,1.0,5.551115123125783e-17
101,2.0,5.551115123125783e-17
102,0.5,2.7755575615628914e-17
102,1.0,2.7755575615628914e-17
102,2.0,1.1102230246251565e-16
103,0.5,5.551115123125783e-17
103,1.0,2.7755575615628914e-17
103,2.0,1.3877787807814457e-17
104,0.5,5.551115123125783e-17
104,1.0,2.7755575615628914e-17
104,2.0,2.220446049250313e-16
105,0.5,2.7755575615628914e-17
105,1.0,2.7755575615628914e-17
105,2.0,1.1102230246251565e-16
106,0.5,5.551115123125783e-17
106,1.0,5.551115123125783e-17
106,2.0,1.1102230246251565e-16
107,0.5,8.326672684688674e-17
107,1.0,5.551115123125783e-17
107,2.0,5.551115123125783e-17
108,0.5,5.551115123125783e-17
108,1.0,1.1102230246251565e-16
108,2.0,5.551115123125783e-17
109,0.5,5.551115123125783e-17
109,1.0,5.551115123125783e-17
109,2.0,5.551115123125783e-17
110,0.5,5.551115123125783e-17
110,1.0,5.551115123125783e-17
110,2.0,1.1102230246251565e-16
111,0.5,5.551115123125783e-17
111,1.0,5.551115123125783e-17
111,2.0,5.551115123125783e-17
112,0.5,8.326672684688674e-17
112,1.0,2.7755575615628914e-17
