sample_index,lambda_first,lambda_second,macro_probability_total_variation
192,0.5,1.0,0.10828184179002745
192,0.5,2.0,0.24405397925382802
192,1.0,2.0,0.1579943450045439
193,0.5,1.0,0.12757907019417608
193,0.5,2.0,0.5166697311058848
193,1.0,2.0,0.38909066091170863
194,0.5,1.0,0.16254710344747342
194,0.5,2.0,0.3801753003441122
194,1.0,2.0,0.21762819689663873
195,0.5,1.0,0.07910555955945103
195,0.5,2.0,0.24272126068142386
195,1.0,2.0,0.16361570112197282
196,0.5,1.0,0.11449364674906472
196,0.5,2.0,0.27446313601692807
196,1.0,2.0,0.15996948926786334
197,0.5,1.0,0.08642411897615518
197,0.5,2.0,0.3110264934276594
197,1.0,2.0,0.22568688458865782
198,0.5,1.0,0.09422029351766996
198,0.5,2.0,0.41909612239819377
198,1.0,2.0,0.32587741559914285
199,0.5,1.0,0.052869686372734905
199,0.5,2.0,0.23452253832640585
199,1.0,2.0,0.18165285195367092
200,0.5,1.0,0.06503661025322963
200,0.5,2.0,0.22124996565123872
200,1.0,2.0,0.17337420551677013
201,0.5,1.0,0.10648676721382613
201,0.5,2.0,0.35093283954769244
201,1.0,2.0,0.2461846499005851
202,0.5,1.0,0.08734504918011206
202,0.5,2.0,0.3974319315460271
202,1.0,2.0,0.31206578828490666
203,0.5,1.0,0.07850870683372173
203,0.5,2.0,0.18303480279449313
203,1.0,2.0,0.13441554236227393
204,0.5,1.0,0.12395473008671318
204,0.5,2.0,0.3117734826644535
204,1.0,2.0,0.18781875257774028
205,0.5,1.0,0.1508235078460422
205,0.5,2.0,0.4118301228072075
205,1.0,2.0,0.2801407624917956
206,0.5,1.0,0.04897264018913553
206,0.5,2.0,0.1732128666367289
206,1.0,2.0,0.12424022644759336
207,0.5,1.0,0.11070081809214335
207,0.5,2.0,0.3264356814362108
207,1.0,2.0,0.24492321301053543
208,0.5,1.0,0.09120805938154862
208,0.5,2.0,0.24716381753562905
208,1.0,2.0,0.15595575815408044
209,0.5,1.0,0.11872041379563071
209,0.5,2.0,0.27983283207064846
209,1.0,2.0,0.1611124182750177
210,0.5,1.0,0.06046556171405706
210,0.5,2.0,0.24599728991095168
210,1.0,2.0,0.18553172819689462
211,0.5,1.0,0.15575194914194573
211,0.5,2.0,0.5920791842413359
211,1.0,2.0,0.43632723509939003
212,0.5,1.0,0.037870386169950074
212,0.5,2.0,0.09257846532871679
212,1.0,2.0,0.058875335323969484
213,0.5,1.0,0.10633234814389464
213,0.5,2.0,0.29027146469464743
213,1.0,2.0,0.18393911655075282
214,0.5,1.0,0.07959973357025889
214,0.5,2.0,0.3438018183238446
214,1.0,2.0,0.2744917088243271
215,0.5,1.0,0.13863338980016449
215,0.5,2.0,0.389444208373965
215,1.0,2.0,0.27962686738973785
216,0.5,1.0,0.09251478666556875
216,0.5,2.0,0.2604995335951107
216,1.0,2.0,0.16798474692954196
217,0.5,1.0,0.13527506636002987
217,0.5,2.0,0.3848731733778151
217,1.0,2.0,0.2495981070177853
218,0.5,1.0,0.051642565855421624
218,0.5,2.0,0.330090741607881
218,1.0,2.0,0.28098997413155613
219,0.5,1.0,0.10922861171754956
219,0.5,2.0,0.3674515391873101
219,1.0,2.0,0.25822292746976055
220,0.5,1.0,0.08088457815397582
220,0.5,2.0,0.32045896500251214
220,1.0,2.0,0.23957438684853624
221,0.5,1.0,0.1701059023735209
221,0.5,2.0,0.5594959202870897
221,1.0,2.0,0.3893900179135688
222,0.5,1.0,0.15862817101387994
