sample_index,maximum_z_invariance_error
673,2.220446049250313e-16
674,4.440892098500626e-16
675,4.440892098500626e-16
676,5.551115123125783e-17
677,2.220446049250313e-16
678,1.3322676295501878e-15
679,1.6653345369377348e-15
680,1.3877787807814457e-16
681,2.220446049250313e-16
682,4.440892098500626e-16
683,2.220446049250313e-16
684,1.1102230246251565e-16
685,2.220446049250313e-16
686,4.440892098500626e-16
687,2.220446049250313e-16
688,4.440892098500626e-16
689,4.440892098500626e-16
690,5.551115123125783e-16
691,2.220446049250313e-16
692,2.220446049250313e-16
693,2.7755575615628914e-16
694,3.3306690738754696e-16
695,4.440892098500626e-16
696,2.220446049250313e-16
697,4.440892098500626e-16
698,2.220446049250313e-16
699,4.440892098500626e-16
700,2.220446049250313e-16
701,1.1102230246251565e-15
702,4.440892098500626e-16
703,4.440892098500626e-16
704,2.220446049250313e-16
705,4.440892098500626e-16
706,3.3306690738754696e-16
707,2.220446049250313e-16
708,2.7755575615628914e-16
709,2.7755575615628914e-17
710,2.220446049250313e-16
711,4.440892098500626e-16
712,2.220446049250313e-16
713,1.3322676295501878e-15
714,2.220446049250313e-16
715,4.440892098500626e-16
716,2.4424906541753444e-15
717,2.220446049250313e-16
718,4.440892098500626e-16
719,2.220446049250313e-16
720,3.3306690738754696e-16
721,2.220446049250313e-16
722,1.1102230246251565e-16
723,4.440892098500626e-16
724,2.220446049250313e-16
725,2.220446049250313e-16
726,2.220446049250313e-16
727,3.3306690738754696e-16
728,1.1102230246251565e-16
729,2.220446049250313e-16
730,6.106226635438361e-16
731,0.0
732,4.440892098500626e-16
733,4.440892098500626e-16
734,4.440892098500626e-16
735,4.440892098500626e-16
736,2.8102520310824275e-16
737,4.440892098500626e-16
738,5.551115123125783e-16
739,6.106226635438361e-16
740,3.3306690738754696e-16
741,1.1102230246251565e-16
742,3.3306690738754696e-16
743,1.1102230246251565e-16
744,2.220446049250313e-16
745,9.325873406851315e-15
746,2.220446049250313e-16
747,2.220446049250313e-16
748,3.191891195797325e-16
749,4.440892098500626e-16
750,3.3306690738754696e-16
751,4.440892098500626e-16
752,6.661338147750939e-16
753,4.440892098500626e-16
754,6.661338147750939e-16
755,4.440892098500626e-16
756,1.1102230246251565e-15
757,5.551115123125783e-17
758,2.220446049250313e-16
759,2.220446049250313e-16
760,2.220446049250313e-16
761,5.551115123125783e-16
762,2.220446049250313e-16
763,1.1102230246251565e-16
764,2.220446049250313e-16
765,8.881784197001252e-16
766,2.220446049250313e-16
767,2.220446049250313e-16
768,2.220446049250313e-16
769,2.220446049250313e-16
770,2.220446049250313e-16
771,2.220446049250313e-16
772,2.220446049250313e-16
773,2.220446049250313e-16
774,1.1102230246251565e-16
775,4.440892098500626e-16
776,2.220446049250313e-16
777,4.440892098500626e-16
778,4.440892098500626e-16
779,2.220446049250313e-16
780,2.220446049250313e-16
781,3.0531133177191805e-16
782,4.440892098500626e-16
783,2.220446049250313e-16
784,2.220446049250313e-16
785,4.718447854656915e-16
786,2.220446049250313e-16
787,2.220446049250313e-16
788,1.4432899320127035e-15
789,2.220446049250313e-16
790,4.440892098500626e-16
791,6.661338147750939e-16
792,2.220446049250313e-16
793,2.220446049250313e-16
794,2.220446049250313e-16
795,2.220446049250313e-16
796,1.6653345369377348e-16
797,5.551115123125783e-16
798,1.1102230246251565e-16
799,1.1102230246251565e-16
800,2.220446049250313e-16
801,2.220446049250313e-16
802,4.440892098500626e-16
803,3.3306690738754696e-16
804,2.220446049250313e-16
805,4.440892098500626e-16
806,2.220446049250313e-16
807,2.220446049250313e-16
808,4.440892098500626e-16
809,4.440892098500626e-16
810,2.220446049250313e-16
811,4.440892098500626e-16
812,4.440892098500626e-16
813,2.220446049250313e-16
814,3.885780586188048e-16
815,6.661338147750939e-16
816,1.1102230246251565e-16
817,4.440892098500626e-16
818,1.1102230246251565e-16
819,2.220446049250313e-16
820,2.220446049250313e-16
821,2.220446049250313e-16
822,3.3306690738754696e-16
823,2.220446049250313e-16
824,2.220446049250313e-16
825,2.220446049250313e-16
826,1.1102230246251565e-15
827,4.440892098500626e-16
828,2.220446049250313e-16
829,2.220446049250313e-16
830,6.661338147750939e-16
831,2.220446049250313e-16
832,2.7755575615628914e-17
833,2.220446049250313e-16
834,2.220446049250313e-16
835,2.220446049250313e-16
836,3.3306690738754696e-16
837,2.220446049250313e-16
838,4.440892098500626e-16
839,2.220446049250313e-16
840,4.440892098500626e-16
841,2.220446049250313e-16
842,1.1102230246251565e-16
843,2.220446049250313e-16
844,2.220446049250313e-16
845,3.3306690738754696e-16
846,2.220446049250313e-16
847,4.440892098500626e-16
848,6.661338147750939e-16
849,9.992007221626409e-16
850,2.220446049250313e-16
851,2.220446049250313e-16
852,4.440892098500626e-16
853,3.3306690738754696e-16
854,1.1102230246251565e-15
855,2.220446049250313e-16
856,2.220446049250313e-16
857,2.220446049250313e-16
858,2.220446049250313e-16
859,4.440892098500626e-16
860,8.881784197001252e-16
861,2.220446049250313e-16
862,1.2212453270876722e-15
863,2.220446049250313e-16
864,2.7755575615628914e-16
865,3.3306690738754696e-16
866,8.881784197001252e-16
867,2.220446049250313e-16
868,3.885780586188048e-16
869,2.220446049250313e-16
870,4.440892098500626e-16
871,1.5265566588595902e-16
872,2.220446049250313e-16
873,4.440892098500626e-16
874,6.661338147750939e-16
875,2.220446049250313e-16
876,2.220446049250313e-16
877,4.440892098500626e-16
878,1.1102230246251565e-16
879,2.220446049250313e-16
880,4.440892098500626e-16
881,2.7755575615628914e-16
882,1.1102230246251565e-16
883,4.440892098500626e-16
884,2.220446049250313e-16
885,4.440892098500626e-16
886,2.220446049250313e-16
887,4.440892098500626e-16
888,2.220446049250313e-16
889,2.220446049250313e-16
890,2.220446049250313e-16
891,2.220446049250313e-16
892,2.220446049250313e-16
893,4.440892098500626e-16
894,6.661338147750939e-16
895,4.440892098500626e-16
896,2.220446049250313e-16
897,2.220446049250313e-16
898,4.440892098500626e-16
899,1.4432899320127035e-15
900,1.1102230246251565e-16
901,4.440892098500626e-16
902,2.220446049250313e-16
903,2.220446049250313e-16
904,5.10702591327572e-15
905,2.220446049250313e-16
906,2.220446049250313e-16
907,6.661338147750939e-16
908,2.220446049250313e-16
909,2.220446049250313e-16
910,2.220446049250313e-16
911,3.3306690738754696e-16
912,2.220446049250313e-16
913,2.220446049250313e-16
914,2.220446049250313e-16
915,1.6653345369377348e-16
916,2.220446049250313e-16
917,4.440892098500626e-16
918,2.220446049250313e-16
919,4.440892098500626e-16
920,2.220446049250313e-16
921,2.220446049250313e-16
922,4.440892098500626e-16
923,5.551115123125783e-16
924,2.220446049250313e-16
925,2.220446049250313e-16
926,2.220446049250313e-16
927,3.3306690738754696e-16
928,2.220446049250313e-16
929,3.885780586188048e-16
930,2.220446049250313e-16
931,4.440892098500626e-16
932,8.326672684688674e-17
933,1.1102230246251565e-16
934,2.220446049250313e-16
935,2.220446049250313e-16
936,4.440892098500626e-16
937,2.220446049250313e-16
938,4.440892098500626e-16
939,2.220446049250313e-16
940,4.440892098500626e-16
941,1.1102230246251565e-15
942,2.220446049250313e-16
943,3.3306690738754696e-16
944,2.7755575615628914e-16
945,2.220446049250313e-16
946,2.220446049250313e-16
947,2.220446049250313e-16
948,2.220446049250313e-16
949,1.1102230246251565e-16
950,2.220446049250313e-16
951,2.220446049250313e-16
952,1.6653345369377348e-16
953,2.220446049250313e-16
954,4.440892098500626e-16
955,2.220446049250313e-16
956,2.220446049250313e-16
957,3.3306690738754696e-16
958,4.440892098500626e-16
959,2.220446049250313e-16
