sample_index,lambda,analytical_derivative,numerical_derivative,derivative_error,strictly_negative
1727,2.4826774122914075,-0.07830333231454875,-0.07830333231817477,3.626016154001377e-12,True
1728,2.8318440034254184,-0.07344374139928304,-0.07344374141071697,1.1433923252646139e-11,True
1729,1.3379715824129168,-0.44386997151455587,-0.44386997151146795,3.087918809541179e-12,True
1730,3.4164733353822276,-0.04450683956859907,-0.044506839580460415,1.1861345239339016e-11,True
1731,0.6586665074991754,-1.2803286650184567,-1.2803286649876178,3.08388869996179e-11,True
1732,3.5016426389298125,-0.038181778694810126,-0.03818177869430173,5.083988785514748e-13,True
1733,1.8632480628875623,-0.1607158796806867,-0.16071587967680934,3.877370646776512e-12,True
1734,3.355302422414152,-0.06489550918090432,-0.06489550918864495,7.740627583352477e-12,True
1735,1.9610977100607758,-0.24373064204282888,-0.24373064203553338,7.295497539416829e-12,True
1736,3.1707328616101838,-0.04923575105543019,-0.04923575105397759,1.452601927631747e-12,True
1737,1.4578904281811298,-0.44505771038643166,-0.4450577104075925,2.1160850849355484e-11,True
1738,2.167034472233848,-0.2544743683255553,-0.25447436835523973,2.968442158746143e-11,True
1739,3.9496967171771904,-0.017656708256738086,-0.017656708262148157,5.4100716961880124e-12,True
1740,1.0695734429676074,-1.0683667791518308,-1.0683667791444584,7.37232497272089e-12,True
1741,0.5041888201421727,-0.9638259049378769,-0.9638259049260521,1.1824763390677617e-11,True
1742,1.793910473456082,-0.38771608271381114,-0.38771608273924224,2.5431101668971223e-11,True
1743,1.7195802540862881,-0.29176063835017013,-0.2917606383379123,1.225780588143266e-11,True
1744,3.861360506429663,-0.03682186222217082,-0.03682186220377304,1.8397783296819625e-11,True
1745,3.6244705994541535,-0.014367268153033382,-0.01436726814185718,1.1176202324714168e-11,True
1746,2.289776623420864,-0.21390365889602672,-0.21390365887441473,2.1611989975411916e-11,True
1747,3.0022947397542987,-0.04347976452836299,-0.04347976454432966,1.596667242864669e-11,True
1748,1.524462436387583,-0.6934207636456022,-0.6934207636422051,3.3971714330505165e-12,True
1749,2.748158693075489,-0.0762695396058836,-0.07626953961725746,1.1373860187013918e-11,True
1750,2.9368909144891586,-0.009713354207841167,-0.009713354215401537,7.560370732240251e-12,True
1751,3.0374727885175816,-0.11126436772780006,-0.11126436773034597,2.5459079289191777e-12,True
1752,0.7069916257448442,-0.6615557238714121,-0.6615557238742742,2.862043935181191e-12,True
1753,3.6200945660183663,-0.024326612259191957,-0.024326612263481092,4.289135019375223e-12,True
1754,3.900290513988315,-0.03879986492659194,-0.03879986492094645,5.645491019112825e-12,True
1755,1.2263142169023535,-0.6962169046842938,-0.6962169046831334,1.1604051053382136e-12,True
1756,2.8829492384705855,-0.05342590102747264,-0.05342590102541677,2.0558693636374414e-12,True
1757,3.039520628996728,-0.10071096434660867,-0.10071096434582925,7.794181966502833e-13,True
1758,3.2192024091390756,-0.056570664144279775,-0.05657066415309941,8.819632524303955e-12,True
1759,3.6939133667145536,-0.017143565143426402,-0.01714356513971005,3.716353613736345e-12,True
1760,0.6761743692994955,-1.1596625463011612,-1.1596625462739762,2.7184920980971583e-11,True
1761,0.5310581888489071,-0.5435837333779462,-0.5435837333866989,8.752665259237347e-12,True
1762,3.3169446217641476,-0.08260723053222255,-0.08260723053377106,1.5485113191715527e-12,True
1763,3.160100356483151,-0.04701109481473518,-0.04701109482807552,1.3340342719381226e-11,True
1764,0.10205426025969033,-1.0053154858286286,-1.0053154858052915,2.3337110022225716e-11,True
1765,2.008640073701167,-0.09086213858394854,-0.09086213857423252,9.716019655492403e-12,True
1766,1.0961011518168418,-0.23145304426052324,-0.2314530442748541,1.4330869824163983e-11,True
1767,2.9052130760978625,-0.05581054451092973,-0.055810544508094743,2.8349891878498568e-12,True
1768,1.920307886182636,-0.40322240673065907,-0.403222406730741,8.193445921733655e-14,True
1769,3.6688827484301507,-0.04780037151807176,-0.04780037156093541,4.2863650129287834e-11,True
1770,1.8465028641681525,-0.23191000719771815,-0.23191000719791074,1.9259593919684903e-13,True
1771,0.45189107863178946,-0.9397697141361127,-0.9397697141255711,1.0541567618815861e-11,True
1772,1.1001694189731734,-0.36699507339449305,-0.36699507340864906,1.4156009697785521e-11,True
