sample_index,lambda_first,lambda_second,total_variation
199,0.5,1.0,0.16523528160821227
199,0.5,2.0,0.3520036720557922
199,1.0,2.0,0.18676839044757995
200,0.5,1.0,0.08423566357147473
200,0.5,2.0,0.22047145028175316
200,1.0,2.0,0.146763170215103
201,0.5,1.0,0.3000075121482934
201,0.5,2.0,0.5799535260699353
201,1.0,2.0,0.2799460139216421
202,0.5,1.0,0.16306656023035804
202,0.5,2.0,0.3174175237739324
202,1.0,2.0,0.1543509635435744
203,0.5,1.0,0.18131714028305368
203,0.5,2.0,0.37896047957245127
203,1.0,2.0,0.20850898671147722
204,0.5,1.0,0.25127993893718914
204,0.5,2.0,0.5935218304661494
204,1.0,2.0,0.34224189152896023
205,0.5,1.0,0.2533049216346039
205,0.5,2.0,0.6113102156749537
205,1.0,2.0,0.35800529404034975
206,0.5,1.0,0.2127897955141261
206,0.5,2.0,0.5628946942886076
206,1.0,2.0,0.3501048987744815
207,0.5,1.0,0.20733610658057428
207,0.5,2.0,0.3823817166310676
207,1.0,2.0,0.17504561005049338
208,0.5,1.0,0.2738084316564565
208,0.5,2.0,0.5475033178376212
208,1.0,2.0,0.2736948861811647
209,0.5,1.0,0.21627629076039906
209,0.5,2.0,0.5274173998274339
209,1.0,2.0,0.3120848012876382
210,0.5,1.0,0.15964267377721664
210,0.5,2.0,0.4342368123812135
210,1.0,2.0,0.2745941386039968
211,0.5,1.0,0.20027252709022886
211,0.5,2.0,0.44346096971526544
211,1.0,2.0,0.24318844262503658
212,0.5,1.0,0.19330212999586072
212,0.5,2.0,0.4635076181760255
212,1.0,2.0,0.2948704988989804
213,0.5,1.0,0.25870653904989654
213,0.5,2.0,0.5087631580855028
213,1.0,2.0,0.25005661903560616
214,0.5,1.0,0.19896721394927802
214,0.5,2.0,0.45233466205098133
214,1.0,2.0,0.2663094199415635
215,0.5,1.0,0.114446669361389
215,0.5,2.0,0.2691058518588571
215,1.0,2.0,0.15465918249746813
216,0.5,1.0,0.2414838934555844
216,0.5,2.0,0.6199827731696833
216,1.0,2.0,0.3784988797140989
217,0.5,1.0,0.18195746032588767
217,0.5,2.0,0.437634567476018
217,1.0,2.0,0.2752970168161069
218,0.5,1.0,0.21973009448662628
218,0.5,2.0,0.49891999420777666
218,1.0,2.0,0.2791898997211504
219,0.5,1.0,0.15576066440629152
219,0.5,2.0,0.35361335882000805
219,1.0,2.0,0.1978526944137165
220,0.5,1.0,0.1502746288727522
220,0.5,2.0,0.33237975736611
220,1.0,2.0,0.19013936625501837
221,0.5,1.0,0.1471274196380685
221,0.5,2.0,0.3439097612734385
221,1.0,2.0,0.20028926230509025
222,0.5,1.0,0.22414715586287565
222,0.5,2.0,0.5699499039000405
222,1.0,2.0,0.35469773733133597
223,0.5,1.0,0.13705723078321488
223,0.5,2.0,0.30452696844119265
223,1.0,2.0,0.17322457279274173
224,0.5,1.0,0.17027975886944116
224,0.5,2.0,0.32878406593812226
224,1.0,2.0,0.19050944405152936
225,0.5,1.0,0.18233862885696225
225,0.5,2.0,0.4129142184673272
225,1.0,2.0,0.23057558961036492
226,0.5,1.0,0.17920692547512865
226,0.5,2.0,0.4445523916714714
226,1.0,2.0,0.2808322178720138
227,0.5,1.0,0.22330640385032627
227,0.5,2.0,0.4577214289031519
227,1.0,2.0,0.23441502505282555
228,0.5,1.0,0.20215272818486213
228,0.5,2.0,0.4462363007332674
228,1.0,2.0,0.2605719532373804
229,0.5,1.0,0.13918310576375809
229,0.5,2.0,0.31369620055928293
229,1.0,2.0,0.17451309479552485
230,0.5,1.0,0.1499405287284971
230,0.5,2.0,0.25211289488683963
230,1.0,2.0,0.12810780311272646
231,0.5,1.0,0.07245680318276883
231,0.5,2.0,0.19734275294265538
231,1.0,2.0,0.12811265662060228
232,0.5,1.0,0.14165938819042811
232,0.5,2.0,0.3088361844530293
232,1.0,2.0,0.1783880223070828
233,0.5,1.0,0.23323528627480117
233,0.5,2.0,0.5332202780760943
233,1.0,2.0,0.2999849918012931
234,0.5,1.0,0.1301268693758599
234,0.5,2.0,0.27467043141358133
234,1.0,2.0,0.16294020588181152
