sample_index,function,relative_odds_error
129,exp_2,0.0
129,asinh,0.0
129,logistic,0.0
130,exp_0_5,0.0
130,exp_1,2.548006892823242e-16
130,exp_2,0.0
130,asinh,1.193264126166183e-16
130,logistic,0.0
131,exp_0_5,0.0
131,exp_1,1.5465786385345787e-16
131,exp_2,2.1544369303447366e-16
131,asinh,0.0
131,logistic,1.7465039222773816e-16
132,exp_0_5,1.1614630063777035e-16
132,exp_1,1.2150678604773068e-16
132,exp_2,1.3298138057111295e-16
132,asinh,1.912435294861441e-16
132,logistic,0.0
133,exp_0_5,0.0
133,exp_1,1.2588810335054286e-16
133,exp_2,0.0
133,asinh,1.1229738544864844e-16
133,logistic,1.4921973182263325e-16
134,exp_0_5,0.0
134,exp_1,0.0
134,exp_2,0.0
134,asinh,0.0
134,logistic,0.0
135,exp_0_5,0.0
135,exp_1,1.5664015530967081e-16
135,exp_2,0.0
135,asinh,1.7026937195010552e-16
135,logistic,0.0
136,exp_0_5,1.1666983549829039e-16
136,exp_1,1.2260464981613852e-16
136,exp_2,0.0
136,asinh,0.0
136,logistic,0.0
137,exp_0_5,0.0
137,exp_1,0.0
137,exp_2,1.375554008014161e-16
137,asinh,1.3855260156419978e-16
137,logistic,1.8358988238160612e-16
138,exp_0_5,0.0
138,exp_1,0.0
138,exp_2,0.0
138,asinh,1.5096396818125901e-16
138,logistic,0.0
139,exp_0_5,0.0
139,exp_1,0.0
139,exp_2,1.2294527745580409e-16
139,asinh,0.0
139,logistic,1.3983832921898843e-16
140,exp_0_5,1.1540456881156838e-16
140,exp_1,1.1995981174215544e-16
140,exp_2,0.0
140,asinh,0.0
140,logistic,1.1542247409428652e-16
141,exp_0_5,0.0
141,exp_1,1.3864660792979392e-16
141,exp_2,0.0
141,asinh,0.0
141,logistic,0.0
142,exp_0_5,1.5697627718104134e-16
142,exp_1,0.0
142,exp_2,2.2185816459915616e-16
142,asinh,1.147896657165139e-16
142,logistic,1.4989040512687527e-16
143,exp_0_5,0.0
143,exp_1,0.0
143,exp_2,0.0
143,asinh,0.0
143,logistic,0.0
144,exp_0_5,0.0
144,exp_1,1.582001482050672e-16
144,exp_2,0.0
144,asinh,1.6898226234307907e-16
144,logistic,1.7658310729948305e-16
145,exp_0_5,1.118562713329299e-16
145,exp_1,0.0
145,exp_2,1.14395953790561e-16
145,asinh,0.0
145,logistic,0.0
146,exp_0_5,0.0
146,exp_1,0.0
146,exp_2,0.0
146,asinh,1.2427499746238315e-16
146,logistic,0.0
147,exp_0_5,0.0
147,exp_1,0.0
147,exp_2,0.0
147,asinh,0.0
147,logistic,0.0
148,exp_0_5,0.0
148,exp_1,2.5180044385268823e-16
148,exp_2,1.4277190735126767e-16
148,asinh,0.0
148,logistic,2.499672385694372e-16
149,exp_0_5,1.8559845929490284e-16
149,exp_1,1.551345420181316e-16
149,exp_2,0.0
149,asinh,0.0
149,logistic,0.0
150,exp_0_5,0.0
150,exp_1,0.0
150,exp_2,0.0
150,asinh,0.0
150,logistic,0.0
151,exp_0_5,1.2555995276675348e-16
151,exp_1,0.0
151,exp_2,1.8162427143718188e-16
151,asinh,0.0
