sample_index,function,aggregation_error
168,exp_2,0.0
168,asinh,5.551115123125783e-17
168,logistic,5.551115123125783e-17
169,exp_0_5,0.0
169,exp_1,1.6653345369377348e-16
169,exp_2,1.1102230246251565e-16
169,asinh,0.0
169,logistic,0.0
170,exp_0_5,0.0
170,exp_1,5.551115123125783e-17
170,exp_2,0.0
170,asinh,5.551115123125783e-17
170,logistic,5.551115123125783e-17
171,exp_0_5,2.7755575615628914e-17
171,exp_1,5.551115123125783e-17
171,exp_2,0.0
171,asinh,2.7755575615628914e-17
171,logistic,0.0
172,exp_0_5,1.1102230246251565e-16
172,exp_1,0.0
172,exp_2,3.3306690738754696e-16
172,asinh,1.1102230246251565e-16
172,logistic,0.0
173,exp_0_5,0.0
173,exp_1,0.0
173,exp_2,1.1102230246251565e-16
173,asinh,1.1102230246251565e-16
173,logistic,1.1102230246251565e-16
174,exp_0_5,5.551115123125783e-17
174,exp_1,5.551115123125783e-17
174,exp_2,2.7755575615628914e-17
174,asinh,0.0
174,logistic,0.0
175,exp_0_5,0.0
175,exp_1,1.1102230246251565e-16
175,exp_2,1.1102230246251565e-16
175,asinh,0.0
175,logistic,0.0
176,exp_0_5,0.0
176,exp_1,2.7755575615628914e-17
176,exp_2,6.938893903907228e-18
176,asinh,0.0
176,logistic,0.0
177,exp_0_5,0.0
177,exp_1,0.0
177,exp_2,1.3877787807814457e-17
177,asinh,0.0
177,logistic,0.0
178,exp_0_5,1.1102230246251565e-16
178,exp_1,5.551115123125783e-17
178,exp_2,5.551115123125783e-17
178,asinh,5.551115123125783e-17
178,logistic,0.0
179,exp_0_5,0.0
179,exp_1,0.0
179,exp_2,0.0
179,asinh,1.1102230246251565e-16
179,logistic,0.0
180,exp_0_5,1.1102230246251565e-16
180,exp_1,1.1102230246251565e-16
180,exp_2,0.0
180,asinh,0.0
180,logistic,1.1102230246251565e-16
181,exp_0_5,5.551115123125783e-17
181,exp_1,0.0
181,exp_2,0.0
181,asinh,0.0
181,logistic,0.0
182,exp_0_5,0.0
182,exp_1,0.0
182,exp_2,0.0
182,asinh,5.551115123125783e-17
182,logistic,0.0
183,exp_0_5,0.0
183,exp_1,0.0
183,exp_2,0.0
183,asinh,2.7755575615628914e-17
183,logistic,0.0
184,exp_0_5,5.551115123125783e-17
184,exp_1,1.1102230246251565e-16
184,exp_2,2.220446049250313e-16
184,asinh,0.0
184,logistic,0.0
185,exp_0_5,5.551115123125783e-17
185,exp_1,1.1102230246251565e-16
185,exp_2,1.1102230246251565e-16
185,asinh,0.0
185,logistic,5.551115123125783e-17
186,exp_0_5,0.0
186,exp_1,1.1102230246251565e-16
186,exp_2,1.1102230246251565e-16
