copula,marginal,permutation_code,count,probability
independence,uniform,583,131,0.00131
independence,uniform,584,169,0.00169
independence,uniform,585,145,0.00145
independence,uniform,586,153,0.00153
independence,uniform,587,131,0.00131
independence,uniform,588,132,0.00132
independence,uniform,589,164,0.00164
independence,uniform,590,128,0.00128
independence,uniform,591,141,0.00141
independence,uniform,592,140,0.0014
independence,uniform,593,154,0.00154
independence,uniform,594,134,0.00134
independence,uniform,595,120,0.0012
independence,uniform,596,147,0.00147
independence,uniform,597,132,0.00132
independence,uniform,598,152,0.00152
independence,uniform,599,159,0.00159
independence,uniform,600,155,0.00155
independence,uniform,601,129,0.00129
independence,uniform,602,147,0.00147
independence,uniform,603,122,0.00122
independence,uniform,604,148,0.00148
independence,uniform,605,118,0.00118
independence,uniform,606,148,0.00148
independence,uniform,607,151,0.00151
independence,uniform,608,146,0.00146
independence,uniform,609,131,0.00131
independence,uniform,610,135,0.00135
independence,uniform,611,141,0.00141
independence,uniform,612,131,0.00131
independence,uniform,613,139,0.00139
independence,uniform,614,121,0.00121
independence,uniform,615,145,0.00145
independence,uniform,616,139,0.00139
independence,uniform,617,150,0.0015
independence,uniform,618,155,0.00155
independence,uniform,619,160,0.0016
independence,uniform,620,129,0.00129
independence,uniform,621,130,0.0013
independence,uniform,622,145,0.00145
independence,uniform,623,130,0.0013
independence,uniform,624,132,0.00132
independence,uniform,625,162,0.00162
independence,uniform,626,139,0.00139
independence,uniform,627,124,0.00124
independence,uniform,628,146,0.00146
independence,uniform,629,142,0.00142
independence,uniform,630,118,0.00118
independence,uniform,631,149,0.00149
independence,uniform,632,143,0.00143
independence,uniform,633,125,0.00125
independence,uniform,634,135,0.00135
independence,uniform,635,138,0.00138
independence,uniform,636,147,0.00147
independence,uniform,637,129,0.00129
independence,uniform,638,128,0.00128
independence,uniform,639,160,0.0016
independence,uniform,640,140,0.0014
independence,uniform,641,154,0.00154
independence,uniform,642,139,0.00139
independence,uniform,643,149,0.00149
independence,uniform,644,113,0.00113
independence,uniform,645,146,0.00146
independence,uniform,646,138,0.00138
independence,uniform,647,149,0.00149
independence,uniform,648,147,0.00147
independence,uniform,649,150,0.0015
independence,uniform,650,125,0.00125
independence,uniform,651,138,0.00138
independence,uniform,652,156,0.00156
independence,uniform,653,127,0.00127
independence,uniform,654,149,0.00149
independence,uniform,655,143,0.00143
independence,uniform,656,144,0.00144
independence,uniform,657,140,0.0014
independence,uniform,658,138,0.00138
independence,uniform,659,142,0.00142
independence,uniform,660,141,0.00141
independence,uniform,661,136,0.00136
independence,uniform,662,122,0.00122
independence,uniform,663,129,0.00129
independence,uniform,664,145,0.00145
independence,uniform,665,146,0.00146
independence,uniform,666,120,0.0012
independence,uniform,667,129,0.00129
independence,uniform,668,133,0.00133
independence,uniform,669,149,0.00149
independence,uniform,670,132,0.00132
independence,uniform,671,139,0.00139
independence,uniform,672,144,0.00144
independence,uniform,673,137,0.00137
independence,uniform,674,165,0.00165
independence,uniform,675,121,0.00121
independence,uniform,676,125,0.00125
independence,uniform,677,150,0.0015
independence,uniform,678,120,0.0012
independence,uniform,679,118,0.00118
independence,uniform,680,146,0.00146
independence,uniform,681,129,0.00129
independence,uniform,682,129,0.00129
independence,uniform,683,135,0.00135
independence,uniform,684,124,0.00124
independence,uniform,685,141,0.00141
independence,uniform,686,142,0.00142
independence,uniform,687,147,0.00147
independence,uniform,688,131,0.00131
independence,uniform,689,148,0.00148
independence,uniform,690,122,0.00122
independence,uniform,691,146,0.00146
independence,uniform,692,130,0.0013
independence,uniform,693,137,0.00137
independence,uniform,694,146,0.00146
independence,uniform,695,135,0.00135
independence,uniform,696,138,0.00138
independence,uniform,697,135,0.00135
independence,uniform,698,161,0.00161
independence,uniform,699,146,0.00146
independence,uniform,700,142,0.00142
independence,uniform,701,135,0.00135
independence,uniform,702,132,0.00132
independence,uniform,703,149,0.00149
independence,uniform,704,140,0.0014
independence,uniform,705,135,0.00135
independence,uniform,706,137,0.00137
independence,uniform,707,143,0.00143
independence,uniform,708,138,0.00138
independence,uniform,709,140,0.0014
independence,uniform,710,145,0.00145
independence,uniform,711,124,0.00124
independence,uniform,712,143,0.00143
independence,uniform,713,110,0.0011
independence,uniform,714,150,0.0015
independence,uniform,715,135,0.00135
independence,uniform,716,142,0.00142
independence,uniform,717,136,0.00136
independence,uniform,718,147,0.00147
independence,uniform,719,152,0.00152
independence,beta_skew,0,143,0.00143
independence,beta_skew,1,143,0.00143
independence,beta_skew,2,153,0.00153
independence,beta_skew,3,137,0.00137
independence,beta_skew,4,138,0.00138
independence,beta_skew,5,127,0.00127
independence,beta_skew,6,132,0.00132
independence,beta_skew,7,138,0.00138
independence,beta_skew,8,157,0.00157
independence,beta_skew,9,150,0.0015
independence,beta_skew,10,131,0.00131
independence,beta_skew,11,130,0.0013
independence,beta_skew,12,154,0.00154
independence,beta_skew,13,135,0.00135
independence,beta_skew,14,146,0.00146
independence,beta_skew,15,120,0.0012
independence,beta_skew,16,110,0.0011
