n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,local_log_odds_shift_error,beta_q_scale_degeneracy_error
16,48,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5564487036264395,0.0,1.1102230246251565e-16
16,49,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.4403875239637005,0.0,5.551115123125783e-17
16,50,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.21598229120782805,0.0,4.163336342344337e-17
16,51,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.08507623551756804,0.0,2.220446049250313e-16
16,52,True,True,2.220446049250313e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.31259851831311025,4.440892098500626e-16,1.6653345369377348e-16
16,53,True,True,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,0.28872987988935594,0.0,2.220446049250313e-16
16,54,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.4143711197974548,0.0,1.1102230246251565e-16
16,55,True,True,1.6653345369377348e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.34257354595610073,4.440892098500626e-16,1.1102230246251565e-16
16,56,True,True,2.220446049250313e-16,1.6653345369377348e-16,5.551115123125783e-17,0.0,0.3726806316359473,0.0,5.551115123125783e-17
16,57,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3779891499416109,0.0,5.551115123125783e-17
16,58,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3411097589855321,0.0,1.1102230246251565e-16
16,59,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3725117408497651,4.440892098500626e-16,1.1102230246251565e-16
16,60,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.32190487069388146,0.0,1.1102230246251565e-16
16,61,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.34448792904892983,0.0,1.1102230246251565e-16
16,62,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.22680612561473595,0.0,1.1102230246251565e-16
16,63,True,True,2.220446049250313e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.4402375622303997,0.0,1.1102230246251565e-16
16,64,True,True,2.7755575615628914e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.3092178840252744,0.0,5.551115123125783e-17
