split,family,label_manifold,dimension_target,sample_index,null_probability,target_ordering_fraction,ordering_fraction_mismatch,n,ordering_fraction,d_mm,d_lc,r2_lc,d_mid,mad_mid,branch_excess,usable_reg_fraction,usable_mid_fraction,number_comparable_pairs,number_regression_intervals,number_midpoint_intervals,abs_d_lc_minus_d_mm,abs_d_mid_minus_d_mm
train,minkowski,1,3,0,,0.21726190476190477,0.0,64,0.21726190476190477,3.062629313256587,3.7679009315553094,0.4589846009858397,2.736965594166206,0.15200309344505003,0.6428571428571429,0.12557077625570776,0.02968036529680365,438,55,13,0.7052716182987222,0.32566371909038105
train,minkowski,1,3,1,,0.21478174603174602,0.0,64,0.21478174603174602,3.0767718170660516,4.2128684742923745,0.2639719012654126,2.643856189774725,0.14135584924554134,0.6363636363636364,0.09930715935334873,0.03464203233256351,433,43,15,1.136096657226323,0.4329156272913268
train,minkowski,1,3,2,,0.20734126984126985,0.0,64,0.20734126984126985,3.120138878101467,3.6431679098880654,0.5741431651512194,2.584962500721156,0.23283178617440603,0.6,0.10287081339712918,0.023923444976076555,418,43,10,0.5230290317865984,0.5351763773803109
train,minkowski,1,3,3,,0.2534722222222222,0.0,64,0.2534722222222222,2.8717332431945017,3.0138923320930826,0.5234021641198157,2.584962500721156,0.11723262681851132,0.5694444444444444,0.08610567514677103,0.011741682974559686,511,44,6,0.14215908889858087,0.28677074247334566
train,minkowski,1,3,4,,0.1939484126984127,0.0,64,0.1939484126984127,3.2020276513265036,2.164170206945456,0.43158168026081123,2.1699250014423126,0.0,0.5555555555555556,0.09462915601023018,0.0025575447570332483,391,37,1,1.0378574443810478,1.032102649884191
train,minkowski,1,3,5,,0.16964285714285715,0.0,64,0.16964285714285715,3.3653225009168035,1.486097588280616,0.6388639723115945,,,0.5555555555555556,0.04678362573099415,0.0,342,16,0,1.8792249126361875,
train,minkowski,1,3,6,,0.22371031746031747,0.0,64,0.22371031746031747,3.026555613858254,3.2725262977457965,0.33349032049726124,2.5437314206251695,0.12255624891826566,0.6,0.1130820399113082,0.022172949002217297,451,51,10,0.2459706838875424,0.48282419323308456
train,minkowski,1,3,7,,0.24950396825396826,0.0,64,0.24950396825396826,2.8913647471401744,3.165973548936871,0.5259350275839475,2.5025003405291835,0.08246216019197261,0.6,0.1411530815109344,0.02982107355864811,503,71,15,0.2746088017966968,0.388864406610991
train,minkowski,1,3,8,,0.25297619047619047,0.0,64,0.25297619047619047,2.8741714853686617,2.339765997123312,0.7181220639949977,2.128693921346326,0.12396375672179283,0.5833333333333334,0.1450980392156863,0.023529411764705882,510,74,12,0.53440548824535,0.7454775640223357
train,minkowski,1,3,9,,0.22767857142857142,0.0,64,0.22767857142857142,3.0048376752078485,4.059800238581963,0.3306116657416306,2.4594316186372973,0.12553088208385876,0.5833333333333334,0.10021786492374728,0.017429193899782137,459,46,8,1.0549625633741146,0.5454060565705512
train,minkowski,1,3,10,,0.27728174603174605,0.0,64,0.27728174603174605,2.7596113862839817,2.787551246744217,0.3751996097443048,2.415037499278844,0.19264507794239583,0.5555555555555556,0.16279069767441862,0.01967799642218247,559,91,11,0.027939860460235444,0.3445738870051378
train,minkowski,1,3,11,,0.23561507936507936,0.0,64,0.23561507936507936,2.9624441064518083,2.78720574724281,0.44050993201485633,2.377443751081734,0.20751874963942196,0.5454545454545454,0.12421052631578948,0.021052631578947368,475,59,10,0.17523835920899833,0.5850003553700742
train,minkowski,1,3,12,,0.20188492063492064,0.0,64,0.20188492063492064,3.1528817596336483,2.4847902752926156,0.44288839437706673,2.1239637567217926,0.1609640474436813,0.5555555555555556,0.10810810810810811,0.009828009828009828,407,44,4,0.6680914843410326,1.0289180029118556
train,minkowski,1,3,13,,0.23214285714285715,0.0,64,0.23214285714285715,2.980824430748467,5.014941740788391,0.18447857849784421,3.0874628412503395,0.08246216019197306,0.6666666666666666,0.10256410256410256,0.017094017094017096,468,48,8,2.034117310039924,0.10663841050187273
train,minkowski,1,3,14,,0.2197420634920635,0.0,64,0.2197420634920635,3.0486374885418104,4.8791392317804405,0.4197161269976133,2.736965594166206,0.15200309344505003,0.7058823529411765,0.06997742663656885,0.033860045146726865,443,31,15,1.8305017432386301,0.3116718943756043
train,minkowski,1,3,15,,0.20634920634920634,0.0,64,0.20634920634920634,3.126031343010694,2.151293618694535,0.391212040472633,2.415037499278844,0.05509145887521161,0.5,0.11057692307692307,0.014423076923076924,416,46,6,0.9747377243161588,0.7109938437318499
train,minkowski,1,3,16,,0.22767857142857142,0.0,64,0.22767857142857142,3.0048376752078485,3.2021876617017884,0.35052373133641734,2.4594316186372973,0.21150410519371166,0.5,0.1111111111111111,0.023965141612200435,459,51,11,0.19734998649393987,0.5454060565705512
