sample_index,epsilon,base_weighted_sd,total_variation,nonincreasing_from_previous
6,1e-05,0.9446106972554524,4.2919362392734237e-07,True
6,1e-06,0.9446106972554524,4.2919396839794835e-08,True
7,0.1,1.020150016475209,0.016977500267520314,True
7,0.01,1.020150016475209,0.001724310321614437,True
7,0.001,1.020150016475209,0.00017270142115695847,True
7,0.0001,1.020150016475209,1.7272850882310594e-05,True
7,1e-05,1.020150016475209,1.7273121807667424e-06,True
7,1e-06,1.020150016475209,1.7273148906229365e-07,True
8,0.1,0.46114474963735597,0.01365909848484677,True
8,0.01,0.46114474963735597,0.0013911459614973968,True
8,0.001,0.46114474963735597,0.0001393721339005153,True
8,0.0001,0.46114474963735597,1.3939794052382457e-05,True
8,1e-05,0.46114474963735597,1.3940052171606784e-06,True
8,1e-06,0.46114474963735597,1.394007797964617e-07,True
9,0.1,1.0887420293329866,0.015697096726935304,True
9,0.01,1.0887420293329866,0.0015921628318983827,True
9,0.001,1.0887420293329866,0.00015944437910261043,True
9,0.0001,1.0887420293329866,1.5946722491669186e-05,True
9,1e-05,1.0887420293329866,1.5946950986399393e-06,True
9,1e-06,1.0887420293329866,1.5946973830274703e-07,True
10,0.1,1.3404255441732207,0.011035817662236939,True
10,0.01,1.3404255441732207,0.001129148597710762,True
10,0.001,1.3404255441732207,0.00011317633545816036,True
10,0.0001,1.3404255441732207,1.1320254241559185e-05,True
10,1e-05,1.3404255441732207,1.1320516370059474e-06,True
10,1e-06,1.3404255441732207,1.1320542577096795e-07,True
11,0.1,0.9321370750881613,0.015444256132477364,True
11,0.01,0.9321370750881613,0.0015655156807806944,True
11,0.001,0.9321370750881613,0.00015676531585890542,True
11,0.0001,0.9321370750881613,1.567867193919406e-05,True
11,1e-05,0.9321370750881613,1.5678886003160263e-06,True
11,1e-06,0.9321370750881613,1.5678907409094703e-07,True
12,0.1,0.6756724297464678,0.011669549097570873,True
12,0.01,0.6756724297464678,0.0011831367607357248,True
12,0.001,0.6756724297464678,0.00011847791801059244,True
12,0.0001,0.6756724297464678,1.1849436680351572e-05,True
12,1e-05,0.6756724297464678,1.18496011928197e-06,True
12,1e-06,0.6756724297464678,1.1849617641264271e-07,True
13,0.1,1.0269873135561802,0.008629365280437024,True
13,0.01,1.0269873135561802,0.0008969123394084849,True
13,0.001,1.0269873135561802,9.005330730169989e-05,True
13,0.0001,1.0269873135561802,9.008975533097456e-06,True
13,1e-05,1.0269873135561802,9.009340255518221e-07,True
13,1e-06,1.0269873135561802,9.009376732296772e-08,True
14,0.1,0.8211284430179138,0.17669822332971036,True
14,0.01,0.8211284430179138,0.023684251310348202,True
14,0.001,0.8211284430179138,0.002454411960592905,True
14,0.0001,0.8211284430179138,0.0002463382519036734,True
14,1e-05,0.8211284430179138,2.4642834569692026e-05,True
14,1e-06,0.8211284430179138,2.464373589664167e-06,True
15,0.1,0.5727606787910972,0.36559583391921635,True
15,0.01,0.5727606787910972,0.08044021288965236,True
15,0.001,0.5727606787910972,0.009164467437760122,True
15,0.0001,0.5727606787910972,0.000929408245189162,True
15,1e-05,0.5727606787910972,9.307247378971244e-05,True
15,1e-06,0.5727606787910972,9.308565938084087e-06,True
16,0.1,0.6468334348310226,0.10383377650399359,True
16,0.01,0.6468334348310226,0.011934238599052283,True
16,0.001,0.6468334348310226,0.0012119231849933379,True
16,0.0001,0.6468334348310226,0.00012138090448452838,True
16,1e-05,0.6468334348310226,1.2139979973525024e-05,True
16,1e-06,0.6468334348310226,1.2140168963445366e-06,True
17,0.1,0.8773371271763056,0.0052619730485860125,True
17,0.01,0.8773371271763056,0.000532039086344105,True
17,0.001,0.8773371271763056,5.3263040214998766e-05,True
17,0.0001,0.8773371271763056,5.32689605981268e-06,True
17,1e-05,0.8773371271763056,5.326955270649112e-07,True
17,1e-06,0.8773371271763056,5.326961199392355e-08,True
18,0.1,0.693112411427658,0.00885034854933774,True
18,0.01,0.693112411427658,0.000894159223851853,True
18,0.001,0.693112411427658,8.950819137089233e-05,True
18,0.0001,0.693112411427658,8.951742863879707e-06,True
18,1e-05,0.693112411427658,8.951835247244424e-07,True
18,1e-06,0.693112411427658,8.951844484699392e-08,True
19,0.1,0.9789539621032988,0.013270618438394957,True
19,0.01,0.9789539621032988,0.0013443728570461705,True
19,0.001,0.9789539621032988,0.0001346127913598761,True
19,0.0001,0.9789539621032988,1.3463036620771607e-05,True
19,1e-05,0.9789539621032988,1.3463212391874547e-06,True
19,1e-06,0.9789539621032988,1.3463229968684198e-07,True
20,0.1,1.0172308190725972,0.046508711240783256,True
20,0.01,1.0172308190725972,0.0048895382166525905,True
20,0.001,1.0172308190725972,0.0004914940630805539,True
20,0.0001,1.0172308190725972,4.9174972810769264e-05,True
20,1e-05,1.0172308190725972,4.917753111302837e-06,True
20,1e-06,1.0172308190725972,4.917778695183653e-07,True
21,0.1,1.3123561623376765,0.008448017525227083,True
21,0.01,1.3123561623376765,0.000853926756254163,True
21,0.001,1.3123561623376765,8.548495432347483e-05,True
21,0.0001,1.3123561623376765,8.549419259721266e-06,True
21,1e-05,1.3123561623376765,8.549511654927188e-07,True
21,1e-06,1.3123561623376765,8.549520893233163e-08,True
22,0.1,0.5792126291789013,0.014557695496662061,True
22,0.01,0.5792126291789013,0.0015731285164804017,True
22,0.001,0.5792126291789013,0.00015859897846024263,True
22,0.0001,0.5792126291789013,1.5872882737899907e-05,True
22,1e-05,0.5792126291789013,1.5874182475691581e-06,True
22,1e-06,0.5792126291789013,1.587431245757842e-07,True
23,0.1,1.0984185225614056,0.04086509450833052,True
23,0.01,1.0984185225614056,0.0042648594067089506,True
23,0.001,1.0984185225614056,0.00042836622738197643,True
23,0.0001,1.0984185225614056,4.2855527993376344e-05,True
23,1e-05,1.0984185225614056,4.285741954849646e-06,True
23,1e-06,1.0984185225614056,4.2857608713933955e-07,True
24,0.1,0.946119296174268,0.007973812111483593,True
24,0.01,0.946119296174268,0.0008107794361564716,True
24,0.001,0.946119296174268,8.121408578049405e-05,True
24,0.0001,0.946119296174268,8.122772193883737e-06,True
24,1e-05,0.946119296174268,8.122908578328532e-07,True
24,1e-06,0.946119296174268,8.122922225747952e-08,True
25,0.1,0.8918053070184312,0.003725303472622575,True
25,0.01,0.8918053070184312,0.00037501240402266995,True
25,0.001,0.8918053070184312,3.752622026697091e-05,True
25,0.0001,0.8918053070184312,3.752871985499885e-06,True
25,1e-05,0.8918053070184312,3.75289698344529e-07,True
25,1e-06,0.8918053070184312,3.752899485544271e-08,True
26,0.1,0.741509111935562,0.0429880873682646,True
26,0.01,0.741509111935562,0.004931072753198659,True
26,0.001,0.741509111935562,0.0005004540811517302,True
26,0.0001,0.741509111935562,5.012005266595544e-05,True
26,1e-05,0.741509111935562,5.012752905611925e-06,True
