sample_index,old_count,observed_new_probability,asymptotic_new_probability,asymptotic_probability_error,old_pair_log_odds,expanded_pair_log_odds,pair_odds_collapsed_toward_one,absolute_expanded_pair_log_odds
106,5,0.013483418194656812,0.013483418194656805,6.938893903907228e-18,1.8527767628002403,3.10541838529519e-08,True,3.10541838529519e-08
107,13,0.0015814179451694164,0.0015814179451694148,1.5178830414797062e-18,-0.5802082545373886,-1.7064462211217004e-08,True,1.7064462211217004e-08
108,4,0.02010859613446812,0.020108596134468113,6.938893903907228e-18,0.9632641908052517,1.59238061467929e-08,True,1.59238061467929e-08
109,6,0.009475758845705584,0.00947575884570558,5.204170427930421e-18,-1.197013534991488,-3.141425136070637e-08,True,3.141425136070637e-08
110,11,0.0024333952648429398,0.002433395264842939,8.673617379884035e-19,-0.5008114600791186,-1.3513440458014631e-08,True,1.3513440458014631e-08
111,3,0.0320459636914101,0.0320459636914101,0.0,-1.2379481092634046,-1.0060030525924997e-08,True,1.0060030525924997e-08
112,13,0.0015814179451694161,0.0015814179451694148,1.3010426069826053e-18,-1.7987995496329632,-5.806652771776877e-08,True,5.806652771776877e-08
113,8,0.00516114632545814,0.005161146325458139,8.673617379884035e-19,-0.829601059400387,-1.68458295399843e-08,True,1.68458295399843e-08
114,10,0.0030758588429540064,0.003075858842954005,1.3010426069826053e-18,0.7114314313371163,1.0762572552984149e-08,True,1.0762572552984149e-08
115,3,0.0320459636914101,0.0320459636914101,0.0,-2.0548333600029953,-1.68685076220014e-08,True,1.68685076220014e-08
116,13,0.001581417945169417,0.0015814179451694148,2.168404344971009e-18,0.5492300200235332,2.04407189084202e-08,True,2.04407189084202e-08
117,4,0.020108596134468103,0.020108596134468113,1.0408340855860843e-17,1.518263362005823,1.7596334900898507e-08,True,1.7596334900898507e-08
118,3,0.03204596369141011,0.0320459636914101,1.3877787807814457e-17,1.5698711348182122,4.291250707074663e-08,True,4.291250707074663e-08
119,5,0.013483418194656803,0.013483418194656805,1.734723475976807e-18,0.37453660705049957,6.7507399442456595e-09,True,6.7507399442456595e-09
120,11,0.002433395264842939,0.002433395264842939,0.0,0.6389007327123707,1.3338633886164448e-08,True,1.3338633886164448e-08
121,10,0.003075858842954007,0.003075858842954005,1.734723475976807e-18,-0.016924011404657484,-4.598785797674208e-10,True,4.598785797674208e-10
122,3,0.03204596369141011,0.0320459636914101,1.3877787807814457e-17,0.07203852701200635,1.3151655311694269e-09,True,1.3151655311694269e-09
123,10,0.003075858842954011,0.003075858842954005,6.071532165918825e-18,0.3035562401286312,1.0627819234811484e-08,True,1.0627819234811484e-08
124,4,0.020108596134468127,0.020108596134468113,1.3877787807814457e-17,-0.9113758375709583,-2.927288521127809e-08,True,2.927288521127809e-08
125,5,0.013483418194656814,0.013483418194656805,8.673617379884035e-18,-1.3777345398151073,-5.2010623383970044e-08,True,5.2010623383970044e-08
126,5,0.013483418194656803,0.013483418194656805,1.734723475976807e-18,0.7105275982698425,1.850373725998058e-08,True,1.850373725998058e-08
127,5,0.013483418194656807,0.013483418194656805,1.734723475976807e-18,-1.689563815576147,-3.3512346570884285e-08,True,3.3512346570884285e-08
128,12,0.001950565653010543,0.0019505656530105387,4.336808689942018e-18,-0.10267404319819955,-3.910476616838328e-09,True,3.910476616838328e-09
129,11,0.0024333952648429406,0.002433395264842939,1.734723475976807e-18,0.1731150455526817,4.488467809567902e-09,True,4.488467809567902e-09
130,8,0.005161146325458145,0.005161146325458139,6.071532165918825e-18,0.8644871961121573,2.7876975228228932e-08,True,2.7876975228228932e-08
131,7,0.006897835113497359,0.006897835113497354,5.204170427930421e-18,0.777432036534444,2.1906505258544892e-08,True,2.1906505258544892e-08
132,8,0.005161146325458143,0.005161146325458139,4.336808689942018e-18,-2.4301613111613674,-7.808152107737808e-08,True,7.808152107737808e-08
133,8,0.005161146325458147,0.005161146325458139,7.806255641895632e-18,-2.2617690778640336,-7.373348237353784e-08,True,7.373348237353784e-08
134,4,0.02010859613446812,0.020108596134468113,6.938893903907228e-18,-2.27730872737586,-4.044451799765133e-08,True,4.044451799765133e-08
135,3,0.0320459636914101,0.0320459636914101,0.0,1.2065047171478807,2.4228502244071966e-08,True,2.4228502244071966e-08
136,12,0.0019505656530105426,0.0019505656530105387,3.903127820947816e-18,-0.12875227962949795,-4.97279263449091e-09,True,4.97279263449091e-09
137,6,0.009475758845705583,0.00947575884570558,3.469446951953614e-18,0.17537597294643817,4.1069141336657e-09,True,4.1069141336657e-09
138,3,0.03204596369141011,0.0320459636914101,1.3877787807814457e-17,-0.8264382059392295,-1.5878018803695457e-08,True,1.5878018803695457e-08
