sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
1372,weighted_z,7,2,2,8.413408858487514e-17,1.1102230246251565e-16,True
1373,unweighted_raw,4,5,0,0.37191508550212055,0.37191508550212055,False
1373,unweighted_z,4,5,0,0.3609162601553456,0.36091626015534556,False
1373,weighted_raw,4,5,0,4.163336342344337e-17,2.7755575615628914e-17,True
1373,weighted_z,4,5,0,6.938893903907228e-17,1.1102230246251565e-16,True
1374,unweighted_raw,9,6,0,0.11235040537869165,0.1123504053786917,False
1374,unweighted_z,9,6,0,0.08864410537848873,0.08062643519599914,False
1374,weighted_raw,9,6,0,8.673617379884035e-19,1.734723475976807e-18,True
1374,weighted_z,9,6,0,9.974659986866641e-18,1.3877787807814457e-17,True
1375,unweighted_raw,5,6,2,0.381340993990072,0.38134099399007193,False
1375,unweighted_z,5,6,2,0.3387212873135538,0.3387212873135538,False
1375,weighted_raw,5,6,2,0.0,0.0,True
1375,weighted_z,5,6,2,1.3877787807814457e-17,2.7755575615628914e-17,True
1376,unweighted_raw,11,6,9,0.0959962804041222,0.09599628040412214,False
1376,unweighted_z,11,6,9,0.10538317208267081,0.10538317208267087,False
1376,weighted_raw,11,6,9,0.0,0.0,True
1376,weighted_z,11,6,9,3.209238430557093e-17,2.7755575615628914e-17,True
1377,unweighted_raw,8,3,1,0.03905532936877488,0.039055329368774844,False
1377,unweighted_z,8,3,1,0.04630090585126044,0.04215786106821508,False
1377,weighted_raw,8,3,1,3.469446951953614e-18,6.938893903907228e-18,True
1377,weighted_z,8,3,1,3.469446951953614e-18,6.938893903907228e-18,True
1378,unweighted_raw,8,2,3,0.14716443289654924,0.14716443289654918,False
1378,unweighted_z,8,2,3,0.1569176707431034,0.15691767074310337,False
1378,weighted_raw,8,2,3,2.7755575615628914e-17,5.551115123125783e-17,True
1378,weighted_z,8,2,3,2.7755575615628914e-17,5.551115123125783e-17,True
1379,unweighted_raw,8,5,2,0.21408022409120814,0.21408022409120803,False
1379,unweighted_z,8,5,2,0.12300136424010513,0.12300136424010508,False
1379,weighted_raw,8,5,2,6.938893903907228e-18,1.3877787807814457e-17,True
1379,weighted_z,8,5,2,7.632783294297951e-17,5.551115123125783e-17,True
1380,unweighted_raw,8,3,4,0.04327812607004431,0.04327812607004429,False
1380,unweighted_z,8,3,4,0.05984074948705466,0.040991812979118816,False
1380,weighted_raw,8,3,4,1.249000902703301e-16,5.551115123125783e-17,True
1380,weighted_z,8,3,4,5.204170427930421e-18,6.938893903907228e-18,True
1381,unweighted_raw,7,2,5,0.04391236291531725,0.04391236291531736,False
1381,unweighted_z,7,2,5,0.06553077123304044,0.06553077123304042,False
1381,weighted_raw,7,2,5,3.469446951953614e-18,6.938893903907228e-18,True
1381,weighted_z,7,2,5,1.6479873021779667e-17,1.3877787807814457e-17,True
1382,unweighted_raw,11,2,2,0.05868794324785239,0.058687943247852384,False
1382,unweighted_z,11,2,2,0.03317926813736491,0.033179268137364895,False
1382,weighted_raw,11,2,2,0.0,0.0,True
1382,weighted_z,11,2,2,1.192622389734055e-16,1.1102230246251565e-16,True
1383,unweighted_raw,7,2,1,0.10450942585409136,0.1045094258540914,False
1383,unweighted_z,7,2,1,0.09755324526599946,0.09755324526599948,False
1383,weighted_raw,7,2,1,5.898059818321144e-17,5.551115123125783e-17,True
1383,weighted_z,7,2,1,9.8879238130678e-17,1.1102230246251565e-16,True
1384,unweighted_raw,10,3,0,0.25203544342011003,0.25203544342011014,False
1384,unweighted_z,10,3,0,0.23803662382334287,0.23803662382334295,False
1384,weighted_raw,10,3,0,1.3877787807814457e-17,2.7755575615628914e-17,True
1384,weighted_z,10,3,0,7.112366251504909e-17,5.551115123125783e-17,True
1385,unweighted_raw,6,4,5,0.23542997676930996,0.23542997676931,False
1385,unweighted_z,6,4,5,0.2029530645580222,0.20295306455802223,False
1385,weighted_raw,6,4,5,2.7755575615628914e-17,5.551115123125783e-17,True
1385,weighted_z,6,4,5,1.3877787807814457e-17,2.7755575615628914e-17,True
1386,unweighted_raw,4,3,2,0.0432072570068787,0.04320725700687868,False
1386,unweighted_z,4,3,2,0.08357594117878997,0.08357594117878986,False
1386,weighted_raw,4,3,2,1.5959455978986625e-16,2.220446049250313e-16,True
1386,weighted_z,4,3,2,8.673617379884035e-17,1.1102230246251565e-16,True
1387,unweighted_raw,8,5,6,0.14228379925653525,0.1422837992565352,False
1387,unweighted_z,8,5,6,0.0920871663115565,0.09208716631155645,False
1387,weighted_raw,8,5,6,8.673617379884035e-19,1.734723475976807e-18,True
1387,weighted_z,8,5,6,1.0842021724855044e-16,1.1102230246251565e-16,True
1388,unweighted_raw,6,3,3,0.10718199005288151,0.10718199005288157,False
1388,unweighted_z,6,3,3,0.06430386227147186,0.06430386227147195,False
1388,weighted_raw,6,3,3,0.0,0.0,True
1388,weighted_z,6,3,3,1.231653667943533e-16,2.220446049250313e-16,True
1389,unweighted_raw,8,6,4,0.4073152388002319,0.4073152388002319,False
1389,unweighted_z,8,6,4,0.4100117903818857,0.41001179038188573,False
1389,weighted_raw,8,6,4,0.0,0.0,True
1389,weighted_z,8,6,4,9.974659986866641e-17,5.551115123125783e-17,True
1390,unweighted_raw,9,6,3,0.42020410283113535,0.42020410283113535,False
1390,unweighted_z,9,6,3,0.4142884658153957,0.41428846581539575,False
1390,weighted_raw,9,6,3,2.7755575615628914e-17,5.551115123125783e-17,True
1390,weighted_z,9,6,3,1.0061396160665481e-16,5.551115123125783e-17,True
1391,unweighted_raw,8,2,6,0.15564673307339372,0.15564673307339366,False
1391,unweighted_z,8,2,6,0.15511326175192044,0.15511326175192047,False
1391,weighted_raw,8,2,6,1.3877787807814457e-17,2.7755575615628914e-17,True
1391,weighted_z,8,2,6,1.0148132334464322e-16,5.551115123125783e-17,True
1392,unweighted_raw,4,5,1,0.15464512904810662,0.15464512904810665,False
1392,unweighted_z,4,5,1,0.12494889727204633,0.12494889727204628,False
1392,weighted_raw,4,5,1,3.469446951953614e-18,6.938893903907228e-18,True
1392,weighted_z,4,5,1,6.245004513516506e-17,1.1102230246251565e-16,True
1393,unweighted_raw,5,6,3,0.40829089403748703,0.4082908940374871,False
1393,unweighted_z,5,6,3,0.3790506606361981,0.3790506606361981,False
1393,weighted_raw,5,6,3,0.0,0.0,True
1393,weighted_z,5,6,3,2.42861286636753e-17,2.7755575615628914e-17,True
1394,unweighted_raw,7,2,4,0.03315079524857971,0.03315079524857966,False
1394,unweighted_z,7,2,4,0.03684325729341312,0.02411588694366663,False
1394,weighted_raw,7,2,4,1.734723475976807e-18,3.469446951953614e-18,True
1394,weighted_z,7,2,4,2.5153490401663703e-17,2.7755575615628914e-17,True
1395,unweighted_raw,6,5,1,0.30369925272914766,0.30369925272914766,False
1395,unweighted_z,6,5,1,0.19612843815090408,0.19612843815090408,False
1395,weighted_raw,6,5,1,1.3877787807814457e-17,2.7755575615628914e-17,True
1395,weighted_z,6,5,1,0.0,0.0,True
1396,unweighted_raw,11,3,6,0.03393293744955717,0.03393293744955718,False
1396,unweighted_z,11,3,6,0.06392996977622614,0.047520042242767624,False
1396,weighted_raw,11,3,6,3.469446951953614e-18,6.938893903907228e-18,True
1396,weighted_z,11,3,6,1.734723475976807e-18,3.469446951953614e-18,True
1397,unweighted_raw,7,2,1,0.10286116147386512,0.10286116147386512,False
1397,unweighted_z,7,2,1,0.07852646555944469,0.07852646555944484,False
1397,weighted_raw,7,2,1,1.3877787807814457e-17,2.7755575615628914e-17,True
1397,weighted_z,7,2,1,4.683753385137379e-17,4.163336342344337e-17,True
1398,unweighted_raw,6,6,0,0.37886769082029415,0.37886769082029415,False
1398,unweighted_z,6,6,0,0.3557243958183929,0.355724395818393,False
1398,weighted_raw,6,6,0,7.806255641895632e-17,5.551115123125783e-17,True
1398,weighted_z,6,6,0,5.551115123125783e-17,1.1102230246251565e-16,True
1399,unweighted_raw,4,5,0,0.37866436453790886,0.3786643645379088,False
1399,unweighted_z,4,5,0,0.38095424811228434,0.38095424811228434,False
1399,weighted_raw,4,5,0,5.551115123125783e-17,1.1102230246251565e-16,True
1399,weighted_z,4,5,0,6.938893903907228e-17,1.1102230246251565e-16,True
1400,unweighted_raw,8,6,5,0.10290609686762481,0.10290609686762472,False
1400,unweighted_z,8,6,5,0.08195140685500435,0.0819514068550042,False
