sample_index,shift_covariance_error,affine_rescaling_identity_error
129,0.0,2.220446049250313e-16
130,0.0,2.220446049250313e-16
131,4.440892098500626e-16,2.220446049250313e-16
132,1.1102230246251565e-16,1.1102230246251565e-16
133,5.551115123125783e-17,1.1102230246251565e-16
134,0.0,0.0
135,5.551115123125783e-17,8.881784197001252e-16
136,0.0,4.440892098500626e-16
137,4.440892098500626e-16,0.0
138,4.440892098500626e-16,2.220446049250313e-16
139,0.0,2.220446049250313e-16
140,0.0,4.440892098500626e-16
141,4.440892098500626e-16,0.0
142,5.551115123125783e-17,2.7755575615628914e-17
143,1.6653345369377348e-16,2.220446049250313e-16
144,4.440892098500626e-16,0.0
145,0.0,1.1102230246251565e-16
146,4.440892098500626e-16,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,4.440892098500626e-16
150,0.0,8.881784197001252e-16
151,4.440892098500626e-16,4.440892098500626e-16
152,4.440892098500626e-16,4.440892098500626e-16
153,0.0,8.881784197001252e-16
154,1.1102230246251565e-16,2.220446049250313e-16
155,0.0,0.0
156,2.220446049250313e-16,2.220446049250313e-16
157,0.0,4.440892098500626e-16
158,0.0,4.440892098500626e-16
159,0.0,2.220446049250313e-16
160,4.440892098500626e-16,4.440892098500626e-16
161,1.1102230246251565e-16,4.440892098500626e-16
162,5.551115123125783e-17,0.0
163,0.0,0.0
164,0.0,0.0
165,4.440892098500626e-16,4.440892098500626e-16
166,1.6653345369377348e-16,1.3877787807814457e-16
167,0.0,0.0
168,0.0,0.0
169,0.0,4.440892098500626e-16
170,4.440892098500626e-16,0.0
171,4.440892098500626e-16,8.881784197001252e-16
172,2.220446049250313e-16,0.0
173,2.220446049250313e-16,4.440892098500626e-16
174,4.440892098500626e-16,4.440892098500626e-16
175,0.0,4.440892098500626e-16
176,2.220446049250313e-16,3.400058012914542e-16
177,0.0,1.1102230246251565e-16
178,4.440892098500626e-16,0.0
179,4.440892098500626e-16,0.0
180,0.0,2.220446049250313e-16
181,0.0,2.220446049250313e-16
182,0.0,4.440892098500626e-16
183,2.220446049250313e-16,2.220446049250313e-16
184,2.220446049250313e-16,1.6653345369377348e-16
185,0.0,0.0
186,0.0,1.1102230246251565e-16
187,0.0,0.0
188,4.440892098500626e-16,0.0
189,0.0,0.0
190,4.440892098500626e-16,0.0
191,0.0,8.881784197001252e-16
192,0.0,0.0
193,1.6653345369377348e-16,0.0
194,2.220446049250313e-16,1.1102230246251565e-16
195,0.0,4.440892098500626e-16
196,0.0,0.0
197,0.0,0.0
198,0.0,2.220446049250313e-16
199,0.0,0.0
200,5.551115123125783e-17,2.220446049250313e-16
201,8.881784197001252e-16,0.0
202,2.220446049250313e-16,2.220446049250313e-16
203,1.1102230246251565e-16,1.1102230246251565e-16
204,4.440892098500626e-16,2.220446049250313e-16
205,1.1102230246251565e-16,5.551115123125783e-17
206,0.0,2.220446049250313e-16
207,4.440892098500626e-16,4.440892098500626e-16
208,0.0,4.440892098500626e-16
209,4.440892098500626e-16,8.881784197001252e-16
210,1.3877787807814457e-16,0.0
211,5.551115123125783e-17,0.0
212,0.0,0.0
213,0.0,0.0
214,2.7755575615628914e-17,2.220446049250313e-16
215,4.440892098500626e-16,0.0
216,4.440892098500626e-16,4.440892098500626e-16
217,0.0,4.440892098500626e-16
218,0.0,0.0
219,4.440892098500626e-16,0.0
220,8.881784197001252e-16,8.881784197001252e-16
221,0.0,8.881784197001252e-16
222,0.0,4.440892098500626e-16
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,4.440892098500626e-16,4.440892098500626e-16
227,5.551115123125783e-17,2.220446049250313e-16
228,1.1102230246251565e-16,5.551115123125783e-17
229,0.0,0.0
230,0.0,8.881784197001252e-16
231,1.1102230246251565e-16,8.881784197001252e-16
232,1.1102230246251565e-16,0.0
233,0.0,8.881784197001252e-16
234,2.220446049250313e-16,2.220446049250313e-16
235,2.220446049250313e-16,2.220446049250313e-16
236,1.1102230246251565e-16,0.0
237,4.440892098500626e-16,2.220446049250313e-16
238,0.0,2.220446049250313e-16
239,2.7755575615628914e-17,4.440892098500626e-16
240,0.0,4.440892098500626e-16
241,4.440892098500626e-16,8.881784197001252e-16
242,0.0,2.220446049250313e-16
243,0.0,4.440892098500626e-16
