sample_index,lambda,second_order_error,third_order_error,fourth_order_error
14,0.05,0.00017144474992331418,1.0767290152913916e-05,1.9849451838790944e-07
14,0.1,0.0006412266329159227,8.762152738898271e-05,3.0711623127815946e-06
14,0.2,0.002193479386189301,0.0007219132550303209,4.551033442069807e-05
15,0.025,8.129917797694564e-06,7.63459562236335e-09,5.577572570469869e-10
15,0.05,3.2545781020854037e-05,5.664821256523567e-08,8.890610553313749e-09
15,0.1,0.0001303396931019163,3.831618687888394e-07,1.4114871627057823e-07
15,0.2,0.0005217992763718315,1.973151439377263e-06,2.2213332410148112e-06
16,0.025,5.942023259875029e-06,1.2256154482970238e-07,3.789835667511454e-10
16,0.05,2.42552203444657e-05,9.773734842288828e-07,6.150742831723122e-09
16,0.1,0.00010087843279549258,7.76704535454531e-06,1.0114846205055983e-07
16,0.2,0.0004336881902183287,6.124264045459515e-05,1.7029100781718043e-06
17,0.025,1.8569731618629792e-05,8.183735820954663e-09,5.885487930346045e-10
17,0.05,7.430699903009097e-05,6.080749884868064e-08,9.37077804935571e-09
17,0.1,0.0002973977399928704,4.129738679081729e-07,1.48452347269179e-07
17,0.2,0.00119010300653917,2.1639420393210207e-06,2.3274676820977946e-06
18,0.025,1.8239024550642524e-05,3.144091427487172e-08,5.998975344256863e-10
18,0.05,7.282570942983291e-05,2.5615242985055353e-07,9.42429591310745e-09
18,0.1,0.00029020833771958854,2.119109719131429e-06,1.4528464761798254e-07
18,0.2,0.001151366219853428,1.794356990145185e-05,2.1529693293720342e-06
19,0.025,1.3706761334553175e-06,1.3222898831433127e-08,6.583428246997869e-11
19,0.05,5.53506782496882e-06,1.0525488647328274e-07,1.0549784934532624e-09
19,0.1,2.255280034599294e-05,8.335485920385466e-07,1.693032780636372e-08
19,0.2,9.340852405673172e-05,6.531517040941903e-06,2.7231431778962367e-07
20,0.025,1.7328253092099843e-05,1.5356869553784236e-08,6.922612760806857e-10
20,0.05,6.936881330787958e-05,1.1722841766759196e-07,1.1164628985205205e-08
20,0.1,0.0002778520346771868,8.456951163665627e-07,1.8144925682805901e-07
20,0.2,0.0011132499616795105,5.224603436229658e-06,2.992551549327316e-06
21,0.025,5.4812717643626385e-06,3.278773569315163e-08,2.2848745118153602e-10
21,0.05,2.179211470559883e-05,2.641232945688188e-07,3.649308466524559e-09
21,0.1,8.608299222834237e-05,2.141959772272717e-06,5.816788345436308e-08
21,0.2,0.00033530672945580875,1.7593078546651597e-05,9.227434359382336e-07
22,0.025,1.018810829412839e-05,1.8481776855108767e-07,8.623475163116456e-10
22,0.05,4.000641774305064e-05,1.4852865076638022e-06,1.3643139392532921e-08
22,0.1,0.00015398043597647515,1.1986381026379573e-05,2.132340802120207e-07
22,0.2,0.0005664390293409344,9.742823867048278e-05,3.2430631011423627e-06
23,0.025,2.3729141714556867e-05,1.7134852309252935e-07,2.363902851243438e-09
23,0.05,9.42123009914364e-05,1.3896599592166936e-06,3.778299706436172e-08
23,0.1,0.00037098989298367524,1.1417950818992662e-05,6.029351219405399e-07
23,0.2,0.0014335367240805308,9.609465113014082e-05,9.574525553723845e-06
24,0.025,4.016703606446459e-06,1.0134468264588747e-08,1.0378675696642858e-10
24,0.05,1.6106509259761204e-05,8.023270703372276e-08,1.6733331387186468e-09
24,0.1,6.473317309768634e-05,6.280668867209016e-07,2.718143488067426e-08
24,0.2,0.000261214495171469,4.794070327551747e-06,4.479162451498375e-07
25,0.025,3.05272136240653e-05,3.992230612759329e-08,2.502348439570312e-09
25,0.05,0.00012224879383004872,2.9962855829790414e-07,3.9768678294915816e-08
25,0.1,0.0004898842870035836,2.0876259165802935e-06,6.275519760512438e-07
25,0.2,0.00196315459399099,1.1967949642976983e-05,9.753473498130827e-06
26,0.025,3.3848499570443558e-06,3.3623571191188084e-08,5.115682877310235e-11
26,0.05,1.340451032072476e-05,2.693837922035369e-07,8.044772625837027e-10
26,0.1,5.253452177408913e-05,2.1610546776379413e-06,1.2420158124193392e-08
26,0.2,0.00020140901341542117,1.7373292391507922e-05,1.842162353701826e-07
27,0.025,1.3384120754467155e-06,1.1963600013431552e-07,1.0411631279350075e-09
27,0.05,5.84048704527218e-06,9.65382744050336e-07,1.662404791602512e-08
27,0.1,2.735530688049992e-05,7.854889675612542e-06,2.6482010662132183e-07
27,0.2,0.0001429179398048097,6.491627098531572e-05,4.1957144334414664e-06
28,0.025,2.2564378666378726e-05,2.4458672751026533e-07,2.645722113614468e-09
28,0.05,9.121456121544136e-05,1.9353934599952716e-06,4.246613702352242e-08
28,0.1,0.0003722562085727299,1.5139537550973303e-05,6.833392251492931e-07
28,0.2,0.0015440190550258248,0.00011555237093879844,1.1030643270182328e-05
29,0.025,1.2505174593058221e-05,4.806990333561245e-08,3.852745344978814e-10
29,0.05,5.020989916493246e-05,3.8148040615304524e-07,6.1610166413039735e-09
29,0.1,0.0002023163487304691,3.0026736953514543e-06,9.845768700333934e-08
29,0.2,0.0008204926631275034,2.3237962986977223e-05,1.5710880719721487e-06
30,0.025,1.253635600899361e-05,3.577762683060204e-07,1.2725772657873335e-09
30,0.05,4.87045221539556e-05,2.872006955235984e-06,1.997742696269178e-08
30,0.1,0.0001831827166776448,2.312339975912847e-05,3.0716353295601184e-07
30,0.2,0.0006381902681424495,0.00018703419760465485,4.50430779526563e-06
31,0.025,4.631658558978957e-05,3.523545909489556e-07,5.89905735370877e-09
31,0.05,0.00018662844012679036,2.771516131483409e-06,9.45130548823947e-08
31,0.1,0.0007568407572607905,2.141306127950715e-05,1.5151722115858135e-06
31,0.2,0.00310086909960966,0.00015915831568447114,2.426755224416155e-05
32,0.025,1.8037205747611917e-05,1.5321805633961016e-07,2.1115892645529044e-09
32,0.05,7.151892320453324e-05,1.2427720112728746e-06,3.3920274644660964e-08
32,0.1,0.00028082918832034176,1.021759254288268e-05,5.467786498569716e-07
32,0.2,0.0010779606154708854,8.622650798201237e-05,8.85999683783445e-06
33,0.025,1.8713989433039036e-05,5.144312403837503e-08,1.3483403560332619e-09
