sample_index,n,group_count,effective_score_error,partition_weight_error
76,67,3,1.1102230246251565e-16,4.440892098500626e-16
77,28,9,2.220446049250313e-16,4.440892098500626e-16
78,23,4,0.0,4.440892098500626e-16
79,35,7,1.1102230246251565e-16,0.0
80,58,6,3.3306690738754696e-16,4.440892098500626e-16
81,26,9,1.6653345369377348e-16,6.661338147750939e-16
82,80,6,2.220446049250313e-16,0.0
83,34,6,5.551115123125783e-17,2.220446049250313e-16
84,38,8,1.1102230246251565e-16,0.0
85,76,9,2.220446049250313e-16,0.0
86,16,2,1.1102230246251565e-16,0.0
87,52,6,1.1102230246251565e-16,8.881784197001252e-16
88,48,9,3.3306690738754696e-16,0.0
89,71,8,0.0,0.0
90,63,8,1.1102230246251565e-16,1.3322676295501878e-15
91,24,8,0.0,1.7763568394002505e-15
92,23,7,4.440892098500626e-16,1.7763568394002505e-15
93,79,10,2.220446049250313e-16,8.881784197001252e-16
94,63,8,0.0,0.0
95,79,10,2.220446049250313e-16,8.881784197001252e-16
96,26,2,2.220446049250313e-16,8.881784197001252e-16
97,78,8,3.3306690738754696e-16,0.0
98,52,6,0.0,1.7763568394002505e-15
99,63,2,0.0,8.881784197001252e-16
100,72,7,4.440892098500626e-16,8.881784197001252e-16
101,36,3,4.440892098500626e-16,2.220446049250313e-16
102,24,7,0.0,1.7763568394002505e-15
103,43,3,0.0,0.0
104,58,10,2.220446049250313e-16,4.440892098500626e-16
105,12,4,1.1102230246251565e-16,4.440892098500626e-16
106,63,4,3.3306690738754696e-16,8.881784197001252e-16
107,60,6,2.220446049250313e-16,0.0
108,47,4,1.1102230246251565e-16,0.0
109,71,10,2.220446049250313e-16,0.0
110,52,10,3.3306690738754696e-16,8.881784197001252e-16
111,29,9,2.220446049250313e-16,4.440892098500626e-16
112,34,9,0.0,0.0
113,66,4,1.1102230246251565e-16,0.0
114,71,10,2.220446049250313e-16,0.0
115,76,7,2.220446049250313e-16,2.220446049250313e-16
116,22,2,0.0,0.0
117,16,3,0.0,0.0
118,24,8,2.220446049250313e-16,8.881784197001252e-16
119,63,4,6.661338147750939e-16,1.7763568394002505e-15
120,10,9,0.0,0.0
121,63,4,2.220446049250313e-16,0.0
122,60,2,0.0,0.0
123,13,5,0.0,2.220446049250313e-16
124,50,4,0.0,4.440892098500626e-16
125,72,9,0.0,4.440892098500626e-16
126,51,8,0.0,0.0
127,51,6,0.0,0.0
128,78,4,3.885780586188048e-16,2.220446049250313e-16
129,55,4,0.0,0.0
130,19,4,1.3877787807814457e-16,2.220446049250313e-16
131,49,8,5.551115123125783e-17,2.220446049250313e-16
132,9,7,4.440892098500626e-16,3.552713678800501e-15
133,7,2,0.0,0.0
134,40,4,1.1102230246251565e-16,4.440892098500626e-16
135,15,2,0.0,0.0
136,79,7,5.551115123125783e-16,4.440892098500626e-16
137,43,3,0.0,4.440892098500626e-16
138,73,2,2.220446049250313e-16,8.881784197001252e-16
139,51,4,2.220446049250313e-16,0.0
140,53,10,2.220446049250313e-16,8.881784197001252e-16
141,5,4,1.6653345369377348e-16,0.0
142,30,3,0.0,0.0
143,75,2,2.220446049250313e-16,0.0
144,47,10,1.1102230246251565e-16,0.0
145,16,4,1.942890293094024e-16,0.0
146,79,3,2.7755575615628914e-16,4.440892098500626e-16
