sample_index,operator,group_count,macro_probability_tv,maximum_group_weight_relative_error
71,exponential_mean,6,6.938893903907228e-18,1.2810221340282446e-16
71,weighted_median,6,0.2694361527025119,0.7447398565598933
71,minimum,6,0.2332285836802749,6.404144961066714
72,weighted_arithmetic,8,0.38316337623166286,0.8679964862549994
72,exponential_mean,8,1.474514954580286e-17,2.325554487055705e-16
72,weighted_median,8,0.4274243919358237,0.9090168342940242
72,minimum,8,0.07709799319025154,4.382813920669052
73,weighted_arithmetic,8,0.07257073233056185,0.5940851863085946
73,exponential_mean,8,9.546400128734867e-17,2.759023116628448e-16
73,weighted_median,8,0.08970714676937469,0.4920207917904546
73,minimum,8,0.05183848757294053,0.9492532833391609
74,weighted_arithmetic,6,0.09322956876753735,0.414020475071062
74,exponential_mean,6,1.3877787807814457e-17,1.3150202659839001e-16
74,weighted_median,6,0.08299662198653567,0.4301152015441028
74,minimum,6,0.10068796251230547,2.1562063398197076
75,weighted_arithmetic,8,0.17488548520180897,0.6527252862340933
75,exponential_mean,8,4.85722573273506e-17,2.116041901354481e-16
75,weighted_median,8,0.1993067344327378,0.5448882656412259
75,minimum,8,0.1688359345171452,2.8399685066682485
76,weighted_arithmetic,7,0.05085870426357792,0.48842016274466493
76,exponential_mean,7,3.122502256758253e-17,3.362822181993039e-16
76,weighted_median,7,0.30323293734452694,0.6960985337896936
76,minimum,7,0.15408666077523417,3.540864365297328
77,weighted_arithmetic,5,0.10379811193295685,0.4085743715418274
77,exponential_mean,5,1.6653345369377348e-16,5.992077015274274e-16
77,weighted_median,5,0.04489738030967594,0.3542561318077326
77,minimum,5,0.07806452242552463,1.7373329989829898
78,weighted_arithmetic,8,0.2860494217744341,0.7697618173603964
78,exponential_mean,8,7.112366251504909e-17,2.1049585742218415e-16
78,weighted_median,8,0.13571554941355884,0.533963416926213
78,minimum,8,0.04799599140857345,0.7663564440491413
79,weighted_arithmetic,8,0.047688066579067476,0.32398958316273335
79,exponential_mean,8,2.2768245622195593e-17,1.2243478885071436e-16
79,weighted_median,8,0.13574898756095546,0.6948792403197316
79,minimum,8,0.06875116029536575,0.9049689696823908
80,weighted_arithmetic,5,0.05491736148437999,0.33695373355356545
80,exponential_mean,5,0.0,0.0
80,weighted_median,5,0.1236567366031152,0.7029743260988338
80,minimum,5,0.12191400185387878,0.939699410169408
81,weighted_arithmetic,2,0.07291807136707912,0.4795279913165339
81,exponential_mean,2,2.7755575615628914e-17,2.165302778698744e-16
81,weighted_median,2,0.18844648113256166,0.44744417725735197
81,minimum,2,0.11600322574528303,2.272657218729976
