sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
366,18,4,3,1.4210854715202004e-14
367,31,7,6,1.1368683772161603e-13
368,15,5,2,1.1368683772161603e-13
369,17,4,3,2.842170943040401e-14
370,14,9,3,2.842170943040401e-14
371,26,7,5,5.684341886080802e-14
372,25,8,2,1.1368683772161603e-13
373,27,5,3,1.1368683772161603e-13
374,14,4,2,5.684341886080802e-14
375,27,6,3,1.1368683772161603e-13
376,32,6,5,5.684341886080802e-14
377,16,4,3,2.842170943040401e-14
378,29,5,2,6.821210263296962e-13
379,22,6,2,1.1368683772161603e-13
380,31,5,3,2.2737367544323206e-13
381,21,7,2,8.526512829121202e-14
382,26,4,3,7.105427357601002e-14
383,27,5,4,5.684341886080802e-14
384,30,5,4,2.2737367544323206e-13
385,16,6,2,2.842170943040401e-14
386,25,9,4,5.684341886080802e-14
387,20,7,2,1.7053025658242404e-13
388,30,8,2,3.410605131648481e-13
389,31,5,4,1.1368683772161603e-13
390,27,5,4,2.842170943040401e-14
391,22,6,4,2.842170943040401e-14
392,14,4,2,1.1368683772161603e-13
393,27,9,6,2.842170943040401e-14
394,29,9,5,2.842170943040401e-14
395,21,6,3,5.684341886080802e-14
396,15,5,4,5.684341886080802e-14
397,29,5,4,3.410605131648481e-13
398,16,7,6,3.552713678800501e-15
399,28,6,4,1.1368683772161603e-13
400,31,5,4,1.1368683772161603e-13
401,13,5,2,2.842170943040401e-14
402,27,5,4,5.684341886080802e-14
403,31,6,2,5.684341886080801e-13
404,26,9,2,1.1368683772161603e-13
405,22,6,2,1.7053025658242404e-13
406,23,8,2,1.7053025658242404e-13
407,22,4,2,1.1368683772161603e-13
408,20,7,2,5.684341886080802e-14
409,26,7,2,2.2737367544323206e-13
410,19,4,2,8.526512829121202e-14
411,12,8,6,7.105427357601002e-15
412,31,5,4,8.526512829121202e-14
413,28,7,4,5.684341886080802e-14
414,15,7,6,3.552713678800501e-15
415,13,4,2,1.4210854715202004e-14
416,22,4,2,2.2737367544323206e-13
417,27,6,5,4.263256414560601e-14
418,19,6,5,7.105427357601002e-15
419,28,7,2,3.410605131648481e-13
420,26,6,5,2.842170943040401e-14
421,15,5,4,2.842170943040401e-14
422,21,5,4,5.684341886080802e-14
423,31,7,5,5.684341886080802e-14
424,31,9,4,8.526512829121202e-14
425,27,6,5,2.842170943040401e-14
426,20,8,4,1.1368683772161603e-13
427,21,5,4,5.684341886080802e-14
428,17,6,5,7.105427357601002e-15
429,20,6,5,1.4210854715202004e-14
430,25,7,3,1.1368683772161603e-13
431,14,6,4,1.4210854715202004e-14
432,20,6,4,2.842170943040401e-14
433,30,9,5,2.842170943040401e-14
434,13,9,5,2.842170943040401e-14
435,12,6,4,3.552713678800501e-15
436,27,4,2,5.684341886080801e-13
437,29,6,2,3.410605131648481e-13
438,12,6,2,2.842170943040401e-14
439,15,5,2,5.684341886080802e-14
440,13,4,3,1.4210854715202004e-14
441,28,8,5,8.526512829121202e-14
442,14,7,6,3.552713678800501e-15
443,17,4,3,5.684341886080802e-14
444,17,7,4,2.842170943040401e-14
445,18,5,4,2.842170943040401e-14
446,15,6,2,5.684341886080802e-14
447,29,7,3,5.684341886080802e-14
448,26,5,3,1.7053025658242404e-13
449,24,4,2,2.2737367544323206e-13
450,21,5,2,1.7053025658242404e-13
451,30,5,4,2.842170943040401e-14
452,17,9,6,1.4210854715202004e-14
453,26,7,4,5.684341886080802e-14
454,13,5,4,3.552713678800501e-15
455,21,9,4,5.684341886080802e-14
456,25,7,3,1.1368683772161603e-13
457,16,6,3,1.4210854715202004e-14
458,27,6,5,5.684341886080802e-14
459,16,7,2,5.684341886080802e-14
460,30,9,2,4.547473508864641e-13
461,21,4,2,5.684341886080802e-14
462,24,8,6,5.684341886080802e-14
463,32,7,2,2.2737367544323206e-13
464,21,9,8,2.842170943040401e-14
465,32,9,7,2.1316282072803006e-14
466,17,6,5,1.4210854715202004e-14
467,24,8,6,5.684341886080802e-14
468,19,6,4,2.842170943040401e-14
469,13,6,2,2.842170943040401e-14
470,31,5,3,2.2737367544323206e-13
471,25,9,2,5.684341886080802e-14
472,17,9,8,2.1316282072803006e-14
473,14,5,4,7.105427357601002e-15
474,19,7,3,1.7053025658242404e-13
475,18,6,2,1.1368683772161603e-13
476,18,9,8,2.1316282072803006e-14
477,28,5,4,5.684341886080802e-14
478,20,5,4,8.526512829121202e-14
479,21,9,6,2.842170943040401e-14
480,14,6,5,2.842170943040401e-14
481,17,9,6,1.4210854715202004e-14
482,13,8,5,3.552713678800501e-15
483,15,8,2,5.684341886080802e-14
