sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
389,1.6653345369377348e-16,4.440892098500626e-16
390,1.6653345369377348e-16,1.1102230246251565e-16
391,1.1102230246251565e-16,2.220446049250313e-16
392,0.0,2.220446049250313e-16
393,1.1102230246251565e-16,4.440892098500626e-16
394,1.6653345369377348e-16,2.220446049250313e-16
395,2.220446049250313e-16,3.3306690738754696e-16
396,1.1102230246251565e-16,2.220446049250313e-16
397,2.220446049250313e-16,2.220446049250313e-16
398,1.1102230246251565e-16,2.220446049250313e-16
399,1.1102230246251565e-16,2.220446049250313e-16
400,3.3306690738754696e-16,2.220446049250313e-16
401,2.220446049250313e-16,0.0
402,2.220446049250313e-16,1.1102230246251565e-16
403,3.3306690738754696e-16,8.881784197001252e-16
404,3.3306690738754696e-16,4.440892098500626e-16
405,2.220446049250313e-16,2.220446049250313e-16
406,2.220446049250313e-16,2.220446049250313e-16
407,3.3306690738754696e-16,4.440892098500626e-16
408,1.1102230246251565e-16,2.220446049250313e-16
409,3.3306690738754696e-16,5.551115123125783e-16
410,2.220446049250313e-16,2.220446049250313e-16
411,5.551115123125783e-17,2.220446049250313e-16
412,5.551115123125783e-17,2.220446049250313e-16
413,1.1102230246251565e-16,4.440892098500626e-16
414,5.551115123125783e-17,3.3306690738754696e-16
415,1.1102230246251565e-16,0.0
416,3.3306690738754696e-16,4.440892098500626e-16
417,1.1102230246251565e-16,3.3306690738754696e-16
418,5.551115123125783e-17,2.220446049250313e-16
419,1.6653345369377348e-16,1.1102230246251565e-16
420,1.1102230246251565e-16,3.3306690738754696e-16
421,2.220446049250313e-16,4.440892098500626e-16
422,2.220446049250313e-16,2.220446049250313e-16
423,1.1102230246251565e-16,2.220446049250313e-16
424,1.6653345369377348e-16,1.1102230246251565e-16
425,5.551115123125783e-17,2.220446049250313e-16
426,1.1102230246251565e-16,0.0
427,1.6653345369377348e-16,2.220446049250313e-16
428,5.551115123125783e-17,1.1102230246251565e-16
429,5.551115123125783e-17,2.220446049250313e-16
430,1.6653345369377348e-16,2.220446049250313e-16
431,1.1102230246251565e-16,2.220446049250313e-16
432,1.6653345369377348e-16,2.220446049250313e-16
433,8.326672684688674e-17,2.220446049250313e-16
434,5.551115123125783e-17,1.1102230246251565e-16
435,5.551115123125783e-17,1.1102230246251565e-16
