n,sample_index,first_kernel,second_kernel,mean_row_total_variation,maximum_row_total_variation
16,95,standardized_exponential,standardized_asinh,0.0497314009470719,0.08651960203746299
16,95,standardized_exponential,standardized_rank,0.22021721498038754,0.36850083787004234
16,95,standardized_asinh,standardized_rank,0.1741237489748378,0.2819812358325793
16,96,standardized_exponential,standardized_asinh,0.044775381813111914,0.08005968458626633
16,96,standardized_exponential,standardized_rank,0.18605770925890536,0.3133057268014302
16,96,standardized_asinh,standardized_rank,0.1468778597304113,0.23324604221516387
16,97,standardized_exponential,standardized_asinh,0.05917049170157073,0.12095391431877517
16,97,standardized_exponential,standardized_rank,0.24746675730531548,0.4382528579427252
16,97,standardized_asinh,standardized_rank,0.1911637065104842,0.31729894362395006
16,98,standardized_exponential,standardized_asinh,0.0543150782491308,0.118963887533096
16,98,standardized_exponential,standardized_rank,0.23378734541506135,0.36991003342359896
16,98,standardized_asinh,standardized_rank,0.1840560074131111,0.2832967921284547
16,99,standardized_exponential,standardized_asinh,0.05151513165092783,0.11081680687550469
16,99,standardized_exponential,standardized_rank,0.2080974918045151,0.3663438720926407
16,99,standardized_asinh,standardized_rank,0.16130015669028797,0.26297608510765014
32,0,standardized_exponential,standardized_asinh,0.06100483458515902,0.14678009059929922
32,0,standardized_exponential,standardized_rank,0.22730390686325114,0.4363310934678016
32,0,standardized_asinh,standardized_rank,0.17536729035741583,0.2895510028685023
32,1,standardized_exponential,standardized_asinh,0.06304429039599309,0.13207811132305075
32,1,standardized_exponential,standardized_rank,0.22417936834763114,0.39744214006648815
32,1,standardized_asinh,standardized_rank,0.1697362501799391,0.2810925713820935
32,2,standardized_exponential,standardized_asinh,0.0674729592261957,0.17882132061869038
32,2,standardized_exponential,standardized_rank,0.23831796979803246,0.42860394029274446
32,2,standardized_asinh,standardized_rank,0.17921695270676197,0.29611513494095043
32,3,standardized_exponential,standardized_asinh,0.0685185177887359,0.163088650539782
32,3,standardized_exponential,standardized_rank,0.23742812374442512,0.42721606313831484
32,3,standardized_asinh,standardized_rank,0.1793489996257145,0.27942027050853036
32,4,standardized_exponential,standardized_asinh,0.07082527137579896,0.13006953816709066
32,4,standardized_exponential,standardized_rank,0.24396886570949705,0.39282854851194965
32,4,standardized_asinh,standardized_rank,0.1858763956878089,0.2781632713885143
32,5,standardized_exponential,standardized_asinh,0.06662426165342097,0.12599127147166958
32,5,standardized_exponential,standardized_rank,0.24632259609552837,0.4058308133534414
32,5,standardized_asinh,standardized_rank,0.18821678987569213,0.28829678076908016
32,6,standardized_exponential,standardized_asinh,0.06634438205122364,0.14655202263398942
32,6,standardized_exponential,standardized_rank,0.24377300802430618,0.3982296343700611
32,6,standardized_asinh,standardized_rank,0.18762885052772288,0.2929704315672043
32,7,standardized_exponential,standardized_asinh,0.06407918028142778,0.1773086099637396
32,7,standardized_exponential,standardized_rank,0.24698641139690403,0.4763230732722834
32,7,standardized_asinh,standardized_rank,0.19076276029147093,0.2990144633085438
32,8,standardized_exponential,standardized_asinh,0.08200195408575803,0.148804649638068
32,8,standardized_exponential,standardized_rank,0.27917481401964095,0.4186140527209358
32,8,standardized_asinh,standardized_rank,0.2067429403810795,0.2947215928777613
32,9,standardized_exponential,standardized_asinh,0.06963220796772003,0.16092017048124457
32,9,standardized_exponential,standardized_rank,0.25243450176709104,0.4232601691704413
32,9,standardized_asinh,standardized_rank,0.19263362814402116,0.2888373743295889
32,10,standardized_exponential,standardized_asinh,0.0734844097207546,0.1591302672222372
32,10,standardized_exponential,standardized_rank,0.2541750968985475,0.41541011208953604
32,10,standardized_asinh,standardized_rank,0.1877721065056029,0.29657608584047435
32,11,standardized_exponential,standardized_asinh,0.06401486928440021,0.1779615890377671
32,11,standardized_exponential,standardized_rank,0.22970954762009005,0.43042473802310854
32,11,standardized_asinh,standardized_rank,0.17484194221549068,0.2690610126529922
32,12,standardized_exponential,standardized_asinh,0.060174794427418805,0.11442994804775881
32,12,standardized_exponential,standardized_rank,0.22812799755133312,0.33040989790483355
32,12,standardized_asinh,standardized_rank,0.17605042012471522,0.2622514944858299
32,13,standardized_exponential,standardized_asinh,0.07063059051021629,0.1408427439332918
32,13,standardized_exponential,standardized_rank,0.25148459928371314,0.4416709521747382
32,13,standardized_asinh,standardized_rank,0.1929018292033323,0.32040508158850306
32,14,standardized_exponential,standardized_asinh,0.08142701110868658,0.22096254149010225
32,14,standardized_exponential,standardized_rank,0.274791929988943,0.47359775327794373
32,14,standardized_asinh,standardized_rank,0.2027569263877519,0.312525625082666
32,15,standardized_exponential,standardized_asinh,0.06405846384980575,0.155803868376442
32,15,standardized_exponential,standardized_rank,0.24163267027695168,0.42521713369948283
32,15,standardized_asinh,standardized_rank,0.18578435191962372,0.28094317640442434
32,16,standardized_exponential,standardized_asinh,0.07445814707886156,0.14872130240508516
