sample_index,transformed_model,initial_relation_identical,mark_vector_identical,trajectory_diverged,first_divergence_step,final_relation_identical,path_hash_identical,anchor_hash_identical,base_transitive_every_step,transformed_transitive_every_step
181,beta_skew,True,False,True,6,False,False,False,True,True
182,power_anisotropic,True,False,True,1,False,False,False,True,True
182,beta_skew,True,False,True,1,False,False,False,True,True
183,power_anisotropic,True,False,True,2,False,False,False,True,True
183,beta_skew,True,False,True,2,False,False,False,True,True
184,power_anisotropic,True,False,True,4,False,False,False,True,True
184,beta_skew,True,False,True,6,False,False,False,True,True
185,power_anisotropic,True,False,True,2,False,False,False,True,True
185,beta_skew,True,False,True,3,False,False,False,True,True
186,power_anisotropic,True,False,True,1,False,False,False,True,True
186,beta_skew,True,False,True,5,False,False,False,True,True
187,power_anisotropic,True,False,True,4,False,False,False,True,True
187,beta_skew,True,False,True,4,False,False,False,True,True
188,power_anisotropic,True,False,True,1,False,False,False,True,True
188,beta_skew,True,False,True,1,False,False,False,True,True
189,power_anisotropic,True,False,True,1,False,False,False,True,True
189,beta_skew,True,False,True,5,False,False,False,True,True
190,power_anisotropic,True,False,True,3,False,False,False,True,True
190,beta_skew,True,False,True,4,False,False,False,True,True
191,power_anisotropic,True,False,True,1,False,False,False,True,True
191,beta_skew,True,False,True,2,False,False,False,True,True
192,power_anisotropic,True,False,True,2,False,False,False,True,True
192,beta_skew,True,False,True,4,False,False,False,True,True
193,power_anisotropic,True,False,True,1,False,False,False,True,True
193,beta_skew,True,False,True,1,False,False,False,True,True
194,power_anisotropic,True,False,True,1,False,False,False,True,True
194,beta_skew,True,False,True,2,False,False,False,True,True
195,power_anisotropic,True,False,True,5,False,False,False,True,True
195,beta_skew,True,False,True,3,False,False,False,True,True
196,power_anisotropic,True,False,True,1,False,False,False,True,True
196,beta_skew,True,False,True,1,False,False,False,True,True
197,power_anisotropic,True,False,True,2,False,False,False,True,True
197,beta_skew,True,False,True,3,False,False,False,True,True
198,power_anisotropic,True,False,True,1,False,False,False,True,True
198,beta_skew,True,False,True,1,False,False,False,True,True
199,power_anisotropic,True,False,True,1,False,False,False,True,True
199,beta_skew,True,False,True,1,False,False,False,True,True
200,power_anisotropic,True,False,True,1,False,False,False,True,True
200,beta_skew,True,False,True,1,False,False,False,True,True
201,power_anisotropic,True,False,True,2,False,False,False,True,True
201,beta_skew,True,False,True,3,False,False,False,True,True
202,power_anisotropic,True,False,True,2,False,False,False,True,True
202,beta_skew,True,False,True,1,False,False,False,True,True
203,power_anisotropic,True,False,True,1,False,False,False,True,True
203,beta_skew,True,False,True,1,False,False,False,True,True
204,power_anisotropic,True,False,True,2,False,False,False,True,True
204,beta_skew,True,False,True,2,False,False,False,True,True
205,power_anisotropic,True,False,True,2,False,False,False,True,True
205,beta_skew,True,False,True,1,False,False,False,True,True
206,power_anisotropic,True,False,True,1,False,False,False,True,True
206,beta_skew,True,False,True,1,False,False,False,True,True
207,power_anisotropic,True,False,True,3,False,False,False,True,True
207,beta_skew,True,False,True,1,False,False,False,True,True
208,power_anisotropic,True,False,True,1,False,False,False,True,True
208,beta_skew,True,False,True,7,False,False,False,True,True
209,power_anisotropic,True,False,True,1,False,False,False,True,True
209,beta_skew,True,False,True,4,False,False,False,True,True
210,power_anisotropic,True,False,True,2,False,False,False,True,True
210,beta_skew,True,False,True,2,False,False,False,True,True
211,power_anisotropic,True,False,True,1,False,False,False,True,True
211,beta_skew,True,False,True,4,False,False,False,True,True
212,power_anisotropic,True,False,True,2,False,False,False,True,True
212,beta_skew,True,False,True,2,False,False,False,True,True
213,power_anisotropic,True,False,True,4,False,False,False,True,True
213,beta_skew,True,False,True,4,False,False,False,True,True
214,power_anisotropic,True,False,True,1,False,False,False,True,True
214,beta_skew,True,False,True,1,False,False,False,True,True
215,power_anisotropic,True,False,True,3,False,False,False,True,True
215,beta_skew,True,False,True,2,False,False,False,True,True
216,power_anisotropic,True,False,True,3,False,False,False,True,True
216,beta_skew,True,False,True,3,False,False,False,True,True
217,power_anisotropic,True,False,True,2,False,False,False,True,True
217,beta_skew,True,False,True,3,False,False,False,True,True
218,power_anisotropic,True,False,True,3,False,False,False,True,True
218,beta_skew,True,False,True,3,False,False,False,True,True
219,power_anisotropic,True,False,True,4,False,False,False,True,True
