n,sample_index,clone_count,maximum_macro_error,maximum_conservation_error
20,21,4,6.938893903907228e-17,2.220446049250313e-15
20,22,2,5.551115123125783e-17,2.1094237467877974e-15
20,23,4,2.7755575615628914e-17,2.3314683517128287e-15
20,24,4,2.7755575615628914e-17,2.1094237467877974e-15
20,25,5,2.7755575615628914e-17,2.220446049250313e-15
20,26,2,2.7755575615628914e-17,2.4424906541753444e-15
20,27,4,9.71445146547012e-17,2.3314683517128287e-15
20,28,4,4.163336342344337e-17,2.220446049250313e-15
20,29,6,5.551115123125783e-17,1.887379141862766e-15
20,30,5,4.163336342344337e-17,1.887379141862766e-15
20,31,5,5.551115123125783e-17,1.7763568394002505e-15
20,32,5,4.163336342344337e-17,2.3314683517128287e-15
20,33,4,5.551115123125783e-17,1.9984014443252818e-15
20,34,2,5.551115123125783e-17,2.4424906541753444e-15
20,35,5,5.551115123125783e-17,1.887379141862766e-15
20,36,4,8.326672684688674e-17,2.1094237467877974e-15
20,37,4,2.7755575615628914e-17,2.220446049250313e-15
20,38,6,5.551115123125783e-17,2.220446049250313e-15
20,39,2,2.7755575615628914e-17,1.4432899320127035e-15
20,40,4,6.938893903907228e-17,2.55351295663786e-15
20,41,5,2.7755575615628914e-17,1.9984014443252818e-15
20,42,3,2.7755575615628914e-17,1.7763568394002505e-15
20,43,6,4.163336342344337e-17,1.4432899320127035e-15
20,44,6,2.7755575615628914e-17,2.3314683517128287e-15
20,45,3,4.163336342344337e-17,1.6653345369377348e-15
20,46,4,5.551115123125783e-17,2.1094237467877974e-15
20,47,6,2.7755575615628914e-17,2.3314683517128287e-15
20,48,5,2.7755575615628914e-17,1.7763568394002505e-15
20,49,2,4.163336342344337e-17,1.7763568394002505e-15
20,50,5,9.71445146547012e-17,1.3322676295501878e-15
20,51,6,2.7755575615628914e-17,2.220446049250313e-15
20,52,3,5.551115123125783e-17,2.55351295663786e-15
20,53,3,4.163336342344337e-17,2.7755575615628914e-15
20,54,2,2.7755575615628914e-17,2.3314683517128287e-15
20,55,2,2.7755575615628914e-17,2.220446049250313e-15
20,56,2,4.163336342344337e-17,2.4424906541753444e-15
20,57,5,4.163336342344337e-17,2.4424906541753444e-15
20,58,2,2.7755575615628914e-17,2.220446049250313e-15
20,59,5,2.7755575615628914e-17,2.1094237467877974e-15
20,60,6,4.163336342344337e-17,2.220446049250313e-15
20,61,4,2.7755575615628914e-17,2.55351295663786e-15
20,62,5,2.7755575615628914e-17,2.4424906541753444e-15
20,63,4,2.7755575615628914e-17,1.9984014443252818e-15
20,64,2,2.7755575615628914e-17,1.887379141862766e-15
20,65,5,5.551115123125783e-17,2.3314683517128287e-15
20,66,2,5.551115123125783e-17,2.3314683517128287e-15
20,67,5,2.7755575615628914e-17,2.886579864025407e-15
20,68,2,5.551115123125783e-17,2.220446049250313e-15
20,69,2,4.163336342344337e-17,1.6653345369377348e-15
20,70,3,4.163336342344337e-17,1.7763568394002505e-15
20,71,2,2.7755575615628914e-17,1.6653345369377348e-15
20,72,6,8.326672684688674e-17,2.55351295663786e-15
20,73,3,2.7755575615628914e-17,2.1094237467877974e-15
20,74,2,2.7755575615628914e-17,2.220446049250313e-15
20,75,4,4.163336342344337e-17,2.220446049250313e-15
20,76,4,1.3877787807814457e-16,2.55351295663786e-15
20,77,5,5.551115123125783e-17,2.4424906541753444e-15
20,78,6,4.163336342344337e-17,1.887379141862766e-15
20,79,5,2.498001805406602e-16,3.6637359812630166e-15
20,80,3,4.163336342344337e-17,2.220446049250313e-15
20,81,3,2.7755575615628914e-17,2.220446049250313e-15
20,82,3,5.551115123125783e-17,3.552713678800501e-15
20,83,3,4.163336342344337e-17,2.220446049250313e-15
20,84,4,5.551115123125783e-17,2.220446049250313e-15
20,85,5,2.7755575615628914e-17,2.220446049250313e-15
20,86,5,2.7755575615628914e-17,1.887379141862766e-15
20,87,4,1.1102230246251565e-16,2.55351295663786e-15
20,88,3,2.7755575615628914e-17,2.4424906541753444e-15
20,89,6,4.163336342344337e-17,1.6653345369377348e-15
20,90,5,4.163336342344337e-17,1.887379141862766e-15
20,91,4,2.7755575615628914e-17,1.7763568394002505e-15
20,92,6,8.326672684688674e-17,1.6653345369377348e-15
20,93,3,6.938893903907228e-17,1.9984014443252818e-15
20,94,4,4.85722573273506e-17,2.886579864025407e-15
20,95,6,1.1102230246251565e-16,2.55351295663786e-15
20,96,5,4.163336342344337e-17,1.5543122344752192e-15
20,97,2,2.7755575615628914e-17,2.1094237467877974e-15
20,98,3,2.7755575615628914e-17,2.1094237467877974e-15
20,99,3,4.163336342344337e-17,2.4424906541753444e-15
20,100,6,2.7755575615628914e-17,2.220446049250313e-15
20,101,4,2.7755575615628914e-17,1.9984014443252818e-15
20,102,2,6.938893903907228e-17,2.3314683517128287e-15
20,103,3,2.7755575615628914e-17,1.1102230246251565e-15
20,104,2,6.938893903907228e-17,2.4424906541753444e-15
20,105,4,6.938893903907228e-17,2.220446049250313e-15
20,106,4,4.163336342344337e-17,1.9984014443252818e-15
20,107,3,4.163336342344337e-17,2.7755575615628914e-15
20,108,6,5.551115123125783e-17,2.220446049250313e-15
20,109,3,5.551115123125783e-17,1.7763568394002505e-15
20,110,2,3.469446951953614e-17,2.3314683517128287e-15
20,111,3,4.163336342344337e-17,2.220446049250313e-15
20,112,5,4.163336342344337e-17,2.3314683517128287e-15
20,113,3,2.7755575615628914e-17,2.4424906541753444e-15
20,114,4,5.551115123125783e-17,2.3314683517128287e-15
20,115,4,2.7755575615628914e-17,1.887379141862766e-15
20,116,6,4.163336342344337e-17,1.6653345369377348e-15
20,117,6,2.7755575615628914e-17,1.7763568394002505e-15
20,118,5,4.163336342344337e-17,1.7763568394002505e-15
20,119,5,2.7755575615628914e-17,2.1094237467877974e-15
20,120,3,8.326672684688674e-17,2.1094237467877974e-15
20,121,3,5.551115123125783e-17,1.9984014443252818e-15
20,122,2,5.551115123125783e-17,2.220446049250313e-15
20,123,3,2.7755575615628914e-17,1.6653345369377348e-15
20,124,2,3.469446951953614e-17,2.886579864025407e-15
20,125,2,4.163336342344337e-17,2.220446049250313e-15
20,126,5,4.163336342344337e-17,1.7763568394002505e-15
20,127,2,8.326672684688674e-17,2.6645352591003757e-15
20,128,5,4.163336342344337e-17,2.1094237467877974e-15
