n,sample_index,measure,clone_count,macro_total_variation,refinement_consistent
10,112,q_node_softmax,3,0.12622974923694658,False
10,113,uniform_count,2,0.08181818181818183,False
10,113,degree,2,0.09264024704065879,False
10,113,relation_stationary,2,0.0822214479287407,False
10,113,q_stationary,2,0.11988545392987213,False
10,113,q_node_softmax,2,0.06910306068776167,False
10,114,uniform_count,2,0.08181818181818183,False
10,114,degree,2,0.08727272727272727,False
10,114,relation_stationary,2,0.10396250319143022,False
10,114,q_stationary,2,0.16410632985270174,False
10,114,q_node_softmax,2,0.058823213338395526,False
10,115,uniform_count,4,0.2076923076923077,False
10,115,degree,4,0.19541284403669723,False
10,115,relation_stationary,4,0.2909169918983139,False
10,115,q_stationary,4,0.30699048617190916,False
10,115,q_node_softmax,4,0.19559725819893853,False
10,116,uniform_count,4,0.20769230769230773,False
10,116,degree,4,0.20206310679611653,False
10,116,relation_stationary,4,0.16879665938463498,False
10,116,q_stationary,4,0.1314914620054603,False
10,116,q_node_softmax,4,0.21367929653023132,False
10,117,uniform_count,3,0.15000000000000002,False
10,117,degree,3,0.14621621621621622,False
10,117,relation_stationary,3,0.11499956974414308,False
10,117,q_stationary,3,0.06456888939124342,False
10,117,q_node_softmax,3,0.11511712559880169,False
10,118,uniform_count,2,0.08181818181818183,False
10,118,degree,2,0.0765275257108288,False
10,118,relation_stationary,2,0.08636978171769594,False
10,118,q_stationary,2,0.01627698672912085,False
10,118,q_node_softmax,2,0.084780983415239,False
10,119,uniform_count,6,0.29999999999999993,False
10,119,degree,6,0.26481481481481484,False
10,119,relation_stationary,6,0.15129347797834491,False
10,119,q_stationary,6,0.17103953572861644,False
10,119,q_node_softmax,6,0.34418758211730394,False
10,120,uniform_count,5,0.2571428571428572,False
10,120,degree,5,0.24737394957983191,False
