n,sample_index,measure,same_relation_measure_tv
20,26,q_stationary,0.38115944612391156
20,26,q_node_softmax,0.19841468873710133
20,27,q_stationary,0.26277718901474767
20,27,q_node_softmax,0.17405259353696
20,28,q_stationary,0.30090829224127846
20,28,q_node_softmax,0.1024786014483452
20,29,q_stationary,0.3821064648656166
20,29,q_node_softmax,0.18110036442140323
20,30,q_stationary,0.5624278976421596
20,30,q_node_softmax,0.2103317756864388
20,31,q_stationary,0.35698971288651354
20,31,q_node_softmax,0.13765144461897105
20,32,q_stationary,0.33658083078626577
20,32,q_node_softmax,0.16467551223053115
20,33,q_stationary,0.49545967832606175
20,33,q_node_softmax,0.13643711336611622
20,34,q_stationary,0.27417818102620317
20,34,q_node_softmax,0.16632973212044397
20,35,q_stationary,0.4251906229042962
20,35,q_node_softmax,0.18544296798239013
20,36,q_stationary,0.14313364457477362
20,36,q_node_softmax,0.13264056872544686
20,37,q_stationary,0.40714856471348637
20,37,q_node_softmax,0.23136756792452381
20,38,q_stationary,0.3245220476789692
20,38,q_node_softmax,0.18166806438395194
20,39,q_stationary,0.3439577755622059
20,39,q_node_softmax,0.19594883798414406
20,40,q_stationary,0.3317905785766356
20,40,q_node_softmax,0.17539950142235902
20,41,q_stationary,0.4994416916386909
20,41,q_node_softmax,0.24797651903075923
20,42,q_stationary,0.5199522309175579
20,42,q_node_softmax,0.1358308582422008
20,43,q_stationary,0.24439893496555998
20,43,q_node_softmax,0.20639036401742183
20,44,q_stationary,0.406973556584052
20,44,q_node_softmax,0.19767419909518416
20,45,q_stationary,0.34994044297166443
20,45,q_node_softmax,0.16965665522379023
20,46,q_stationary,0.30699917388532
20,46,q_node_softmax,0.17898257678090557
20,47,q_stationary,0.4375910266807641
20,47,q_node_softmax,0.21462860058750932
20,48,q_stationary,0.4065061996227907
20,48,q_node_softmax,0.22577826938179427
20,49,q_stationary,0.23975719832914588
20,49,q_node_softmax,0.18928911693553782
20,50,q_stationary,0.3931568083616425
20,50,q_node_softmax,0.1516582013880396
20,51,q_stationary,0.4621798753823768
20,51,q_node_softmax,0.13380827067402026
20,52,q_stationary,0.3072469930783588
20,52,q_node_softmax,0.15634171843519273
20,53,q_stationary,0.44078834445404413
20,53,q_node_softmax,0.14629747002813753
20,54,q_stationary,0.3714007507191191
20,54,q_node_softmax,0.13892053036748278
20,55,q_stationary,0.30899027570319276
20,55,q_node_softmax,0.1905230399261103
20,56,q_stationary,0.2804484872012135
20,56,q_node_softmax,0.21073972707177077
