n,phase,candidate_index,gadget_count,gadget_vertex_fraction,core_n,prefix_size,suffix_size,target_ordering_fraction,ordering_fraction,ordering_fraction_mismatch,induced_s3_certificate,transitive,q_score,p_value,accepted_by_a14
128,discovery,31,2,0.09375,116,38,39,0.5282972440944882,0.5282972440944882,0.0,True,True,343.66880622791825,0.004524886877828055,False
128,discovery,32,2,0.09375,116,35,55,0.5601624015748031,0.5601624015748031,0.0,True,True,347.9854254018609,0.004524886877828055,False
128,discovery,33,2,0.09375,116,43,10,0.49544783464566927,0.49544783464566927,0.0,True,True,144.66677482586988,0.004524886877828055,False
128,discovery,34,2,0.09375,116,18,40,0.48302165354330706,0.48302165354330706,0.0,True,True,163.80635615340705,0.004524886877828055,False
128,discovery,35,2,0.09375,116,56,17,0.4920029527559055,0.4920029527559055,0.0,True,True,202.20290103625163,0.004524886877828055,False
128,discovery,36,2,0.09375,116,36,35,0.515625,0.515625,0.0,True,True,185.6965918062752,0.004524886877828055,False
128,discovery,37,2,0.09375,116,16,17,0.4607529527559055,0.46026082677165353,0.0004921259842519676,True,True,107.48726300531504,0.00904977375565611,False
128,discovery,38,2,0.09375,116,14,14,0.46776574803149606,0.4670275590551181,0.0007381889763779514,True,True,83.63046574073597,0.08597285067873303,True
128,discovery,39,2,0.09375,116,8,8,0.4879429133858268,0.4874507874015748,0.0004921259842519676,True,True,78.87773325271942,0.1583710407239819,True
128,discovery,40,2,0.09375,116,11,21,0.4311023622047244,0.43061023622047245,0.0004921259842519676,True,True,153.6110968011109,0.004524886877828055,False
128,discovery,41,2,0.09375,116,39,33,0.5210383858267716,0.5210383858267716,0.0,True,True,249.12679944599498,0.004524886877828055,False
128,discovery,42,2,0.09375,116,39,26,0.5027066929133859,0.5027066929133859,0.0,True,True,231.10435969992926,0.004524886877828055,False
128,discovery,43,2,0.09375,116,35,31,0.5200541338582677,0.5200541338582677,0.0,True,True,166.17940108640622,0.004524886877828055,False
128,discovery,44,2,0.09375,116,2,2,0.4907726377952756,0.4902805118110236,0.0004921259842519676,True,True,115.54261027516475,0.004524886877828055,False
