sample_index,epsilon,total_variation,nonincreasing_from_previous
56,1e-06,4.598883885183103e-07,True
57,0.1,0.02037131170545052,True
57,0.01,0.002075687788316972,True
57,0.001,0.00020796229377782944,True
57,0.0001,2.0800172641058154e-05,True
57,1e-05,2.0800567048931868e-06,True
57,1e-06,2.080060650018725e-07,True
58,0.1,0.01536506198098971,True
58,0.01,0.0015607054435713814,True
58,0.001,0.00015631651067925289,True
58,0.0001,1.5634114768513015e-05,True
58,1e-05,1.5634361179143687e-06,True
58,1e-06,1.5634385814204743e-07,True
59,0.1,0.00537587145288616,True
59,0.01,0.0005424351755657778,True
59,0.001,5.429245634860185e-05,True
59,0.0001,5.42973548552549e-06,True
59,1e-05,5.429784475347569e-07,True
59,1e-06,5.429789374823748e-08,True
60,0.1,0.03334470626373414,True
60,0.01,0.0034500597468231854,True
60,0.001,0.0003462115484656953,True
60,0.0001,3.4633262555238095e-05,True
60,1e-05,3.4634473849002017e-06,True
60,1e-06,3.463459499042911e-07,True
61,0.1,0.009142688279834724,True
61,0.01,0.0009229871325053683,True
61,0.001,9.238677723225346e-05,True
61,0.0001,9.239559252837764e-06,True
61,1e-05,9.239647413679283e-07,True
61,1e-06,9.239656218959358e-08,True
62,0.1,0.002191851160948601,True
62,0.01,0.00021989284849116244,True
62,0.001,2.1996254091035827e-05,True
62,0.0001,2.1996949899309377e-06,True
62,1e-05,2.1997019466330424e-07,True
62,1e-06,2.199702643037532e-08,True
63,0.1,0.015148857240950895,True
63,0.01,0.0015362711977228117,True
63,0.001,0.00015384425299858824,True
63,0.0001,1.5386599961181415e-05,True
63,1e-05,1.5386817460131106e-06,True
63,1e-06,1.5386839208726097e-07,True
64,0.1,0.019823395834038048,True
64,0.01,0.002021195746898921,True
64,0.001,0.0002025173570255904,True
64,0.0001,2.0255722979827032e-05,True
64,1e-05,2.0256121802935938e-06,True
64,1e-06,2.0256161684583293e-07,True
65,0.1,0.018954216942964307,True
65,0.01,0.001928191486710848,True
65,0.001,0.00019315313533306612,True
65,0.0001,1.9318659812295648e-05,True
65,1e-05,1.931899450411561e-06,True
65,1e-06,1.9319027968457333e-07,True
66,0.1,0.011147406718999355,True
66,0.01,0.0011312002657877236,True
66,0.001,0.00011328713915472705,True
66,0.0001,1.133038759642377e-05,True
66,1e-05,1.1330554990598537e-06,True
66,1e-06,1.133057173374735e-07,True
67,0.1,0.21774113076813942,True
67,0.01,0.032533009709430794,True
67,0.001,0.003424918531982223,True
67,0.0001,0.0003443105749510328,True
67,1e-05,3.444935342718591e-05,True
67,1e-06,3.445118411402988e-06,True
68,0.1,0.006006103685122659,True
68,0.01,0.0006095240962642161,True
68,0.001,6.104242684885783e-05,True
68,0.0001,6.10514373485872e-06,True
68,1e-05,6.105233847562326e-07,True
68,1e-06,6.105242857469613e-08,True
69,0.1,0.0203139907418521,True
69,0.01,0.002068905689090391,True
69,0.001,0.00020727325830638985,True
69,0.0001,2.073116050582352e-05,True
69,1e-05,2.073154405202359e-06,True
69,1e-06,2.0731582419979434e-07,True
70,0.1,0.002917684659353037,True
70,0.01,0.0002967680094989616,True
70,0.001,2.972807471537451e-05,True
70,0.0001,2.9733215244358007e-06,True
70,1e-05,2.973372942953789e-07,True
70,1e-06,2.9733780827119827e-08,True
71,0.1,0.003481654822917268,True
71,0.01,0.0003505744667593487,True
71,0.001,3.508168650740025e-05,True
71,0.0001,3.5084111996695294e-06,True
71,1e-05,3.508435456033531e-07,True
71,1e-06,3.508437888441503e-08,True
72,0.1,0.007887363241367101,True
72,0.01,0.0007953802773594251,True
72,0.001,7.960505460879815e-05,True
72,0.0001,7.961176322044524e-06,True
72,1e-05,7.961243414365881e-07,True
72,1e-06,7.96125012788225e-08,True
73,0.1,0.003985971309130499,True
73,0.01,0.0004024595525069773,True
73,0.001,4.0284882619424456e-05,True
73,0.0001,4.028877840387862e-06,True
73,1e-05,4.028916800746998e-07,True
73,1e-06,4.028920693934997e-08,True
74,0.1,0.005009858152534512,True
74,0.01,0.0005048194757014167,True
74,0.001,5.052059593371691e-05,True
74,0.0001,5.052446391284956e-06,True
74,1e-05,5.052485073972368e-07,True
74,1e-06,5.0524889317267644e-08,True
