sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
1348,unweighted_raw,7,2,5,0.06754952583372809,0.06754952583372797,False
1348,unweighted_z,7,2,5,0.06594281846133036,0.06594281846133043,False
1348,weighted_raw,7,2,5,6.114900252818245e-17,5.551115123125783e-17,True
1348,weighted_z,7,2,5,7.546047120499111e-17,5.551115123125783e-17,True
1349,unweighted_raw,8,2,2,0.03263224510257065,0.03263224510257068,False
1349,unweighted_z,8,2,2,0.03558333669812806,0.03266997919424345,False
1349,weighted_raw,8,2,2,1.734723475976807e-18,3.469446951953614e-18,True
1349,weighted_z,8,2,2,9.020562075079397e-17,1.1102230246251565e-16,True
1350,unweighted_raw,11,3,0,0.08732931245717705,0.08732931245717686,False
1350,unweighted_z,11,3,0,0.04638802328241588,0.04638802328241598,False
1350,weighted_raw,11,3,0,3.469446951953614e-18,6.938893903907228e-18,True
1350,weighted_z,11,3,0,0.0,0.0,True
1351,unweighted_raw,11,3,3,0.05305097829627574,0.05305097829627574,False
1351,unweighted_z,11,3,3,0.060876401789957235,0.05836306102144054,False
1351,weighted_raw,11,3,3,8.326672684688674e-17,1.1102230246251565e-16,True
1351,weighted_z,11,3,3,0.0,0.0,True
1352,unweighted_raw,8,5,0,0.17353419602322945,0.17353419602322945,False
1352,unweighted_z,8,5,0,0.10169951653146328,0.10169951653146331,False
1352,weighted_raw,8,5,0,0.0,0.0,True
1352,weighted_z,8,5,0,1.5265566588595902e-16,2.220446049250313e-16,True
1353,unweighted_raw,9,5,8,0.28462335127465876,0.2846233512746588,False
1353,unweighted_z,9,5,8,0.26924698894591437,0.2692469889459144,False
1353,weighted_raw,9,5,8,6.938893903907228e-18,1.3877787807814457e-17,True
1353,weighted_z,9,5,8,0.0,0.0,True
1354,unweighted_raw,4,6,1,0.3055254528529256,0.3055254528529255,False
1354,unweighted_z,4,6,1,0.18515149369464204,0.185151493694642,False
1354,weighted_raw,4,6,1,6.591949208711867e-17,1.1102230246251565e-16,True
1354,weighted_z,4,6,1,1.1449174941446927e-16,1.1102230246251565e-16,True
1355,unweighted_raw,4,5,0,0.2566953307955628,0.2566953307955628,False
