sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
253,30,7,3,1.7053025658242404e-13
254,28,7,4,8.526512829121202e-14
255,19,5,3,8.526512829121202e-14
256,30,7,6,5.684341886080802e-14
257,29,5,4,1.4210854715202004e-13
258,16,6,2,5.684341886080802e-14
259,12,4,3,7.105427357601002e-15
260,17,4,2,1.1368683772161603e-13
261,29,6,2,3.410605131648481e-13
262,29,4,2,3.410605131648481e-13
263,20,4,3,1.1368683772161603e-13
264,29,5,3,1.1368683772161603e-13
265,16,7,5,1.4210854715202004e-14
266,23,9,6,2.842170943040401e-14
267,32,7,3,2.2737367544323206e-13
268,25,5,4,1.1368683772161603e-13
269,23,8,5,4.263256414560601e-14
270,13,6,3,7.105427357601002e-15
271,19,6,5,1.4210854715202004e-14
272,12,5,2,2.842170943040401e-14
273,23,7,6,1.4210854715202004e-13
274,16,8,5,1.4210854715202004e-14
275,12,4,2,2.842170943040401e-14
276,30,7,4,1.1368683772161603e-13
277,15,8,3,5.684341886080802e-14
278,22,4,2,2.2737367544323206e-13
279,19,8,6,1.4210854715202004e-14
280,28,4,2,3.410605131648481e-13
281,25,4,3,1.7053025658242404e-13
282,31,5,2,3.410605131648481e-13
283,29,7,6,5.684341886080802e-14
284,27,6,2,4.547473508864641e-13
285,13,5,3,7.105427357601002e-15
286,30,7,4,1.1368683772161603e-13
287,25,5,4,1.1368683772161603e-13
288,20,6,3,8.526512829121202e-14
289,30,8,7,1.4210854715202004e-14
290,13,4,3,1.4210854715202004e-14
291,14,4,3,1.4210854715202004e-14
292,20,5,4,4.263256414560601e-14
293,20,7,2,1.1368683772161603e-13
294,13,5,3,5.684341886080802e-14
295,23,9,7,2.1316282072803006e-14
296,27,9,8,2.842170943040401e-14
297,29,6,2,6.821210263296962e-13
298,20,5,2,2.2737367544323206e-13
299,18,4,2,5.684341886080802e-14
300,15,6,4,7.105427357601002e-15
301,28,9,5,5.684341886080802e-14
302,28,9,5,5.684341886080802e-14
303,19,4,2,5.684341886080802e-14
304,16,5,2,2.842170943040401e-14
305,13,5,3,3.552713678800501e-15
306,24,4,2,2.2737367544323206e-13
307,25,8,3,5.684341886080802e-14
308,23,7,5,2.842170943040401e-14
309,29,4,2,3.410605131648481e-13
310,26,9,2,2.8421709430404007e-13
311,13,9,4,2.1316282072803006e-14
312,18,7,2,5.684341886080802e-14
313,28,9,8,1.4210854715202004e-14
314,28,7,2,4.547473508864641e-13
315,15,7,6,3.552713678800501e-15
316,14,9,6,2.1316282072803006e-14
317,31,4,3,1.7053025658242404e-13
318,12,4,2,1.4210854715202004e-14
319,20,5,2,8.526512829121202e-14
320,21,5,3,5.684341886080802e-14
321,31,8,6,5.684341886080802e-14
322,27,4,3,5.684341886080802e-14
323,21,5,2,1.1368683772161603e-13
324,27,4,3,1.7053025658242404e-13
325,13,7,5,3.552713678800501e-15
326,23,5,4,5.684341886080802e-14
327,30,6,5,5.684341886080802e-14
328,16,6,4,7.105427357601002e-15
329,14,8,6,7.105427357601002e-15
330,25,7,5,2.842170943040401e-14
331,14,5,2,1.4210854715202004e-14
332,31,6,4,5.684341886080802e-14
333,26,7,2,2.2737367544323206e-13
334,21,5,3,8.526512829121202e-14
335,19,7,3,2.842170943040401e-14
336,18,7,2,1.1368683772161603e-13
337,12,8,4,7.105427357601002e-15
338,20,9,5,2.842170943040401e-14
