sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
457,1.1102230246251565e-16,2.220446049250313e-16
458,1.1102230246251565e-16,5.551115123125783e-16
459,2.7755575615628914e-16,4.440892098500626e-16
460,5.551115123125783e-17,3.3306690738754696e-16
461,1.6653345369377348e-16,2.220446049250313e-16
462,1.1102230246251565e-16,1.1102230246251565e-16
463,1.6653345369377348e-16,2.220446049250313e-16
464,1.1102230246251565e-16,2.220446049250313e-16
465,3.3306690738754696e-16,2.220446049250313e-16
466,5.551115123125783e-17,2.220446049250313e-16
467,3.3306690738754696e-16,2.220446049250313e-16
468,2.220446049250313e-16,3.3306690738754696e-16
469,1.1102230246251565e-16,2.220446049250313e-16
470,5.551115123125783e-17,2.220446049250313e-16
471,5.551115123125783e-16,4.440892098500626e-16
472,1.1102230246251565e-16,0.0
473,1.1102230246251565e-16,1.1102230246251565e-16
