sample_index,maximum_count_measure_error
542,1.3877787807814457e-17
543,5.551115123125783e-17
544,0.0
545,0.0
546,1.1102230246251565e-16
547,0.0
548,1.3877787807814457e-17
549,0.0
550,5.551115123125783e-17
551,2.7755575615628914e-17
552,2.7755575615628914e-17
553,2.7755575615628914e-17
554,0.0
555,2.7755575615628914e-17
556,5.551115123125783e-17
557,2.7755575615628914e-17
558,5.551115123125783e-17
559,5.551115123125783e-17
560,1.734723475976807e-18
561,1.3877787807814457e-17
562,2.7755575615628914e-17
563,2.7755575615628914e-17
564,3.469446951953614e-18
565,5.551115123125783e-17
566,2.7755575615628914e-17
567,2.7755575615628914e-17
568,5.551115123125783e-17
569,2.7755575615628914e-17
570,0.0
571,2.7755575615628914e-17
572,2.7755575615628914e-17
573,2.7755575615628914e-17
574,2.7755575615628914e-17
575,5.551115123125783e-17
576,3.469446951953614e-18
577,2.7755575615628914e-17
578,1.3877787807814457e-17
579,2.7755575615628914e-17
580,2.7755575615628914e-17
581,2.7755575615628914e-17
582,2.7755575615628914e-17
583,0.0
584,5.551115123125783e-17
585,1.3877787807814457e-17
586,1.1102230246251565e-16
587,0.0
588,2.7755575615628914e-17
589,1.1102230246251565e-16
590,2.7755575615628914e-17
591,2.7755575615628914e-17
592,1.3877787807814457e-17
593,2.7755575615628914e-17
594,2.7755575615628914e-17
595,2.7755575615628914e-17
596,2.7755575615628914e-17
597,5.551115123125783e-17
598,0.0
599,5.551115123125783e-17
600,2.7755575615628914e-17
601,1.3877787807814457e-17
602,2.7755575615628914e-17
603,5.551115123125783e-17
604,0.0
605,2.7755575615628914e-17
606,5.551115123125783e-17
607,0.0
608,0.0
609,5.551115123125783e-17
610,0.0
611,5.551115123125783e-17
612,1.3877787807814457e-17
613,1.1102230246251565e-16
614,0.0
615,2.7755575615628914e-17
616,2.7755575615628914e-17
617,1.3877787807814457e-17
618,1.3877787807814457e-17
619,2.7755575615628914e-17
620,5.551115123125783e-17
621,1.3877787807814457e-17
622,2.7755575615628914e-17
623,1.3877787807814457e-17
624,0.0
625,2.7755575615628914e-17
626,2.7755575615628914e-17
627,0.0
628,2.7755575615628914e-17
629,5.551115123125783e-17
630,2.7755575615628914e-17
631,2.7755575615628914e-17
632,0.0
633,1.3877787807814457e-17
634,2.7755575615628914e-17
635,2.7755575615628914e-17
636,2.7755575615628914e-17
637,1.3877787807814457e-17
638,0.0
639,5.551115123125783e-17
640,2.7755575615628914e-17
641,2.7755575615628914e-17
642,0.0
643,2.7755575615628914e-17
644,1.3877787807814457e-17
645,0.0
646,1.3877787807814457e-17
647,2.7755575615628914e-17
648,5.551115123125783e-17
649,2.7755575615628914e-17
650,1.3877787807814457e-17
651,5.551115123125783e-17
652,2.7755575615628914e-17
653,2.7755575615628914e-17
654,2.7755575615628914e-17
655,2.7755575615628914e-17
656,0.0
657,5.551115123125783e-17
658,2.7755575615628914e-17
