sample_index,macro_count,first_total_leaves,second_total_leaves,counting_measure_tv
708,11,143,120,0.36701631701631704
709,12,126,126,0.15079365079365076
710,13,174,126,0.2731253420908593
711,13,160,130,0.320673076923077
712,3,13,51,0.34238310708898945
713,8,107,112,0.18099132176234978
714,10,120,134,0.3282338308457712
715,11,151,135,0.3255334805003679
716,10,122,131,0.4168439494431235
717,8,100,70,0.3514285714285714
718,13,163,194,0.21339573714502563
719,16,201,200,0.40676616915422886
720,15,174,168,0.4700328407224959
721,12,123,161,0.3198505276978236
722,10,97,85,0.35403274711946636
723,10,144,131,0.2489397794741306
724,7,122,87,0.28462408140192197
725,7,105,113,0.20648967551622416
726,11,134,188,0.21824388694823754
727,9,105,107,0.4069425901201602
728,9,139,72,0.3927857713828937
729,14,152,175,0.4050751879699248
730,13,125,178,0.2256179775280899
731,15,205,168,0.3643147502903601
732,6,50,55,0.4290909090909091
733,11,71,116,0.4504613890237979
734,14,167,206,0.3257078076855997
735,12,160,140,0.34285714285714286
736,14,184,209,0.2667984189723321
737,15,189,224,0.29117063492063494
738,3,38,60,0.12105263157894737
739,15,184,186,0.4091280972417018
740,6,102,52,0.2526395173453997
741,6,69,70,0.5395445134575569
742,4,58,57,0.20356926799758016
743,16,188,215,0.3141019297377536
744,8,94,71,0.35630806113275393
745,14,133,173,0.4963709852666348
746,5,84,55,0.30064935064935067
747,14,186,178,0.14226168901776004
748,8,101,73,0.4930150549301505
749,4,33,40,0.09015151515151515
750,4,56,45,0.31785714285714284
751,4,65,68,0.2490950226244344
752,16,222,205,0.27372006152493955
753,6,78,62,0.14805624483043836
754,5,86,55,0.3602536997885835
755,3,35,45,0.30793650793650795
756,17,243,226,0.3271058669288758
757,16,234,235,0.287143116930351
758,17,211,237,0.21942927990081385
759,16,196,151,0.37785511555615625
760,14,176,239,0.23266926588056291
761,13,203,161,0.321696294709788
762,9,97,73,0.25801440474509246
763,6,82,46,0.1755037115588547
764,3,61,56,0.02429742388758782
765,10,123,106,0.2788771283939255
766,7,94,79,0.35173713977915433
767,14,173,154,0.4050746940920351
768,12,133,103,0.34820059858383823
769,3,44,25,0.5054545454545454
770,12,156,199,0.17468754026542965
771,11,138,156,0.2711817168338907
772,7,92,84,0.4145962732919254
773,16,235,176,0.3656189555125725
774,15,215,180,0.2868217054263566
775,4,63,35,0.43174603174603177
776,12,170,89,0.36027759418374095
777,11,120,122,0.26721311475409837
778,16,225,172,0.29426356589147284
779,17,217,209,0.2141864926245232
780,5,32,78,0.3926282051282051
781,9,136,121,0.3548857559552747
782,6,88,88,0.1477272727272727
783,14,192,177,0.33518714689265533
784,12,163,106,0.4758073851140178
785,8,102,93,0.2890575585072739
786,6,102,92,0.2463768115942029
787,12,139,140,0.3690133607399795
788,5,35,71,0.32193158953722334
789,6,90,85,0.2588235294117647
790,11,117,147,0.3455433455433456
791,4,44,77,0.3668831168831169
792,12,183,148,0.269421060404667
793,15,204,175,0.2966386554621849
794,10,128,119,0.3778886554621849
795,10,115,79,0.28200330214639513
796,3,40,36,0.1777777777777778
797,4,36,53,0.5691823899371069
798,4,48,49,0.24149659863945577
799,12,172,150,0.37627906976744185
800,8,103,112,0.27279819694868235
801,15,184,196,0.28105590062111796
802,12,171,202,0.21979040009264084
803,8,124,101,0.3488502076014053
804,3,37,38,0.4879089615931721
805,11,130,142,0.42871072589382453
806,11,117,155,0.29986214502343533
807,7,116,141,0.15829053558327222
808,12,180,204,0.24477124183006535
809,14,126,147,0.2789115646258503
810,8,90,102,0.3431372549019608
811,16,193,203,0.3163429388192654
812,13,161,131,0.4597695699587501
813,6,73,85,0.22030620467365025
814,15,209,148,0.39454286822707885
815,13,153,149,0.38338377856735534
816,17,231,202,0.30230165873730225
817,3,30,15,0.06666666666666665
818,14,202,144,0.35176017601760173
819,17,187,257,0.3022326723402485
820,5,56,38,0.3524436090225564
821,17,230,228,0.2360411899313501
822,6,83,79,0.32209852066493827
823,6,83,51,0.19088117174580674
824,15,262,217,0.15451859147993102
825,14,202,174,0.34471378172299993
826,13,141,168,0.3701874366767984
827,5,45,47,0.31347517730496455
828,7,102,60,0.38725490196078427
829,8,65,126,0.24102564102564106
830,5,55,49,0.2957328385899814
831,15,189,170,0.37422969187675065
832,11,140,115,0.2981366459627329
833,3,45,26,0.3247863247863248
834,6,63,59,0.4030131826741996
835,10,110,165,0.44848484848484843
836,9,80,127,0.3655511811023622
837,7,93,97,0.22957543509588738
838,6,62,59,0.44341170038272276
839,4,45,62,0.3265232974910394
840,15,190,153,0.35792913656690756
841,13,134,188,0.4133852016513178
842,8,109,56,0.3497706422018349
843,17,182,198,0.36030636030636026
844,17,215,205,0.33352240499149177
845,15,156,171,0.4292622582096267
846,10,122,171,0.257070271306682
847,10,130,139,0.27006087437742116
848,11,85,123,0.4142515542802487
849,11,161,171,0.2468126838836221
850,6,74,94,0.24583093732029904
851,14,164,171,0.3514477250035658
852,8,140,121,0.23583234946871312
853,8,117,86,0.34824090638044125
854,9,139,137,0.3196450139158746
855,12,170,128,0.2739889705882353
856,7,116,67,0.4256304683479156
857,11,121,116,0.28797378170418925
858,12,175,146,0.21084148727984345
859,14,158,146,0.35963239119126067
860,11,171,106,0.3270440251572327
861,6,107,55,0.3342395921835174
862,12,123,141,0.2753848815083895
863,6,84,67,0.42786069651741293
864,10,113,140,0.3640328697850822
865,6,16,66,0.3181818181818182
866,12,128,133,0.28577302631578944
867,12,128,161,0.273146350931677
868,17,171,228,0.415204678362573
869,5,59,35,0.20823244552058112
870,11,140,133,0.29962406015037596
871,15,181,161,0.2895919838028894
872,7,112,142,0.24660462776659964
