sample_index,macro_count,clone_count,conservative_tv,ontic_branching_tv
132,11,4,0.0,0.19480519480519484
133,10,7,0.0,0.3375
134,17,6,0.0,0.213903743315508
135,3,7,0.0,0.4444444444444444
136,7,2,0.0,0.10714285714285712
137,17,4,0.0,0.14117647058823524
138,16,8,0.0,0.28532608695652173
139,5,5,0.0,0.3555555555555556
140,19,6,0.0,0.19736842105263155
141,3,4,0.0,0.3333333333333333
142,11,5,0.0,0.24242424242424243
143,16,6,0.0,0.22321428571428573
144,14,6,0.0,0.24436090225563917
145,19,3,0.0,0.09022556390977443
146,8,5,0.0,0.29166666666666674
147,9,8,0.0,0.38888888888888884
148,5,6,0.0,0.39999999999999997
149,12,2,0.0,0.07051282051282046
150,3,8,0.0,0.4666666666666667
151,14,5,0.0,0.20634920634920637
152,9,4,0.0,0.22222222222222224
153,10,7,0.0,0.3375
154,9,3,0.0,0.1616161616161616
155,11,7,0.0,0.32085561497326204
156,11,3,0.0,0.13986013986013984
157,3,7,0.0,0.4444444444444444
158,5,8,0.0,0.4666666666666667
159,16,7,0.0,0.2556818181818181
160,15,5,0.0,0.1964912280701754
161,13,5,0.0,0.2171945701357466
162,4,6,0.0,0.41666666666666663
163,17,8,0.0,0.2745098039215686
164,7,2,0.0,0.10714285714285712
165,11,8,0.0,0.35353535353535354
166,19,3,0.0,0.09022556390977443
167,5,6,0.0,0.39999999999999997
168,5,4,0.0,0.30000000000000004
169,11,2,0.0,0.07575757575757577
170,10,4,0.0,0.20769230769230773
171,5,5,0.0,0.3555555555555556
172,15,5,0.0,0.1964912280701754
173,11,5,0.0,0.24242424242424243
174,4,4,0.0,0.3214285714285714
175,11,8,0.0,0.35353535353535354
176,11,5,0.0,0.24242424242424243
177,19,2,0.0,0.04736842105263153
178,3,5,0.0,0.38095238095238093
179,12,5,0.0,0.22916666666666663
180,13,3,0.0,0.12307692307692314
181,8,3,0.0,0.175
182,7,3,0.0,0.19047619047619047
183,4,6,0.0,0.41666666666666663
184,3,5,0.0,0.38095238095238093
185,4,4,0.0,0.3214285714285714
186,9,4,0.0,0.2222222222222222
187,5,4,0.0,0.30000000000000004
188,6,7,0.0,0.41666666666666674
189,11,7,0.0,0.32085561497326204
190,7,2,0.0,0.10714285714285712
191,3,2,0.0,0.16666666666666666
192,11,8,0.0,0.35353535353535354
193,5,6,0.0,0.39999999999999997
194,15,2,0.0,0.05833333333333333
195,5,8,0.0,0.4666666666666667
196,19,7,0.0,0.22736842105263158
197,15,3,0.0,0.10980392156862745
198,17,8,0.0,0.27450980392156865
199,4,8,0.0,0.47727272727272724
200,9,3,0.0,0.16161616161616157
201,13,7,0.0,0.29149797570850206
202,15,7,0.0,0.26666666666666666
203,8,8,0.0,0.4083333333333333
204,8,5,0.0,0.29166666666666674
205,4,6,0.0,0.41666666666666663
206,7,7,0.0,0.39560439560439553
207,9,4,0.0,0.22222222222222224
208,12,8,0.0,0.337719298245614
209,14,2,0.0,0.061904761904761886
210,14,5,0.0,0.20634920634920634
211,7,2,0.0,0.10714285714285712
212,14,2,0.0,0.061904761904761886
213,10,7,0.0,0.3375
214,8,7,0.0,0.37500000000000006
215,9,4,0.0,0.22222222222222224
216,11,2,0.0,0.07575757575757577
217,14,4,0.0,0.16386554621848742
218,15,7,0.0,0.26666666666666666
219,4,6,0.0,0.41666666666666663
220,12,8,0.0,0.337719298245614
221,13,2,0.0,0.06593406593406598
222,10,4,0.0,0.20769230769230773
223,6,7,0.0,0.41666666666666674
224,4,2,0.0,0.15
225,13,3,0.0,0.12307692307692311
226,11,3,0.0,0.13986013986013984
227,3,7,0.0,0.4444444444444445
228,5,6,0.0,0.39999999999999997
229,8,2,0.0,0.09722222222222224
230,4,5,0.0,0.375
231,13,5,0.0,0.2171945701357466
232,7,5,0.0,0.31168831168831174
233,12,7,0.0,0.3055555555555556
234,18,3,0.0,0.09444444444444439
235,19,4,0.0,0.12918660287081335
236,7,3,0.0,0.19047619047619047
237,12,2,0.0,0.07051282051282046
238,19,5,0.0,0.16475972540045764
239,9,4,0.0,0.22222222222222224
240,7,8,0.0,0.4285714285714285
241,19,3,0.0,0.09022556390977443
242,19,8,0.0,0.25506072874493924
243,5,5,0.0,0.3555555555555556
244,19,3,0.0,0.09022556390977443
245,18,6,0.0,0.20531400966183572
246,8,2,0.0,0.09722222222222224
247,7,8,0.0,0.4285714285714285
248,12,2,0.0,0.07051282051282046
249,14,8,0.0,0.3095238095238096
250,17,4,0.0,0.14117647058823524
251,13,2,0.0,0.06593406593406598
252,11,5,0.0,0.2424242424242424
253,12,8,0.0,0.337719298245614
254,9,4,0.0,0.22222222222222224
255,15,5,0.0,0.1964912280701754
256,15,2,0.0,0.05833333333333333
257,7,8,0.0,0.4285714285714285
258,18,8,0.0,0.2644444444444444
259,7,6,0.0,0.35714285714285715
260,16,6,0.0,0.22321428571428573
261,7,6,0.0,0.35714285714285715
262,17,2,0.0,0.05228758169934642
