sample_index,leaf_count,maximum_additive_state_error,maximum_derived_observable_error
610,60,5.684341886080802e-14,5.684341886080802e-14
611,28,1.4210854715202004e-14,1.4210854715202004e-14
612,21,1.4210854715202004e-14,1.4210854715202004e-14
613,66,2.842170943040401e-14,2.842170943040401e-14
614,39,4.263256414560601e-14,2.842170943040401e-14
615,34,2.842170943040401e-14,2.842170943040401e-14
616,42,3.552713678800501e-14,3.552713678800501e-14
617,33,2.842170943040401e-14,2.842170943040401e-14
618,74,8.526512829121202e-14,8.526512829121202e-14
619,22,7.105427357601002e-15,7.105427357601002e-15
620,57,2.842170943040401e-14,2.842170943040401e-14
621,73,5.684341886080802e-14,5.684341886080802e-14
622,31,2.842170943040401e-14,2.842170943040401e-14
623,26,7.105427357601002e-15,7.105427357601002e-15
624,27,4.263256414560601e-14,4.263256414560601e-14
625,63,5.684341886080802e-14,5.684341886080802e-14
626,23,2.842170943040401e-14,2.842170943040401e-14
627,39,2.1316282072803006e-14,1.4210854715202004e-14
628,64,2.842170943040401e-14,2.842170943040401e-14
629,56,2.842170943040401e-14,2.842170943040401e-14
630,20,1.0658141036401503e-14,1.0658141036401503e-14
631,75,1.4210854715202004e-14,1.4210854715202004e-14
632,19,7.105427357601002e-15,7.105427357601002e-15
633,56,2.842170943040401e-14,2.842170943040401e-14
634,38,5.684341886080802e-14,5.684341886080802e-14
635,58,5.684341886080802e-14,5.684341886080802e-14
636,78,1.1368683772161603e-13,1.1368683772161603e-13
637,37,2.842170943040401e-14,2.842170943040401e-14
638,77,5.684341886080802e-14,5.684341886080802e-14
639,18,7.105427357601002e-15,3.552713678800501e-15
640,41,4.263256414560601e-14,4.263256414560601e-14
641,44,2.842170943040401e-14,2.842170943040401e-14
642,54,8.526512829121202e-14,8.526512829121202e-14
643,39,5.684341886080802e-14,5.684341886080802e-14
644,11,3.552713678800501e-15,3.552713678800501e-15
645,53,5.684341886080802e-14,5.684341886080802e-14
646,49,2.1316282072803006e-14,1.4210854715202004e-14
647,61,5.684341886080802e-14,5.684341886080802e-14
648,52,2.842170943040401e-14,2.842170943040401e-14
649,19,3.552713678800501e-15,3.552713678800501e-15
650,46,5.684341886080802e-14,5.684341886080802e-14
651,68,5.684341886080802e-14,5.684341886080802e-14
652,68,1.1368683772161603e-13,1.1368683772161603e-13
653,13,7.105427357601002e-15,7.105427357601002e-15
654,62,5.684341886080802e-14,5.684341886080802e-14
655,26,1.4210854715202004e-14,1.4210854715202004e-14
656,47,2.842170943040401e-14,2.842170943040401e-14
657,34,1.4210854715202004e-14,1.4210854715202004e-14
658,56,2.842170943040401e-14,2.842170943040401e-14
659,66,2.842170943040401e-14,2.842170943040401e-14
660,36,2.1316282072803006e-14,2.1316282072803006e-14
661,24,1.4210854715202004e-14,7.105427357601002e-15
662,21,7.105427357601002e-15,7.105427357601002e-15
663,29,1.4210854715202004e-14,1.4210854715202004e-14
664,44,1.4210854715202004e-14,1.4210854715202004e-14
665,14,3.552713678800501e-15,3.552713678800501e-15
666,28,1.4210854715202004e-14,1.4210854715202004e-14
667,24,7.105427357601002e-15,7.105427357601002e-15
668,13,3.552713678800501e-15,3.552713678800501e-15
