sample_index,final_microstate_count,maximum_macro_mass_error,maximum_macro_q_error,maximum_macro_probability_tv,maximum_total_mass_error
252,268,5.551115123125783e-17,6.661338147750939e-16,9.75781955236954e-17,2.220446049250313e-16
253,253,5.551115123125783e-17,6.661338147750939e-16,1.0408340855860843e-16,2.220446049250313e-16
254,243,1.6653345369377348e-16,1.1102230246251565e-15,1.2836953722228372e-16,2.220446049250313e-16
255,274,1.1102230246251565e-16,6.661338147750939e-16,1.0755285551056204e-16,3.3306690738754696e-16
256,252,2.220446049250313e-16,6.661338147750939e-16,1.942890293094024e-16,3.3306690738754696e-16
257,245,4.163336342344337e-17,5.551115123125783e-16,1.1102230246251565e-16,2.220446049250313e-16
258,247,4.163336342344337e-17,2.220446049250313e-16,6.418476861114186e-17,4.440892098500626e-16
259,262,5.551115123125783e-17,6.661338147750939e-16,9.540979117872439e-17,2.220446049250313e-16
260,266,1.1102230246251565e-16,5.551115123125783e-16,7.112366251504909e-17,2.220446049250313e-16
261,246,1.6653345369377348e-16,2.220446049250313e-16,1.0408340855860843e-16,2.220446049250313e-16
262,251,1.1102230246251565e-16,4.440892098500626e-16,1.960237527853792e-16,4.440892098500626e-16
263,259,8.326672684688674e-17,6.661338147750939e-16,6.245004513516506e-17,1.1102230246251565e-16
264,259,1.1102230246251565e-16,5.551115123125783e-16,1.8561541192951836e-16,2.220446049250313e-16
265,250,1.1102230246251565e-16,4.440892098500626e-16,5.898059818321144e-17,2.220446049250313e-16
266,241,5.551115123125783e-17,4.440892098500626e-16,1.196959198423997e-16,2.220446049250313e-16
267,270,5.551115123125783e-17,4.440892098500626e-16,7.676151381197371e-17,2.220446049250313e-16
268,265,2.7755575615628914e-17,4.440892098500626e-16,4.85722573273506e-17,4.440892098500626e-16
269,238,1.6653345369377348e-16,6.661338147750939e-16,1.6306400674181987e-16,3.3306690738754696e-16
270,288,1.1102230246251565e-16,4.440892098500626e-16,1.0668549377257364e-16,2.220446049250313e-16
271,248,8.326672684688674e-17,8.881784197001252e-16,9.237402509576498e-17,3.3306690738754696e-16
272,249,1.6653345369377348e-16,7.216449660063518e-16,8.153200337090993e-17,2.220446049250313e-16
273,258,8.326672684688674e-17,4.440892098500626e-16,9.063930161978817e-17,4.440892098500626e-16
274,259,5.551115123125783e-17,6.661338147750939e-16,6.591949208711867e-17,4.440892098500626e-16
275,240,8.326672684688674e-17,8.881784197001252e-16,1.5352302762394743e-16,4.440892098500626e-16
276,251,5.551115123125783e-17,6.661338147750939e-16,8.673617379884035e-17,2.220446049250313e-16
277,243,1.6653345369377348e-16,4.440892098500626e-16,1.5265566588595902e-16,2.220446049250313e-16
