sample_index,maximum_level_total_error,maximum_parent_child_error,final_leaf_count
479,2.220446049250313e-16,2.220446049250313e-16,1070
480,2.220446049250313e-16,1.1102230246251565e-16,1566
481,2.220446049250313e-16,1.1102230246251565e-16,1770
482,0.0,5.551115123125783e-17,1611
483,2.220446049250313e-16,1.1102230246251565e-16,1132
484,0.0,1.1102230246251565e-16,1758
485,1.1102230246251565e-16,1.1102230246251565e-16,1739
486,0.0,1.1102230246251565e-16,1901
487,3.3306690738754696e-16,1.1102230246251565e-16,1974
488,2.220446049250313e-16,2.220446049250313e-16,1570
489,2.220446049250313e-16,5.551115123125783e-17,1582
490,2.220446049250313e-16,2.220446049250313e-16,2719
491,1.1102230246251565e-16,1.1102230246251565e-16,1060
492,2.220446049250313e-16,1.1102230246251565e-16,992
493,0.0,5.551115123125783e-17,1719
494,2.220446049250313e-16,2.220446049250313e-16,1304
495,2.220446049250313e-16,1.1102230246251565e-16,841
496,0.0,1.1102230246251565e-16,1514
497,2.220446049250313e-16,2.220446049250313e-16,1299
498,2.220446049250313e-16,5.551115123125783e-17,1812
499,1.1102230246251565e-16,1.1102230246251565e-16,2093
500,0.0,5.551115123125783e-17,1695
501,0.0,1.1102230246251565e-16,1345
502,2.220446049250313e-16,2.7755575615628914e-17,1601
503,1.1102230246251565e-16,1.1102230246251565e-16,1118
504,2.220446049250313e-16,1.1102230246251565e-16,1859
505,1.1102230246251565e-16,1.1102230246251565e-16,1681
506,1.1102230246251565e-16,1.1102230246251565e-16,1713
507,2.220446049250313e-16,5.551115123125783e-17,1754
508,0.0,5.551115123125783e-17,1990
509,1.1102230246251565e-16,5.551115123125783e-17,1421
510,1.1102230246251565e-16,1.1102230246251565e-16,1301
511,2.220446049250313e-16,1.1102230246251565e-16,1818
512,1.1102230246251565e-16,1.1102230246251565e-16,2290
513,2.220446049250313e-16,1.1102230246251565e-16,1606
514,1.1102230246251565e-16,5.551115123125783e-17,2029
515,0.0,5.551115123125783e-17,1597
516,2.220446049250313e-16,2.220446049250313e-16,1172
517,1.1102230246251565e-16,1.1102230246251565e-16,1841
518,1.1102230246251565e-16,1.1102230246251565e-16,1386
519,2.220446049250313e-16,2.220446049250313e-16,1176
520,2.220446049250313e-16,1.1102230246251565e-16,1441
521,2.220446049250313e-16,5.551115123125783e-17,1314
522,1.1102230246251565e-16,1.1102230246251565e-16,1723
523,2.220446049250313e-16,5.551115123125783e-17,1884
524,1.1102230246251565e-16,1.1102230246251565e-16,2071
525,0.0,5.551115123125783e-17,2130
