n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,beta_q_scale_degeneracy_error
32,2,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.1553530846680236,1.1102230246251565e-16
32,3,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2803686036851104,1.1102230246251565e-16
32,4,True,True,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.37314792449021444,5.551115123125783e-17
32,5,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.37666977007800795,2.220446049250313e-16
32,6,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4006884525684983,1.1102230246251565e-16
32,7,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.09173756228831015,1.1102230246251565e-16
32,8,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.34683302861647836,1.1102230246251565e-16
32,9,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5571613767296162,1.1102230246251565e-16
32,10,True,True,1.6653345369377348e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,0.3572834078726311,1.1102230246251565e-16
32,11,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.37893783737350706,1.1102230246251565e-16
32,12,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5856393567480375,1.1102230246251565e-16
32,13,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3470919815597051,1.1102230246251565e-16
32,14,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3498473332848508,1.1102230246251565e-16
32,15,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.28559618419898514,1.1102230246251565e-16
32,16,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.38834498933320505,1.1102230246251565e-16
32,17,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.1712412305115349,1.6653345369377348e-16
32,18,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3468018172430012,5.551115123125783e-17
32,19,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.6022091951889952,1.1102230246251565e-16
32,20,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5186052725928569,1.1102230246251565e-16
