sample_index,score,maximum_probability_error
130,row_zscore,0.0
130,row_mad,0.0
130,row_rank,0.0
130,global_zscore,5.551115123125783e-17
131,raw,0.0
131,min_shift,0.0
131,row_zscore,5.551115123125783e-17
131,row_mad,0.0
131,row_rank,0.0
131,global_zscore,0.0
132,raw,0.0
132,min_shift,0.0
132,row_zscore,1.1102230246251565e-16
132,row_mad,0.0
132,row_rank,0.0
132,global_zscore,1.1102230246251565e-16
133,raw,0.0
133,min_shift,0.0
133,row_zscore,1.1102230246251565e-16
133,row_mad,1.1102230246251565e-16
133,row_rank,0.0
133,global_zscore,5.551115123125783e-17
134,raw,1.1102230246251565e-16
134,min_shift,1.1102230246251565e-16
134,row_zscore,2.7755575615628914e-17
134,row_mad,0.0
134,row_rank,5.551115123125783e-17
134,global_zscore,0.0
135,raw,5.551115123125783e-17
135,min_shift,5.551115123125783e-17
135,row_zscore,2.7755575615628914e-17
135,row_mad,0.0
135,row_rank,0.0
135,global_zscore,0.0
136,raw,0.0
136,min_shift,0.0
136,row_zscore,5.551115123125783e-17
136,row_mad,1.1102230246251565e-16
136,row_rank,5.551115123125783e-17
136,global_zscore,0.0
137,raw,0.0
137,min_shift,0.0
137,row_zscore,0.0
137,row_mad,2.220446049250313e-16
137,row_rank,0.0
137,global_zscore,0.0
138,raw,0.0
138,min_shift,0.0
138,row_zscore,0.0
138,row_mad,0.0
138,row_rank,0.0
138,global_zscore,0.0
139,raw,0.0
139,min_shift,0.0
139,row_zscore,0.0
139,row_mad,0.0
139,row_rank,0.0
139,global_zscore,0.0
140,raw,0.0
140,min_shift,0.0
140,row_zscore,1.3877787807814457e-17
140,row_mad,5.551115123125783e-17
140,row_rank,0.0
140,global_zscore,5.551115123125783e-17
141,raw,0.0
141,min_shift,0.0
141,row_zscore,5.551115123125783e-17
141,row_mad,0.0
141,row_rank,0.0
141,global_zscore,0.0
142,raw,0.0
142,min_shift,0.0
142,row_zscore,5.551115123125783e-17
142,row_mad,5.551115123125783e-17
142,row_rank,0.0
142,global_zscore,0.0
143,raw,0.0
143,min_shift,0.0
143,row_zscore,5.551115123125783e-17
143,row_mad,0.0
143,row_rank,5.551115123125783e-17
143,global_zscore,5.551115123125783e-17
144,raw,0.0
144,min_shift,0.0
144,row_zscore,0.0
144,row_mad,2.220446049250313e-16
144,row_rank,0.0
144,global_zscore,0.0
145,raw,0.0
145,min_shift,0.0
145,row_zscore,5.551115123125783e-17
145,row_mad,0.0
145,row_rank,5.551115123125783e-17
145,global_zscore,1.1102230246251565e-16
146,raw,0.0
146,min_shift,0.0
146,row_zscore,5.551115123125783e-17
146,row_mad,0.0
146,row_rank,5.551115123125783e-17
146,global_zscore,0.0
147,raw,0.0
147,min_shift,0.0
147,row_zscore,5.551115123125783e-17
147,row_mad,0.0
147,row_rank,2.7755575615628914e-17
147,global_zscore,2.7755575615628914e-17
148,raw,0.0
148,min_shift,0.0
148,row_zscore,0.0
148,row_mad,0.0
148,row_rank,5.551115123125783e-17
148,global_zscore,1.1102230246251565e-16
149,raw,5.551115123125783e-17
149,min_shift,5.551115123125783e-17
149,row_zscore,1.6653345369377348e-16
149,row_mad,0.0
149,row_rank,2.7755575615628914e-17
149,global_zscore,0.0
150,raw,0.0
150,min_shift,0.0
150,row_zscore,2.7755575615628914e-17
150,row_mad,0.0
150,row_rank,0.0
150,global_zscore,0.0
151,raw,0.0
151,min_shift,0.0
151,row_zscore,2.7755575615628914e-17
151,row_mad,0.0
151,row_rank,0.0
151,global_zscore,0.0
152,raw,0.0
152,min_shift,0.0
152,row_zscore,0.0
152,row_mad,0.0
152,row_rank,0.0
152,global_zscore,0.0
153,raw,0.0
153,min_shift,0.0
153,row_zscore,1.3877787807814457e-17
153,row_mad,0.0
153,row_rank,5.551115123125783e-17
153,global_zscore,0.0
154,raw,1.1102230246251565e-16
154,min_shift,1.1102230246251565e-16
154,row_zscore,2.7755575615628914e-17
154,row_mad,0.0
154,row_rank,0.0
154,global_zscore,0.0
155,raw,0.0
155,min_shift,0.0
155,row_zscore,0.0
155,row_mad,0.0
155,row_rank,0.0
155,global_zscore,0.0
156,raw,0.0
156,min_shift,0.0
156,row_zscore,8.326672684688674e-17
156,row_mad,5.551115123125783e-17
156,row_rank,0.0
156,global_zscore,5.551115123125783e-17
157,raw,0.0
157,min_shift,0.0
157,row_zscore,1.1102230246251565e-16
157,row_mad,0.0
157,row_rank,0.0
157,global_zscore,1.1102230246251565e-16
158,raw,0.0
158,min_shift,0.0
158,row_zscore,5.551115123125783e-17
