sample_index,score,absolute_log_odds_change,violated_extension_stability
74,row_mad,2.0416192440606715,True
74,row_rank,0.16666666666666663,True
74,global_zscore,0.7235796155987071,True
75,raw,4.163336342344337e-16,False
75,min_shift,4.163336342344337e-16,False
75,row_zscore,0.16831512640881083,True
75,row_mad,0.2126449869135369,True
75,row_rank,0.049999999999999795,True
75,global_zscore,0.034359605426959816,True
76,raw,0.0,False
76,min_shift,0.0,False
76,row_zscore,0.3078896704289966,True
76,row_mad,6.745780611145696,True
76,row_rank,0.10000000000000009,True
76,global_zscore,0.07541796601660522,True
77,raw,0.0,False
77,min_shift,0.0,False
77,row_zscore,0.4707346172860667,True
77,row_mad,2.220446049250313e-16,False
77,row_rank,0.0,False
77,global_zscore,0.009059599268123275,True
78,raw,0.0,False
78,min_shift,0.0,False
78,row_zscore,0.01969350755574517,True
78,row_mad,1.6773111349302816,True
78,row_rank,0.10000000000000026,True
78,global_zscore,0.06313904799688164,True
79,raw,0.0,False
79,min_shift,0.0,False
79,row_zscore,0.7653457190296424,True
79,row_mad,1.205139418932819,True
79,row_rank,0.1666666666666667,True
79,global_zscore,0.17484142957629056,True
80,raw,1.942890293094024e-16,False
80,min_shift,1.942890293094024e-16,False
80,row_zscore,0.1607019344813836,True
80,row_mad,7.771561172376096e-16,False
80,row_rank,0.06349206349206368,True
80,global_zscore,0.024939971173694092,True
81,raw,8.881784197001252e-16,False
81,min_shift,8.881784197001252e-16,False
81,row_zscore,1.0523381786282135,True
81,row_mad,0.6036857553415054,True
81,row_rank,0.17499999999999982,True
81,global_zscore,0.7087787804653805,True
82,raw,0.0,False
82,min_shift,0.0,False
82,row_zscore,0.0203665331809727,True
82,row_mad,0.014476801523407329,True
82,row_rank,0.02777777777777754,True
82,global_zscore,0.004487845964116895,True
83,raw,0.0,False
83,min_shift,0.0,False
83,row_zscore,0.6737678200192168,True
83,row_mad,0.3835024689345081,True
83,row_rank,0.0793650793650793,True
83,global_zscore,0.056759974121183054,True
84,raw,1.6653345369377348e-16,False
84,min_shift,1.6653345369377348e-16,False
84,row_zscore,0.06238329934967321,True
84,row_mad,0.006146302460921904,True
84,row_rank,0.051948051948052035,True
84,global_zscore,0.002102738554754763,True
85,raw,0.0,False
85,min_shift,0.0,False
85,row_zscore,0.10332316876848757,True
85,row_mad,0.30591656404973055,True
85,row_rank,0.0833333333333332,True
85,global_zscore,0.08485095490154448,True
86,raw,2.220446049250313e-16,False
86,min_shift,2.220446049250313e-16,False
86,row_zscore,0.9336124847404585,True
86,row_mad,2.0263274299098355,True
86,row_rank,0.3214285714285715,True
86,global_zscore,0.007027230298921827,True
87,raw,2.220446049250313e-16,False
87,min_shift,2.220446049250313e-16,False
87,row_zscore,0.7952740592052376,True
87,row_mad,3.0634908547797313,True
87,row_rank,0.23809523809523797,True
87,global_zscore,0.16338458980653736,True
88,raw,0.0,False
88,min_shift,0.0,False
88,row_zscore,0.47176839358817557,True
88,row_mad,1.0094025382724494,True
88,row_rank,0.21212121212121227,True
88,global_zscore,0.3229199377263512,True
89,raw,2.220446049250313e-16,False
89,min_shift,2.220446049250313e-16,False
89,row_zscore,0.5982962331746757,True
89,row_mad,0.847808342279524,True
89,row_rank,0.19444444444444442,True
89,global_zscore,0.05038608114932619,True
90,raw,2.220446049250313e-16,False
90,min_shift,2.220446049250313e-16,False
90,row_zscore,0.8321566545875774,True
90,row_mad,4.475768604399844,True
90,row_rank,0.14999999999999963,True
90,global_zscore,0.6950214295542008,True
91,raw,0.0,False
91,min_shift,0.0,False
91,row_zscore,0.2079391481495766,True
91,row_mad,0.18497784783988291,True
