sample_index,score,scale,offset,probability_total_variation,maximum_probability_error
48,raw,0.7327155830675669,-1.6430565134053363,0.07439010400245163,0.04585236765008749
48,min_shift,0.7327155830675669,-1.6430565134053363,0.07439010400245163,0.04585236765008749
48,row_zscore,0.7327155830675669,-1.6430565134053363,1.0928757898653885e-16,8.326672684688674e-17
48,row_mad,0.7327155830675669,-1.6430565134053363,1.942890293094024e-16,1.6653345369377348e-16
48,row_rank,0.7327155830675669,-1.6430565134053363,0.0,0.0
48,global_zscore,0.7327155830675669,-1.6430565134053363,4.85722573273506e-17,5.551115123125783e-17
49,raw,1.4059860211914583,0.4016676485904469,0.09948268932999366,0.09948268932999371
49,min_shift,1.4059860211914583,0.4016676485904469,0.09948268932999366,0.09948268932999371
49,row_zscore,1.4059860211914583,0.4016676485904469,2.7755575615628914e-17,5.551115123125783e-17
49,row_mad,1.4059860211914583,0.4016676485904469,0.0,0.0
49,row_rank,1.4059860211914583,0.4016676485904469,0.0,0.0
49,global_zscore,1.4059860211914583,0.4016676485904469,0.0,0.0
50,raw,2.1442764548047197,-2.825604932046758,0.16987909137534568,0.16200118607242175
50,min_shift,2.1442764548047197,-2.825604932046758,0.16987909137534568,0.16200118607242175
50,row_zscore,2.1442764548047197,-2.825604932046758,3.122502256758253e-17,5.551115123125783e-17
50,row_mad,2.1442764548047197,-2.825604932046758,4.163336342344337e-17,5.551115123125783e-17
50,row_rank,2.1442764548047197,-2.825604932046758,0.0,0.0
50,global_zscore,2.1442764548047197,-2.825604932046758,7.546047120499111e-17,5.551115123125783e-17
51,raw,3.9210027902431643,0.733539782839169,0.5233337624266913,0.5233337624266913
51,min_shift,3.9210027902431643,0.733539782839169,0.5233337624266913,0.5233337624266913
51,row_zscore,3.9210027902431643,0.733539782839169,1.0061396160665481e-16,5.551115123125783e-17
51,row_mad,3.9210027902431643,0.733539782839169,1.1102230246251565e-16,1.1102230246251565e-16
51,row_rank,3.9210027902431643,0.733539782839169,0.0,0.0
51,global_zscore,3.9210027902431643,0.733539782839169,0.0,0.0
52,raw,1.3475498352456756,2.3579919738000736,0.14113134829692772,0.14113134829692775
52,min_shift,1.3475498352456756,2.3579919738000736,0.14113134829692772,0.14113134829692775
52,row_zscore,1.3475498352456756,2.3579919738000736,6.938893903907228e-18,1.3877787807814457e-17
52,row_mad,1.3475498352456756,2.3579919738000736,1.8865117801247777e-17,2.0816681711721685e-17
52,row_rank,1.3475498352456756,2.3579919738000736,0.0,0.0
52,global_zscore,1.3475498352456756,2.3579919738000736,1.3877787807814457e-17,2.7755575615628914e-17
53,raw,1.18053282012557,-1.7780661895501075,0.025850237516565178,0.019961607573946098
53,min_shift,1.18053282012557,-1.7780661895501075,0.025850237516565178,0.019961607573946098
