n,sample_index,model,relation_identical,order_degree_parity_identical,independent_bit_identical_under_coupling,rank_half_bit_identical,moving_threshold_bit_identical,fixed_threshold_bit_identical,fixed_threshold_hamming_fraction
32,200,beta_skew,True,True,True,True,True,False,0.46875
32,201,power_anisotropic,True,True,True,True,True,False,0.40625
32,201,beta_skew,True,True,True,True,True,False,0.4375
32,202,power_anisotropic,True,True,True,True,True,False,0.3125
32,202,beta_skew,True,True,True,True,True,False,0.3125
32,203,power_anisotropic,True,True,True,True,True,False,0.28125
32,203,beta_skew,True,True,True,True,True,False,0.3125
32,204,power_anisotropic,True,True,True,True,True,False,0.40625
32,204,beta_skew,True,True,True,True,True,False,0.4375
32,205,power_anisotropic,True,True,True,True,True,False,0.25
32,205,beta_skew,True,True,True,True,True,False,0.28125
32,206,power_anisotropic,True,True,True,True,True,False,0.34375
32,206,beta_skew,True,True,True,True,True,False,0.4375
32,207,power_anisotropic,True,True,True,True,True,False,0.34375
32,207,beta_skew,True,True,True,True,True,False,0.40625
32,208,power_anisotropic,True,True,True,True,True,False,0.5
32,208,beta_skew,True,True,True,True,True,False,0.5625
32,209,power_anisotropic,True,True,True,True,True,False,0.1875
32,209,beta_skew,True,True,True,True,True,False,0.21875
32,210,power_anisotropic,True,True,True,True,True,False,0.25
32,210,beta_skew,True,True,True,True,True,False,0.3125
32,211,power_anisotropic,True,True,True,True,True,False,0.4375
32,211,beta_skew,True,True,True,True,True,False,0.4375
32,212,power_anisotropic,True,True,True,True,True,False,0.21875
32,212,beta_skew,True,True,True,True,True,False,0.25
32,213,power_anisotropic,True,True,True,True,True,False,0.28125
32,213,beta_skew,True,True,True,True,True,False,0.34375
32,214,power_anisotropic,True,True,True,True,True,False,0.3125
32,214,beta_skew,True,True,True,True,True,False,0.40625
32,215,power_anisotropic,True,True,True,True,True,False,0.5
32,215,beta_skew,True,True,True,True,True,False,0.5625
32,216,power_anisotropic,True,True,True,True,True,False,0.46875
32,216,beta_skew,True,True,True,True,True,False,0.46875
32,217,power_anisotropic,True,True,True,True,True,False,0.28125
32,217,beta_skew,True,True,True,True,True,False,0.3125
32,218,power_anisotropic,True,True,True,True,True,False,0.3125
32,218,beta_skew,True,True,True,True,True,False,0.40625
32,219,power_anisotropic,True,True,True,True,True,False,0.34375
32,219,beta_skew,True,True,True,True,True,False,0.40625
32,220,power_anisotropic,True,True,True,True,True,False,0.40625
32,220,beta_skew,True,True,True,True,True,False,0.4375
32,221,power_anisotropic,True,True,True,True,True,False,0.28125
32,221,beta_skew,True,True,True,True,True,False,0.375
32,222,power_anisotropic,True,True,True,True,True,False,0.40625
32,222,beta_skew,True,True,True,True,True,False,0.46875
32,223,power_anisotropic,True,True,True,True,True,False,0.4375
32,223,beta_skew,True,True,True,True,True,False,0.46875
32,224,power_anisotropic,True,True,True,True,True,False,0.4375
32,224,beta_skew,True,True,True,True,True,False,0.4375
32,225,power_anisotropic,True,True,True,True,True,False,0.53125
32,225,beta_skew,True,True,True,True,True,False,0.59375
32,226,power_anisotropic,True,True,True,True,True,False,0.21875
32,226,beta_skew,True,True,True,True,True,False,0.25
32,227,power_anisotropic,True,True,True,True,True,False,0.4375
32,227,beta_skew,True,True,True,True,True,False,0.53125
